Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,221.13841307765688,223.07746301076259,None,0,1,,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
Q,left,Pretarget,0,1,1,1,224.57954260741826,226.57960901336628,left,1,1,0.6950847734406125,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
Q,right,Target,0,2,2,2,228.07746429397957,230.07772991774254,right,1,1,0.6527684700849932,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
T,left,Distractor,0,3,3,3,231.57730341196293,233.57968760977383,left,1,1,0.6069656944309827,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
Q,left,Lure,0,4,4,4,235.07735618381412,237.077306138759,left,1,1,0.6291555441857781,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
L,left,Distractor,0,5,5,5,238.57708077560528,240.5783877214999,left,1,1,0.5840710434422363,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
V,left,Pretarget,0,6,6,6,242.0777514114452,244.07940835194313,left,1,1,0.6670226495480165,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
V,right,Target,0,7,7,7,245.57746637918171,247.57743205339648,right,1,1,0.5449768718099222,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
K,left,Distractor,0,8,8,8,249.07753294552094,251.09037912660278,left,1,1,0.5040236546192318,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
G,left,Pretarget,0,9,9,9,252.57712344222819,254.5784656763135,left,1,1,0.6801947650965303,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
G,right,Target,0,10,10,10,256.0776054466842,258.0774517827085,right,1,1,0.7332017832959536,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
G,right,Target,0,11,11,11,259.5775587700482,261.5775177074538,right,1,1,0.6249950676574372,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
P,left,Pretarget,0,12,12,12,263.07741809854633,265.079278748075,left,1,1,0.595287872973131,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
P,right,Target,0,13,13,13,266.5776392912667,268.5775363139401,right,1,1,0.665093027666444,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
G,left,Lure,0,14,14,14,270.07763752687606,272.07783866950194,left,1,1,0.6205497192859184,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
Y,left,Distractor,0,15,15,15,273.57751834904775,275.5791951792489,left,1,1,0.6552610988437664,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
B,left,Distractor,0,16,16,16,277.07710114651127,279.07804879455944,left,1,1,0.5162208539550193,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
T,left,Pretarget,0,17,17,17,280.5773723843158,282.5779347495991,left,1,1,0.7285594626737293,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
T,right,Target,0,18,18,18,284.0771791013249,286.0943246660172,right,1,1,0.4120681087661069,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
S,left,Distractor,0,19,19,19,287.57726267015096,289.5787582474004,left,1,1,0.7676276493875775,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
T,left,Lure,0,20,20,20,291.0775647049013,293.07815433832,left,1,1,0.9483287998882588,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
J,left,Distractor,0,21,21,21,294.5775818677794,296.5792317506275,left,1,1,0.5832013502076734,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
P,left,Distractor,0,22,22,22,298.07755668484606,300.0774290057889,left,1,1,0.5410367859876715,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
F,left,Distractor,0,23,23,23,301.57724630925804,303.5796224870428,left,1,1,0.7187727668788284,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
L,left,Distractor,0,24,24,24,305.07761250433396,307.07748129646643,left,1,1,1.1889358079060912,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
W,left,Pretarget,0,25,25,25,308.5771093269577,310.578452202637,left,1,1,0.5838538607349619,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
W,right,Target,0,26,26,26,312.077479050844,314.0773898680054,right,1,1,0.6209959543484729,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
V,left,Distractor,0,27,27,27,315.5773643642606,317.577298920718,left,1,1,0.753024116915185,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
W,left,Lure,0,28,28,28,319.07695389856235,321.07719225418987,left,1,1,0.9175478820397984,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
R,left,Pretarget,0,29,29,29,322.57753920115647,324.57741280531627,left,1,1,0.7131616253172979,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
R,right,Target,0,30,30,30,326.0773805647332,328.0773148004082,right,1,1,0.749099429580383,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
G,left,Distractor,0,31,31,31,329.5772706901771,331.57917464795173,left,1,1,0.6872071682591923,M01L12,2022-11-23_12h15.07.768,t1_Paradigm,2021.1.4,60.003907618336584,
