vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
0,0,0,0,0,2415.37600587451,VS1rightbutton,0,1,4,2,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
1,0,1,1,1,2420.479217487067,VS1leftbutton,1,0,1,2,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
2,0,2,2,2,2423.6847527322534,VS1rightbutton,0,1,4,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
3,0,3,3,3,2428.3277405789995,VS1rightbutton,0,1,3,1,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
4,0,4,4,4,2431.5067175929144,VS1rightbutton,0,1,3,1,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
5,0,5,5,5,2434.3077353691624,VS1leftbutton,1,0,1,2,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
6,0,6,6,6,2438.0426743590797,VS1rightbutton,0,1,4,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
7,0,7,7,7,2442.337186271703,VS1rightbutton,0,1,3,1,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
8,0,8,8,8,2445.405314982607,VS1rightbutton,0,1,2,1,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
9,0,9,9,9,2448.1587546211376,VS1leftbutton,1,0,4,1,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
10,0,10,10,10,2450.6028503895213,VS1rightbutton,0,1,2,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
11,0,11,11,11,2455.0275475845265,VS1rightbutton,0,1,4,1,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
12,0,12,12,12,2457.3567481332284,VS1leftbutton,1,0,3,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
13,0,13,13,13,2460.0605439903156,VS1rightbutton,0,1,4,2,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
14,0,14,14,14,2462.4242669996165,VS1leftbutton,1,0,2,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
15,0,15,15,15,2464.4406362400914,VS1leftbutton,1,0,2,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
16,0,16,16,16,2466.584315094253,VS1rightbutton,0,1,3,2,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
17,0,17,17,17,2469.2603631863312,VS1leftbutton,1,0,1,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
