Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
0,0,0,0,0,2511.14735107412,EDleftbutton,1,0,1.00,2.00,3,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
1,0,1,1,1,2514.1796170138114,EDrightbutton,0,1,0.50,2.00,3,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
2,0,2,2,2,2517.2934346596885,EDleftbutton,1,0,0.75,2.00,3,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
3,0,3,3,3,2520.0603778148943,EDrightbutton,0,1,0.62,2.00,3,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
4,0,4,4,4,2523.0454387095233,EDleftbutton,1,0,0.68,2.00,3,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
5,0,5,5,5,2524.9886545181216,EDleftbutton,1,0,0.65,2.00,3,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
0,0,0,0,0,2527.8616179069213,EDleftbutton,1,0,1.00,2.00,1,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
1,0,1,1,1,2532.0202730794845,EDleftbutton,1,0,0.50,2.00,1,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
2,0,2,2,2,2533.752827548393,EDleftbutton,1,0,0.25,2.00,1,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
3,0,3,3,3,2536.344471684104,EDleftbutton,1,0,0.12,2.00,1,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
4,0,4,4,4,2537.8931023730256,EDrightbutton,0,1,0.06,2.00,1,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
5,0,5,5,5,2542.0273573489685,EDrightbutton,0,1,0.09,2.00,1,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
0,0,0,0,0,2545.3557109805115,EDleftbutton,1,0,1.00,2.00,2,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
1,0,1,1,1,2549.2071347637975,EDrightbutton,0,1,0.50,2.00,2,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
2,0,2,2,2,2551.9939605824475,EDleftbutton,1,0,0.75,2.00,2,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
3,0,3,3,3,2555.3202950864506,EDleftbutton,1,0,0.62,2.00,2,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
4,0,4,4,4,2557.6192013442924,EDrightbutton,0,1,0.56,2.00,2,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
5,0,5,5,5,2559.652755945426,EDrightbutton,0,1,0.59,2.00,2,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
0,0,0,0,0,2561.47686023431,EDleftbutton,1,0,1.00,2.00,2,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
1,0,1,1,1,2564.2880609061976,EDleftbutton,1,0,0.50,2.00,2,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
2,0,2,2,2,2568.3742157996458,EDrightbutton,0,1,0.25,2.00,2,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
3,0,3,3,3,2572.0273384217,EDrightbutton,0,1,0.38,2.00,2,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
4,0,4,4,4,2573.3328313852253,EDrightbutton,0,1,0.44,2.00,2,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
5,0,5,5,5,2575.357638679474,EDleftbutton,1,0,0.47,2.00,2,4,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
0,0,0,0,0,2577.3748404010257,EDrightbutton,0,1,1.00,2.00,1,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
1,0,1,1,1,2580.48802767109,EDrightbutton,0,1,1.50,2.00,1,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
2,0,2,2,2,2582.652208657266,EDrightbutton,0,1,1.75,2.00,1,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
3,0,3,3,3,2584.4086083354487,EDrightbutton,0,1,1.88,2.00,1,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
4,0,4,4,4,2587.2749619208334,EDrightbutton,0,1,1.94,2.00,1,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
5,0,5,5,5,2589.3714071785507,EDrightbutton,0,1,1.97,2.00,1,3,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
0,0,0,0,0,2591.224880244612,EDrightbutton,0,1,1.00,2.00,1,2,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
1,0,1,1,1,2594.440019337955,EDrightbutton,0,1,1.50,2.00,1,2,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
2,0,2,2,2,2596.0070987056533,EDrightbutton,0,1,1.75,2.00,1,2,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
3,0,3,3,3,2597.5379284149676,EDrightbutton,0,1,1.88,2.00,1,2,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
4,0,4,4,4,2598.7377026987087,EDleftbutton,1,0,1.94,2.00,1,2,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
5,0,5,5,5,2601.0385976078396,EDrightbutton,0,1,1.91,2.00,1,2,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
