Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,229.17831648266292,231.11625317434664,None,0,1,,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
Q,left,Pretarget,0,1,1,1,232.61799160012743,234.61823508879752,left,1,1,0.6442822826211341,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
Q,right,Target,0,2,2,2,236.11625894877943,238.11620601644972,right,1,1,0.6180586477275938,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
T,left,Distractor,0,3,3,3,239.61623585101916,241.6178607129259,left,1,1,0.732336002838565,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
Q,left,Lure,0,4,4,4,243.11625189112965,245.11726722930325,left,1,1,0.5770380227186251,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
L,left,Distractor,0,5,5,5,246.61626921442803,248.6178446728154,left,1,1,0.7404936756938696,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
V,left,Pretarget,0,6,6,6,250.11624162545195,252.12893126753625,left,1,1,0.5733558578940574,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
V,right,Target,0,7,7,7,253.61627370567294,255.61601449767477,right,1,1,0.6222749478183687,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
K,left,Distractor,0,8,8,8,257.1153501168301,259.11795695350156,left,1,1,0.7523508367303293,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
G,left,Pretarget,0,9,9,9,260.6161877307459,262.6178138758405,left,1,1,0.5485206538869534,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
G,right,Target,0,10,10,10,264.1161716906354,266.11616976582445,right,1,1,0.4098832024028525,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
G,right,Target,0,11,11,11,267.6162538159406,269.6162852545385,right,1,1,0.5261190534511115,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
P,left,Pretarget,0,12,12,12,271.1162390590471,273.11777794602676,left,1,1,0.5286408776009921,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
P,right,Target,0,13,13,13,274.61618740993435,276.6161604625813,right,1,1,0.7582337029452901,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
G,left,Lure,0,14,14,14,278.1162875001319,280.1158021267911,left,1,1,0.6184227579506114,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
Y,left,Distractor,0,15,15,15,281.61605363551644,283.61788509387407,left,1,1,0.668343712342903,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
B,left,Distractor,0,16,16,16,285.116239700641,287.11762781071593,right,0,1,0.49683368470869027,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
T,left,Pretarget,0,17,17,17,288.6161485929042,290.6183611639717,left,1,1,0.6759252249030396,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
T,right,Target,0,18,18,18,292.11617682347423,294.1162368134246,right,1,1,0.6180211138853338,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
