Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,2633.2803773786,2635.2819515537994,None,0,0,2.91,,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
F,left,Distractor,0,1,1,1,2636.781772867107,2638.7816362054728,left,1,0,2.91,0.4322645923239179,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
G,left,Distractor,0,2,2,2,2640.281696195394,2642.282611122617,left,1,0,2.91,0.5155194360995665,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
V,left,Distractor,0,3,3,3,2643.7816657192598,2645.7835578091617,left,1,0,2.91,0.4543870950001292,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
H,left,Distractor,0,4,4,4,2647.281637809443,2649.2824103005405,left,1,0,2.91,0.4273187885992229,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
C,left,Pretarget,0,5,5,5,2650.7818729572755,2652.7818190625694,left,1,0,2.91,0.6400894011021592,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
C,right,Target,0,6,6,6,2654.282237388339,2656.282088536216,right,1,0,2.91,0.5159929398214445,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
C,right,Target,0,7,7,7,2657.781732125237,2659.7821597542206,right,1,0,2.91,0.4557562777772546,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
W,left,Distractor,0,8,8,8,2661.2822896790167,2663.282784034818,left,1,0,2.91,0.4593563172966242,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
R,left,Pretarget,0,9,9,9,2664.782092385838,2666.782328496076,left,1,0,2.91,0.5274940106319264,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
R,right,Target,0,10,10,10,2668.281648395903,2670.282110029919,right,1,0,2.91,0.6439079067204148,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
Z,left,Distractor,0,11,11,11,2671.7816362054728,2673.7836155534897,left,1,0,2.91,0.5342767263646238,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
R,left,Lure,0,12,12,12,2675.2818986214406,2677.2816098996846,right,0,0,2.91,0.5883247978636064,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
H,left,Pretarget,0,13,13,13,2678.7821629622777,2680.7814616891847,left,1,0,2.91,0.5924570477800444,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
H,right,Target,0,14,14,14,2682.281906641525,2684.2820750625397,right,1,0,2.91,0.6917949767666869,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
K,left,Distractor,0,15,15,15,2685.781631714228,2687.78203977432,left,1,0,2.91,0.9197658273624256,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
J,left,Distractor,0,16,16,16,2689.2815697994374,2691.283706982067,left,1,0,2.91,0.5382155327242799,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
H,left,Lure,0,17,17,17,2692.7820914234326,2694.7819181903906,left,1,0,2.91,0.6239825766533613,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
S,left,Distractor,0,18,18,18,2696.2816519247426,2698.283766651206,left,1,0,2.91,0.8181190867908299,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
T,left,Pretarget,0,19,19,19,2699.782054210402,2701.7836482753337,left,1,0,2.91,0.5661368515575305,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
T,right,Target,0,20,20,20,2703.281743994885,2705.2822187817947,right,1,0,2.91,0.5876703619142063,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
X,left,Pretarget,0,21,21,21,2706.782041699131,2708.7826319746964,left,1,0,2.91,0.9593024225905538,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
X,right,Target,0,22,22,22,2710.2816753433144,2712.281744636508,right,1,0,2.91,0.5482656163512729,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
W,left,Distractor,0,23,23,23,2713.781615994958,2715.783016616275,left,1,0,2.91,0.7429731540032662,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
K,left,Distractor,0,24,24,24,2717.2817359748587,2719.2840072526888,left,1,0,2.91,0.6980169306043535,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
F,left,Pretarget,0,25,25,25,2720.7820750625397,2722.782045869535,left,1,0,2.91,0.4961567926220596,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
F,right,Target,0,26,26,26,2724.2821328068676,2726.2822062705236,right,1,0,2.91,0.611608603678178,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
Z,left,Distractor,0,27,27,27,2727.7821623206546,2729.7822075537115,left,1,0,2.91,0.5835830241558142,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
F,left,Lure,0,28,28,28,2731.2816519247426,2733.2821032930806,left,1,0,2.91,0.7639853611472063,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
P,left,Distractor,0,29,29,29,2734.782127032435,2736.782372445945,left,1,0,2.91,0.5595578450593166,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
F,left,Lure,0,30,30,30,2738.2816294686345,2740.2821016891103,left,1,0,2.91,0.8197160389390774,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
R,left,Distractor,0,31,31,31,2741.7818530676013,2743.7822935286385,left,1,0,2.91,0.6477556053432636,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
V,left,Distractor,0,32,32,32,2745.282192796847,2747.283203643776,left,1,0,2.91,0.5707172618131153,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
M,left,Pretarget,0,33,33,33,2748.78165673677,2750.7841140797536,left,1,0,2.91,0.5097491713822819,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
M,right,Target,0,34,34,34,2752.2816772681253,2754.2821924760647,right,1,0,2.91,0.5317818495095707,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
M,right,Target,0,35,35,35,2755.7818841853586,2757.7816188821744,right,1,0,2.91,0.4403032477130182,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
D,left,Distractor,0,36,36,36,2759.2821568670042,2761.283986400551,left,1,0,2.91,0.5539293747860938,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
M,left,Lure,0,37,37,37,2762.7821398645465,2764.7829842152714,left,1,0,2.91,0.7348995312349871,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
F,left,Distractor,0,38,38,38,2766.2818113633257,2768.2821411477344,left,1,0,2.91,0.595817448280286,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
T,left,Pretarget,0,39,39,39,2769.7823037943162,2771.783691904362,left,1,0,2.91,0.8540216374676675,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
T,right,Target,0,40,40,40,2773.2820388119144,2775.282140185329,right,1,0,2.91,0.6197345171240158,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
Z,left,Distractor,0,41,41,41,2776.78218285201,2778.7815364360285,left,1,0,2.91,0.528518010454718,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
S,left,Distractor,0,42,42,42,2780.282094310649,2782.282400676486,left,1,0,2.91,0.5636070073815063,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
D,left,Distractor,0,43,43,43,2783.782190872036,2785.781502110214,left,1,0,2.91,0.6323773221229203,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
Y,left,Pretarget,0,44,44,44,2787.28175393978,2789.281730842049,left,1,0,2.91,0.5401733870385215,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
Y,right,Target,0,45,45,45,2790.782144997356,2792.781505959836,right,1,0,2.91,0.4644859405234456,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
Z,left,Pretarget,0,46,46,46,2794.2821016891103,2796.2827436137886,left,1,0,2.91,0.43505300290416926,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
Z,right,Target,0,47,47,47,2797.781573328277,2799.7821988920623,left,0,0,2.91,0.3917752153938636,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
H,left,Pretarget,0,48,48,48,2801.2815146214853,2803.282564606314,left,1,0,2.91,0.7474608525517397,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
H,right,Target,0,49,49,49,2804.7817225011822,2806.7821119547298,right,1,0,2.91,0.47986807342385873,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
Z,left,Lure,0,50,50,50,2808.2821825311694,2810.281971764314,left,1,0,2.91,0.8359043471282348,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
R,left,Distractor,0,51,51,51,2811.782049077592,2813.782034641452,left,1,0,2.91,0.5517373350448906,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
H,left,Lure,0,52,52,52,2815.282114841946,2817.2820449071296,left,1,0,2.91,1.2598556776647456,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
L,left,Distractor,0,53,53,53,2818.7816599447688,2820.7832498392963,left,1,0,2.91,1.4386613832903095,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
N,left,Pretarget,0,54,54,54,2822.281772867107,2824.2817523357517,left,1,0,2.91,0.5643156588776037,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
N,right,Target,0,55,55,55,2825.7820757041045,2827.7815928971686,right,1,0,2.91,0.5841646381304599,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
W,left,Distractor,0,56,56,56,2829.282001919666,2831.2821780399245,left,1,0,2.91,0.6036020285100676,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
R,left,Pretarget,0,57,57,57,2832.78175907259,2834.7815139799204,left,1,0,2.91,0.7681955660227686,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
R,right,Target,0,58,58,58,2836.2817022906675,2838.281773508672,right,1,0,2.91,0.5482559922384098,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
Q,left,Distractor,0,59,59,59,2839.7820330374816,2841.781592576386,left,1,0,2.91,0.7601527402293868,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
R,left,Lure,0,60,60,60,2843.281783453567,2845.282403884543,left,1,0,2.91,0.9395208116620779,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
Z,left,Distractor,0,61,61,61,2846.7816663608246,2848.783851342945,left,1,0,2.91,0.5581617149873637,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
K,left,Pretarget,0,62,62,62,2850.281743994885,2852.282339082536,left,1,0,2.91,0.45151014311704785,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
K,right,Target,0,63,63,63,2853.7816445462813,2855.7818190625694,left,0,0,2.91,0.4880235006567091,M09A06,2022-11-17_09h14.11.561,t1_Paradigm,2021.1.4,59.97268012072879,
