vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
0,0,0,0,0,2553.399306747422,VS1leftbutton,1,0,1,3,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
1,0,1,1,1,2558.339411136316,VS1rightbutton,0,1,4,3,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
2,0,2,2,2,2563.2615544769506,VS1rightbutton,0,1,4,2,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
3,0,3,3,3,2567.987723558719,VS1rightbutton,0,1,2,1,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
4,0,4,4,4,2570.6375883407745,VS1rightbutton,0,1,3,1,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
5,0,5,5,5,2572.9869552385353,VS1leftbutton,1,0,1,4,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
6,0,6,6,6,2575.7540974403237,VS1rightbutton,0,1,2,1,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
7,0,7,7,7,2578.9995973938057,VS1rightbutton,0,1,3,2,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
8,0,8,8,8,2581.652130284012,VS1leftbutton,1,0,2,4,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
9,0,9,9,9,2584.361806947927,VS1leftbutton,1,0,3,4,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
10,0,10,10,10,2586.3855251043424,VS1leftbutton,1,0,2,3,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
11,0,11,11,11,2589.5493858250557,VS1rightbutton,0,1,4,1,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
12,0,12,12,12,2592.000315348123,VS1leftbutton,1,0,1,4,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
13,0,13,13,13,2594.4123146166967,VS1rightbutton,0,1,4,3,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
14,0,14,14,14,2597.868906611402,VS1leftbutton,1,0,1,2,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
15,0,15,15,15,2600.1543701218034,VS1rightbutton,0,1,3,1,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
16,0,16,16,16,2602.5998370327143,VS1leftbutton,1,0,2,3,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
17,0,17,17,17,2605.185504252222,VS1rightbutton,0,1,4,2,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
