Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,176.09134380644537,178.02919584626216,None,0,1,,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
Q,left,Pretarget,0,1,1,1,179.53022080785013,181.53043831142713,left,1,1,0.6849961022671778,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
Q,right,Target,0,2,2,2,183.02753569721244,185.02757964705233,right,1,1,0.4678120358439628,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
T,left,Distractor,0,3,3,3,186.5274625544116,188.52957150510338,left,1,1,0.8858481516945176,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
Q,left,Lure,0,4,4,4,190.02747506568267,192.0294396555837,left,1,1,0.9220461377117317,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
L,left,Distractor,0,5,5,5,193.52754115084826,195.5298599058733,left,1,1,0.8139173422241583,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
V,left,Pretarget,0,6,6,6,197.027438173478,199.0290421822283,left,1,1,0.722489485720871,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
V,right,Target,0,7,7,7,200.5274631960201,202.52750907067093,right,1,1,0.4079828306857962,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
K,left,Distractor,0,8,8,8,204.02748116091243,206.02980761519575,left,1,1,0.4095117718243273,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
G,left,Pretarget,0,9,9,9,207.52751548669767,209.52986952992796,left,1,1,0.6055803463968914,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
G,right,Target,0,10,10,10,211.02751709071163,213.02759087512095,right,1,1,0.5799973694229266,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
G,right,Target,0,11,11,11,214.52756873979524,216.52740994293708,right,1,1,0.40808003360871226,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
P,left,Pretarget,0,12,12,12,218.02754692528106,220.02949130466732,left,1,1,0.5219970550388098,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
P,right,Target,0,13,13,13,221.5274198877887,223.52745870478975,right,1,1,0.6240152188402135,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
G,left,Lure,0,14,14,14,225.02753409321303,227.03006810620718,left,1,1,0.4174487278505694,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
Y,left,Distractor,0,15,15,15,228.52745068474906,230.52934277345776,left,1,1,0.5180797448992962,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
B,left,Distractor,0,16,16,16,232.02765503546107,234.02937870325695,left,1,1,0.6339494865533197,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
T,left,Pretarget,0,17,17,17,235.52757804303837,237.52952530965558,left,1,1,0.542192166656605,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
T,right,Target,0,18,18,18,239.0275151659007,241.02750522104907,right,1,1,0.37186023309186567,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
S,left,Distractor,0,19,19,19,242.5274468351272,244.5299311238632,left,1,1,0.37355053750798106,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
T,left,Lure,0,20,20,20,246.0275389052258,248.02999079298752,left,1,1,0.9693807563890005,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
J,left,Distractor,0,21,21,21,249.52743207824824,251.53004019646323,left,1,1,0.4296735200623516,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
P,left,Distractor,0,22,22,22,253.02653864538297,255.02930171083426,left,1,1,0.45004860145854764,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
F,left,Distractor,0,23,23,23,256.52735829385347,258.5295323672908,left,1,1,0.5019001087639481,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
L,left,Distractor,0,24,24,24,260.02740737651766,262.0298990436859,left,1,1,0.3776320981414756,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
W,left,Pretarget,0,25,25,25,263.5273775419482,265.52926353542716,left,1,1,0.3982057558314409,M13I01,2022-09-01_16h19.32.038,t1_Paradigm,2021.1.4,59.972372451560396,
