Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
0,0,0,0,0,2500.9318193630315,EDleftbutton,1,0,1.00,2.00,1,2,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
1,0,1,1,1,2506.172280162573,EDrightbutton,0,1,0.50,2.00,1,2,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
2,0,2,2,2,2509.132796525024,EDrightbutton,0,1,0.75,2.00,1,2,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
3,0,3,3,3,2511.7233123420738,EDrightbutton,0,1,0.88,2.00,1,2,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
4,0,4,4,4,2514.4047029535286,EDrightbutton,0,1,0.94,2.00,1,2,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
5,0,5,5,5,2516.62561216997,EDrightbutton,0,1,0.97,2.00,1,2,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
0,0,0,0,0,2518.767525239149,EDrightbutton,0,1,1.00,2.00,3,4,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
1,0,1,1,1,2523.7697137484793,EDleftbutton,1,0,1.50,2.00,3,4,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
2,0,2,2,2,2526.4721563330386,EDrightbutton,0,1,1.25,2.00,3,4,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
