Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,208.22456058184616,210.1697836832609,None,0,1,,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
Q,left,Pretarget,0,1,1,1,211.67071657488123,213.67185157141648,left,1,1,0.6111058357637376,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
Q,right,Target,0,2,2,2,215.16827880241908,217.16816491773352,right,1,1,0.6667312546633184,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
T,left,Distractor,0,3,3,3,218.66818095790222,220.6702315225266,left,1,1,0.4924528179690242,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
Q,left,Lure,0,4,4,4,222.1683788925875,224.1700493071694,left,1,1,0.496780754532665,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
L,left,Distractor,0,5,5,5,225.66812706319615,227.6710117124021,left,1,1,0.4357209538575262,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
V,left,Pretarget,0,6,6,6,229.16820373479277,231.17157247383147,left,1,1,0.5031794661190361,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
V,right,Target,0,7,7,7,232.6679326572921,234.66833173460327,right,1,1,0.5904009703081101,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
K,left,Distractor,0,8,8,8,236.16809690766968,238.1700977482833,left,1,1,0.497173415729776,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
G,left,Pretarget,0,9,9,9,239.6680988324806,241.67016639979556,left,1,1,0.500535418279469,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
G,right,Target,0,10,10,10,243.1682688575238,245.16820501792245,right,1,1,0.4585864192340523,M16T03,2023-01-06_10h35.42.990,t1_Paradigm,2021.1.4,60.03277820239546,
