vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
0,0,0,0,0,2386.992316136835,VS1leftbutton,1,0,1,4,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
1,0,1,1,1,2398.149685838027,VS1rightbutton,0,1,4,1,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
2,0,2,2,2,2404.653690095758,VS1rightbutton,0,1,4,3,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
3,0,3,3,3,2414.2222103168606,VS1rightbutton,0,1,4,2,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
4,0,4,4,4,2419.6120136713143,VS1rightbutton,0,1,1,2,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
5,0,5,5,5,2427.0338036085013,VS1rightbutton,0,1,1,3,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
6,0,6,6,6,2431.1327423294424,VS1rightbutton,0,1,4,3,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
7,0,7,7,7,2434.901967225538,VS1rightbutton,0,1,1,2,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
8,0,8,8,8,2439.545407999947,VS1rightbutton,0,1,4,1,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
9,0,9,9,9,2460.7346122234594,VS1leftbutton,1,0,2,4,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
10,0,10,10,10,2464.5624063657597,VS1leftbutton,1,0,3,2,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
11,0,11,11,11,2473.3657242342597,VS1rightbutton,0,1,1,3,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
12,0,12,12,12,2478.2330605014577,VS1leftbutton,1,0,3,2,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
13,0,13,13,13,2481.528055147268,VS1rightbutton,0,1,4,3,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
14,0,14,14,14,2484.1158520741155,VS1rightbutton,0,1,4,2,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
15,0,15,15,15,2486.218495102308,VS1rightbutton,0,1,1,2,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
16,0,16,16,16,2489.3147875228315,VS1leftbutton,1,0,3,1,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
17,0,17,17,17,2492.3476502174162,VS1leftbutton,1,0,2,3,M22N07,2022-11-02_09h11.25.266,t1_Paradigm,2021.1.4,60.069412055831044,
