vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
0,0,0,0,0,2378.5256470016066,VS1leftbutton,1,0,2,3,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
1,0,1,1,1,2392.451167350562,VS1rightbutton,0,1,1,2,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
2,0,2,2,2,2399.022532815645,VS1rightbutton,0,1,4,1,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
3,0,3,3,3,2407.1850158492252,VS1leftbutton,1,0,2,1,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
4,0,4,4,4,2411.676524699993,VS1rightbutton,0,1,4,2,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
5,0,5,5,5,2418.448467159653,VS1rightbutton,0,1,4,3,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
6,0,6,6,6,2421.1080855912714,VS1rightbutton,0,1,1,2,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
7,0,7,7,7,2423.514792984828,VS1leftbutton,1,0,3,1,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
8,0,8,8,8,2426.3986453170746,VS1leftbutton,1,0,2,4,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
9,0,9,9,9,2431.6255088321614,VS1rightbutton,0,1,1,3,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
10,0,10,10,10,2439.4967940646475,VS1leftbutton,1,0,1,4,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
11,0,11,11,11,2447.4849564687647,VS1rightbutton,0,1,4,3,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
12,0,12,12,12,2452.1845153980175,VS1leftbutton,1,0,2,3,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
13,0,13,13,13,2455.8763564713954,VS1rightbutton,0,1,4,1,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
14,0,14,14,14,2461.535611434283,VS1rightbutton,0,1,1,3,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
15,0,15,15,15,2467.70931002856,VS1rightbutton,0,1,4,2,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
16,0,16,16,16,2473.981902272786,VS1rightbutton,0,1,3,2,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
17,0,17,17,17,2479.8299274313667,VS1rightbutton,0,1,4,3,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
