Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,2698.1306723016605,2700.125296300799,None,0,0,3.0,,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
F,left,Distractor,0,1,1,1,2701.62336844084,2703.624832902229,left,1,0,3.0,1.024339893629076,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
G,left,Distractor,0,2,2,2,2705.1233904157816,2707.1250550576533,left,1,0,3.0,0.6285080105881207,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
V,left,Distractor,0,3,3,3,2708.623259688944,2710.6253696040694,left,1,0,3.0,0.4721465218481171,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
H,left,Distractor,0,4,4,4,2712.123376300491,2714.125210646649,left,1,0,3.0,0.7161848166306299,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
C,left,Pretarget,0,5,5,5,2715.623265784183,2717.6250674085313,left,1,0,3.0,0.5124745483662991,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
C,right,Target,0,6,6,6,2719.123285834312,2721.12336988445,right,1,0,3.0,0.8540716357420024,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
C,right,Target,0,7,7,7,2722.6232449320487,2724.6233001100027,right,1,0,3.0,0.7780781197925535,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
W,left,Distractor,0,8,8,8,2726.1232861551125,2728.1254977644912,left,1,0,3.0,0.7158669017935608,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
R,left,Pretarget,0,9,9,9,2729.623289844336,2731.6252454536734,left,1,0,3.0,0.7042079926559381,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
R,right,Target,0,10,10,10,2733.12326081175,2735.123018285396,right,1,0,3.0,0.7584921918387408,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
Z,left,Distractor,0,11,11,11,2736.6232805410764,2738.622962305437,left,1,0,3.0,0.4904768305532343,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
R,left,Lure,0,12,12,12,2740.1233233681523,2742.1244150575494,left,1,0,3.0,0.6369396510381193,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
H,left,Pretarget,0,13,13,13,2743.623194886928,2745.625436972501,left,1,0,3.0,0.8158490331170469,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
H,right,Target,0,14,14,14,2747.1228152176936,2749.1231170924293,right,1,0,3.0,0.6303773241706949,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
K,left,Distractor,0,15,15,15,2750.6232455736535,2752.6252688722234,left,1,0,3.0,0.904196636261986,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
J,left,Distractor,0,16,16,16,2754.1230048117104,2756.1239591978283,left,1,0,3.0,0.813562676861693,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
H,left,Lure,0,17,17,17,2757.6232766914527,2759.624162425931,left,1,0,3.0,0.913375103900762,M23B10,2023-01-11_16h21.03.649,t1_Paradigm,2021.1.4,60.058282131774995,
