Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
0,0,0,0,0,2707.19468123198,EDrightbutton,0,1,1.00,2.00,3,4,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
1,0,1,1,1,2717.041591331712,EDrightbutton,0,1,1.50,2.00,3,4,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
2,0,2,2,2,2723.4907884927234,EDrightbutton,0,1,1.75,2.00,3,4,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
3,0,3,3,3,2728.154464215855,EDrightbutton,0,1,1.88,2.00,3,4,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
4,0,4,4,4,2737.497205173364,EDrightbutton,0,1,1.94,2.00,3,4,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
5,0,5,5,5,2744.0607149777934,EDrightbutton,0,1,1.97,2.00,3,4,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
0,0,0,0,0,2749.3059093644843,EDleftbutton,1,0,1.00,2.00,2,4,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
1,0,1,1,1,2757.103752805502,EDrightbutton,0,1,0.50,2.00,2,4,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
2,0,2,2,2,2762.119567700196,EDleftbutton,1,0,0.75,2.00,2,4,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
3,0,3,3,3,2767.762192078284,EDleftbutton,1,0,0.62,2.00,2,4,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
