Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,2904.3274871455505,2906.3295431652805,None,0,0,2.71,,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
F,left,Distractor,0,1,1,1,2907.8296371601755,2909.829151466023,left,1,0,2.71,0.5815953352721408,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
G,left,Distractor,0,2,2,2,2911.3288845588686,2913.3308995158877,left,1,0,2.71,0.5674771621124819,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
V,left,Distractor,0,3,3,3,2914.8292961476836,2916.8295617717085,left,1,0,2.71,0.47709506133105606,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
H,left,Distractor,0,4,4,4,2918.3296679571504,2920.3291405587224,left,1,0,2.71,0.46552822610829026,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
C,left,Pretarget,0,5,5,5,2921.8291129698046,2923.8310483680107,left,1,0,2.71,0.5956974683795124,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
C,right,Target,0,6,6,6,2925.329630423337,2927.329823866952,right,1,0,2.71,0.48868178634438664,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
C,right,Target,0,7,7,7,2928.8293981627794,2930.829434092506,right,1,0,2.71,0.4612423119833693,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
W,left,Distractor,0,8,8,8,2932.3296782228863,2934.329913691501,left,1,0,2.71,0.4969754791818559,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
R,left,Pretarget,0,9,9,9,2935.829351325636,2937.829497611383,left,1,0,2.71,0.4530339523917064,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
R,right,Target,0,10,10,10,2939.3291379923467,2941.3293917466654,right,1,0,2.71,0.47306258080061525,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
Z,left,Distractor,0,11,11,11,2942.8296220825287,2944.830815786612,left,1,0,2.71,0.5238702318165451,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
R,left,Lure,0,12,12,12,2946.3294292804785,2948.331657570903,left,1,0,2.71,0.5272296698531136,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
H,left,Pretarget,0,13,13,13,2949.829551506089,2951.829466814408,left,1,0,2.71,0.5170403581578285,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
H,right,Target,0,14,14,14,2953.3293372103944,2955.329196378356,right,1,0,2.71,0.40946198941674083,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
K,left,Distractor,0,15,15,15,2956.8292724083876,2958.8316922175,left,1,0,2.71,0.5709248206112534,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
J,left,Distractor,0,16,16,16,2960.329668919556,2962.3305148743093,left,1,0,2.71,0.5919716744683683,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
H,left,Lure,0,17,17,17,2963.829300959711,2965.8296955461847,left,1,0,2.71,0.5493136763107032,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
S,left,Distractor,0,18,18,18,2967.3296195160365,2969.330317581189,left,1,0,2.71,0.4722400445025414,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
T,left,Pretarget,0,19,19,19,2970.829535786761,2972.831080768956,left,1,0,2.71,0.44345897645689547,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
T,right,Target,0,20,20,20,2974.3289188846247,2976.3296252904693,right,1,0,2.71,0.4651022010948509,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
X,left,Pretarget,0,21,21,21,2977.8295848694397,2979.8306127189426,left,1,0,2.71,0.49992653634399176,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
X,right,Target,0,22,22,22,2981.3296134208795,2983.329575245385,right,1,0,2.71,0.441149523248896,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
W,left,Distractor,0,23,23,23,2984.8295457316563,2986.8288085287204,left,1,0,2.71,0.44579730194527656,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
K,left,Distractor,0,24,24,24,2988.329660899588,2990.329582303064,left,1,0,2.71,0.7369985384866595,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
F,left,Pretarget,0,25,25,25,2991.829700678936,2993.8316389643587,left,1,0,2.71,0.6269763003801927,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
F,right,Target,0,26,26,26,2995.3296262528747,2997.3292197968112,right,1,0,2.71,0.44154731766320765,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
Z,left,Distractor,0,27,27,27,2998.829571075039,3000.828795055044,left,1,0,2.71,0.4780677327653393,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
F,left,Lure,0,28,28,28,3002.329594814335,3004.3294899121393,left,1,0,2.71,0.4494695218745619,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
P,left,Distractor,0,29,29,29,3005.8291976614855,3007.8306027740473,left,1,0,2.71,0.6121574958087876,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
F,left,Lure,0,30,30,30,3009.3291094410233,3011.3315417614067,left,1,0,2.71,0.4552112353267148,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
R,left,Distractor,0,31,31,31,3012.829361270531,3014.831593089737,left,1,0,2.71,0.5070236379979178,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
V,left,Distractor,0,32,32,32,3016.3296599371824,3018.3299749646103,left,1,0,2.71,0.6086755114374682,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
M,left,Pretarget,0,33,33,33,3019.829600267927,3021.830170974601,left,1,0,2.71,0.5488324733451009,M25R08,2022-10-21_09h11.15.393,t1_Paradigm,2021.1.4,59.81238040557512,
