vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
0,0,0,0,0,2669.072466687883,VS1rightbutton,0,1,2,1,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
1,0,1,1,1,2672.917159526034,VS1leftbutton,1,0,3,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
2,0,2,2,2,2676.816722079928,VS1leftbutton,1,0,2,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
3,0,3,3,3,2679.2243977256403,VS1rightbutton,0,1,4,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
4,0,4,4,4,2682.7778802919565,VS1rightbutton,0,1,1,2,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
5,0,5,5,5,2685.6061743548016,VS1rightbutton,0,1,4,1,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
6,0,6,6,6,2689.2174853970755,VS1rightbutton,0,1,2,1,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
7,0,7,7,7,2694.5078853221366,VS1rightbutton,0,1,4,2,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
8,0,8,8,8,2698.6590284692847,VS1rightbutton,0,1,3,2,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
9,0,9,9,9,2701.541084196506,VS1rightbutton,0,1,4,2,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
10,0,10,10,10,2703.9328762755104,VS1rightbutton,0,1,3,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
11,0,11,11,11,2708.017193402764,VS1rightbutton,0,1,4,1,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
12,0,12,12,12,2710.3141129942924,VS1rightbutton,0,1,3,1,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
13,0,13,13,13,2712.623433201248,VS1rightbutton,0,1,3,1,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
14,0,14,14,14,2715.2456200853085,VS1rightbutton,0,1,4,2,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
15,0,15,15,15,2718.446203047366,VS1leftbutton,1,0,1,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
16,0,16,16,16,2721.0832212663736,VS1leftbutton,1,0,1,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
17,0,17,17,17,2723.165588877653,VS1leftbutton,1,0,2,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
