Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
0,0,0,0,0,2757.0303193523378,EDrightbutton,0,1,1.00,2.00,1,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
1,0,1,1,1,2761.1051907747515,EDrightbutton,0,1,1.50,2.00,1,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
2,0,2,2,2,2764.250900813042,EDleftbutton,1,0,1.75,2.00,1,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
3,0,3,3,3,2766.2771206319558,EDrightbutton,0,1,1.62,2.00,1,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
4,0,4,4,4,2769.4332198548436,EDrightbutton,0,1,1.68,2.00,1,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
5,0,5,5,5,2772.494915924117,EDrightbutton,0,1,1.71,2.00,1,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
0,0,0,0,0,2774.7455232029934,EDrightbutton,0,1,1.00,2.00,3,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
1,0,1,1,1,2777.016974936352,EDrightbutton,0,1,1.50,2.00,3,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
2,0,2,2,2,2778.6453311706973,EDrightbutton,0,1,1.75,2.00,3,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
3,0,3,3,3,2780.3924551774944,EDrightbutton,0,1,1.88,2.00,3,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
4,0,4,4,4,2786.65686722375,EDrightbutton,0,1,1.94,2.00,3,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
5,0,5,5,5,2790.0679549234173,EDrightbutton,0,1,1.97,2.00,3,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
0,0,0,0,0,2791.1488911145443,EDleftbutton,1,0,1.00,2.00,1,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
1,0,1,1,1,2795.224006988359,EDleftbutton,1,0,0.50,2.00,1,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
2,0,2,2,2,2797.4051599135637,EDrightbutton,0,1,0.25,2.00,1,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
3,0,3,3,3,2799.9098022445905,EDrightbutton,0,1,0.38,2.00,1,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
4,0,4,4,4,2801.8395959301724,EDrightbutton,0,1,0.44,2.00,1,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
5,0,5,5,5,2803.916225991152,EDrightbutton,0,1,0.47,2.00,1,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
0,0,0,0,0,2805.3948682528844,EDrightbutton,0,1,1.00,2.00,1,2,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
1,0,1,1,1,2808.9162856603907,EDrightbutton,0,1,1.50,2.00,1,2,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
2,0,2,2,2,2811.7278646368013,EDrightbutton,0,1,1.75,2.00,1,2,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
3,0,3,3,3,2813.6789605618396,EDrightbutton,0,1,1.88,2.00,1,2,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
4,0,4,4,4,2815.5776094706,EDleftbutton,1,0,1.94,2.00,1,2,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
5,0,5,5,5,2819.882850033877,EDrightbutton,0,1,1.91,2.00,1,2,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
0,0,0,0,0,2821.949745347083,EDleftbutton,1,0,1.00,2.00,2,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
1,0,1,1,1,2826.034447437174,EDrightbutton,0,1,0.50,2.00,2,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
2,0,2,2,2,2828.084573769145,EDrightbutton,0,1,0.75,2.00,2,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
3,0,3,3,3,2829.659889502833,EDrightbutton,0,1,0.88,2.00,2,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
4,0,4,4,4,2831.528321395208,EDrightbutton,0,1,0.94,2.00,2,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
5,0,5,5,5,2834.378107933315,EDrightbutton,0,1,0.97,2.00,2,4,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
0,0,0,0,0,2835.849695751036,EDleftbutton,1,0,1.00,2.00,2,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
1,0,1,1,1,2840.3456045584735,EDrightbutton,0,1,0.50,2.00,2,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
2,0,2,2,2,2843.0673290380037,EDleftbutton,1,0,0.75,2.00,2,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
3,0,3,3,3,2846.410905804727,EDrightbutton,0,1,0.62,2.00,2,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
4,0,4,4,4,2847.9496414071164,EDrightbutton,0,1,0.68,2.00,2,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
5,0,5,5,5,2849.149531115263,EDrightbutton,0,1,0.71,2.00,2,3,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
