Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2894.997817902311,2896.985353447213,left,1,0.6591539030105196,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
T,left,Pretarget,0,1,1,1,2898.48337666304,2900.4849476322215,left,1,0.695678535497791,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
B,left,Distractor,0,2,2,2,2901.9832759310975,2903.9832101666125,left,1,0.717244474499239,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
T,right,Target,0,3,3,3,2905.4833067281234,2907.4839294055146,right,1,1.152593494640314,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
Z,left,Distractor,0,4,4,4,2908.9833805126673,2910.984050989611,left,1,0.6604367916697811,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
T,right,Target,0,5,5,5,2912.483075429618,2914.484973938015,right,1,0.6639328958444821,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
L,left,Distractor,0,6,6,6,2915.9833712093987,2917.985069857923,left,1,0.5714779749923764,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
T,right,Target,0,7,7,7,2919.483253474931,2921.4850798027965,right,1,0.6393347328867094,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
Z,left,Lure,0,8,8,8,2922.9833112193573,2924.985143642467,left,1,0.803257683857737,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
J,left,Distractor,0,9,9,9,2926.4834196505562,2928.485405738,left,1,0.9191321397775027,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
D,left,Pretarget,0,10,10,10,2929.9823645315773,2931.9853553720277,left,1,1.099236682852279,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
H,left,Distractor,0,11,11,11,2933.4833025576936,2935.485210048557,left,1,0.5434623044384352,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
D,right,Target,0,12,12,12,2936.983335921139,2938.9852777378564,right,1,0.6755587735606241,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
S,left,Distractor,0,13,13,13,2940.4833724926084,2942.4849595019095,left,1,0.6315992254549201,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
R,left,Pretarget,0,14,14,14,2943.9833991192045,2945.9857939088615,left,1,0.5228847575253894,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
Z,left,Distractor,0,15,15,15,2947.483308011333,2949.4848449754645,left,1,0.5119771563040558,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
R,right,Target,0,16,16,16,2950.9834116304974,2952.9841427390875,left,0,0.6767223237384314,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
T,left,Distractor,0,17,17,17,2954.48329678325,2956.484402268201,left,1,0.856293693283078,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
M,left,Distractor,0,18,18,18,2957.9834308786394,2959.9852459784215,right,0,0.731526274998032,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
R,left,Lure,0,19,19,19,2961.4833535652688,2963.4849408953723,left,1,0.559582623291135,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
J,left,Distractor,0,20,20,20,2964.9834966431245,2966.9838466385045,left,1,1.0449700755543745,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
K,left,Distractor,0,21,21,21,2968.483485094239,2970.4833830790867,left,1,1.0171337335232238,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
Z,left,Distractor,0,22,22,22,2971.9829663568144,2973.9853967555337,left,1,0.5552777763532504,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
W,left,Pretarget,0,23,23,23,2975.4833696053865,2977.4850685747133,right,0,1.2478124486715387,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
Q,left,Distractor,0,24,24,24,2978.9834745077605,2980.984158458403,left,1,1.3488263766266755,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
W,right,Target,0,25,25,25,2982.4831812943994,2984.484761246047,right,1,0.8239937071411987,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
D,left,Pretarget,0,26,26,26,2985.9830712591884,2987.985293777974,right,0,1.3394493234918627,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
W,right,Target,0,27,27,27,2989.4832204322884,2991.484153646368,None,0,,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
D,right,Target,0,28,28,28,2992.983163971072,2994.9838745483103,right,1,0.6129644576649298,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
L,left,Pretarget,0,29,29,29,2996.4833866079134,2998.4851523041307,left,1,0.7276237142232276,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
P,left,Distractor,0,30,30,30,2999.9831479309523,3001.985611051514,left,1,0.5551199415876908,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
L,right,Target,0,31,31,31,3003.4831732743405,3005.4852126149763,left,0,0.6712337160715833,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
R,left,Distractor,0,32,32,32,3006.983372171806,3008.9854625200187,left,1,0.6272725639555574,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
V,left,Distractor,0,33,33,33,3010.483136061266,3012.4830010034693,left,1,0.8896446279704833,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
L,left,Lure,0,34,34,34,3013.9834671293065,3015.982522366341,left,1,0.6541452156816376,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
H,left,Distractor,0,35,35,35,3017.482497985362,3019.484934158523,None,0,,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
K,left,Pretarget,0,36,36,36,3020.9831075098555,3022.9833041617057,left,1,0.5974770818793331,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
F,left,Distractor,0,37,37,37,3024.483271119061,3026.485310459697,left,1,0.5350916083225457,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
K,right,Target,0,38,38,38,3027.9832810639346,3029.984227430912,right,1,0.5724378156683088,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
S,left,Pretarget,0,39,39,39,3031.483519099289,3033.483350036444,right,0,0.6731139387338771,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
W,left,Distractor,0,40,40,40,3034.9835441218747,3036.9834013648215,right,0,0.4052282444663433,1,1.97,M27Y05,2022-09-19_10h38.07.152,t1_Paradigm,2021.1.4,60.02283698502957,
