Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
0,0,0,0,0,2459.2923728052338,EDrightbutton,0,1,1.00,2.00,1,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
1,0,1,1,1,2463.540388324349,EDrightbutton,0,1,1.50,2.00,1,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
2,0,2,2,2,2467.6775998111116,EDrightbutton,0,1,1.75,2.00,1,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
3,0,3,3,3,2470.368397735394,EDrightbutton,0,1,1.88,2.00,1,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
4,0,4,4,4,2472.7961717419676,EDleftbutton,1,0,1.94,2.00,1,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
5,0,5,5,5,2475.3448139797783,EDleftbutton,1,0,1.91,2.00,1,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
0,0,0,0,0,2477.3811152872386,EDleftbutton,1,0,1.00,2.00,1,3,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
1,0,1,1,1,2482.9395804808682,EDrightbutton,0,1,0.50,2.00,1,3,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
2,0,2,2,2,2487.5721175623657,EDrightbutton,0,1,0.75,2.00,1,3,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
3,0,3,3,3,2493.171072774565,EDrightbutton,0,1,0.88,2.00,1,3,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
4,0,4,4,4,2495.7387016759967,EDrightbutton,0,1,0.94,2.00,1,3,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
5,0,5,5,5,2498.3653183574424,EDleftbutton,1,0,0.97,2.00,1,3,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
0,0,0,0,0,2501.2342046742124,EDrightbutton,0,1,1.00,2.00,2,3,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
1,0,1,1,1,2508.9691789523113,EDrightbutton,0,1,1.50,2.00,2,3,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
2,0,2,2,2,2513.8188594977255,EDleftbutton,1,0,1.75,2.00,2,3,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
3,0,3,3,3,2515.4396311675773,EDrightbutton,0,1,1.62,2.00,2,3,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
4,0,4,4,4,2519.556319670164,EDleftbutton,1,0,1.68,2.00,2,3,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
5,0,5,5,5,2523.069029843564,EDrightbutton,0,1,1.65,2.00,2,3,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
0,0,0,0,0,2527.237906407954,EDleftbutton,1,0,1.00,2.00,3,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
1,0,1,1,1,2544.47724327182,EDleftbutton,1,0,0.50,2.00,3,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
2,0,2,2,2,2546.820755437271,EDleftbutton,1,0,0.25,2.00,3,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
3,0,3,3,3,2548.0206968588354,EDrightbutton,0,1,0.12,2.00,3,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
4,0,4,4,4,2550.317269924046,EDrightbutton,0,1,0.18,2.00,3,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
5,0,5,5,5,2552.58866773515,EDrightbutton,0,1,0.21,2.00,3,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
0,0,0,0,0,2555.2549875079712,EDrightbutton,0,1,1.00,2.00,2,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
1,0,1,1,1,2560.565435257675,EDrightbutton,0,1,1.50,2.00,2,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
2,0,2,2,2,2562.41547413887,EDleftbutton,1,0,1.75,2.00,2,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
3,0,3,3,3,2565.939874014657,EDrightbutton,0,1,1.62,2.00,2,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
4,0,4,4,4,2567.623053854948,EDleftbutton,1,0,1.68,2.00,2,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
5,0,5,5,5,2569.3043088835184,EDrightbutton,0,1,1.65,2.00,2,4,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
0,0,0,0,0,2570.9208725941444,EDrightbutton,0,1,1.00,2.00,1,2,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
1,0,1,1,1,2580.8535054671065,EDrightbutton,0,1,1.50,2.00,1,2,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
2,0,2,2,2,2581.753362966878,EDrightbutton,0,1,1.75,2.00,1,2,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
3,0,3,3,3,2583.0794902328635,EDrightbutton,0,1,1.88,2.00,1,2,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
4,0,4,4,4,2584.62187683258,EDrightbutton,0,1,1.94,2.00,1,2,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
5,0,5,5,5,2587.4612221014577,EDleftbutton,1,0,1.97,2.00,1,2,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
