Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2621.402569880289,2623.3961711645243,None,0,1,3.0,,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
T,left,Pretarget,0,1,1,1,2624.894421189867,2626.8966186832495,None,0,1,3.0,,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
B,left,Distractor,0,2,2,2,2628.394458402894,2630.396214793589,left,1,1,3.0,0.6729687141105387,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
T,right,Target,0,3,3,3,2631.8946595457182,2633.895761500429,right,1,1,3.0,0.6932623248903838,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
Z,left,Distractor,0,4,4,4,2635.3946771898263,2637.395041300044,left,1,1,3.0,0.6020073219842743,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
T,right,Target,0,5,5,5,2638.8946271447203,2640.896633119337,right,1,1,3.0,0.7164877447248728,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
L,left,Distractor,0,6,6,6,2642.3946601873213,2644.3966369689606,left,1,1,3.0,0.4644349330228579,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
T,right,Target,0,7,7,7,2645.89450556078,2647.894956929129,right,1,1,3.0,0.5982767160658113,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
Z,left,Lure,0,8,8,8,2649.3946698113814,2651.395429470407,left,1,1,3.0,1.0655966210579209,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
J,left,Distractor,0,9,9,9,2652.894560738716,2654.8957932598223,left,1,1,3.0,0.5412612264644849,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
D,left,Pretarget,0,10,10,10,2656.3947647687583,2658.395417921536,left,1,1,3.0,0.641834242913319,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
H,left,Distractor,0,11,11,11,2659.894579666032,2661.894856518118,left,1,1,3.0,0.5501532150119601,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
D,right,Target,0,12,12,12,2663.3945787036264,2665.39596713448,right,1,1,3.0,0.4892223375682079,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
S,left,Distractor,0,13,13,13,2666.894625540712,2668.8962840868116,left,1,1,3.0,0.8449666815085948,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
R,left,Pretarget,0,14,14,14,2670.3946794354397,2672.3957621420323,left,1,1,3.0,0.6574717341409269,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
Z,left,Distractor,0,15,15,15,2673.894699325161,2675.8966491594347,left,1,1,3.0,0.6764580769577151,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
R,right,Target,0,16,16,16,2677.394783054471,2679.396508968981,right,1,1,3.0,1.0808507539495622,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
T,left,Distractor,0,17,17,17,2680.894626182315,2682.8968089188074,left,1,1,3.0,0.6523065018864145,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
M,left,Distractor,0,18,18,18,2684.3946207286826,2686.3965619013034,left,1,1,3.0,0.608921887291217,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
R,left,Lure,0,19,19,19,2687.894759315126,2689.89373371128,left,1,1,3.0,0.7117677855803777,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
J,left,Distractor,0,20,20,20,2691.3946271447203,2693.396628948911,left,1,1,3.0,0.4885335757735447,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
K,left,Distractor,0,21,21,21,2694.893855616023,2696.896743154406,left,1,1,3.0,0.6203892739231378,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
Z,left,Distractor,0,22,22,22,2698.394568117161,2700.3955516959504,left,1,1,3.0,0.5457165239949973,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
W,left,Pretarget,0,23,23,23,2701.894481179832,2703.8948674253843,left,1,1,3.0,0.5662055031662021,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
Q,left,Distractor,0,24,24,24,2705.394540528194,2707.3958587034213,left,1,1,3.0,0.9690990726267046,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
W,right,Target,0,25,25,25,2708.894608217406,2710.8960011394884,right,1,1,3.0,0.47741233445049147,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
D,left,Pretarget,0,26,26,26,2712.3945754956057,2714.3966542922662,left,1,1,3.0,0.81640985400918,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
W,right,Target,0,27,27,27,2715.8945479066388,2717.8966356857527,right,1,1,3.0,0.6126573052388267,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
D,right,Target,0,28,28,28,2719.3943461222098,2721.3961705229194,right,1,1,3.0,0.48902376115984225,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
L,left,Pretarget,0,29,29,29,2722.894592498111,2724.895842342521,left,1,1,3.0,0.5410299282557389,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
P,left,Distractor,0,30,30,30,2726.394595385327,2728.395770803685,left,1,1,3.0,0.49749164952481806,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
L,right,Target,0,31,31,31,2729.8946531296788,2731.8956578813977,right,1,1,3.0,0.8214884697354137,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
R,left,Distractor,0,32,32,32,2733.394713440446,2735.3959478863635,left,1,1,3.0,0.8252992761426867,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
V,left,Distractor,0,33,33,33,2736.8945799868343,2738.8967062621814,left,1,1,3.0,0.956497009485247,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
L,left,Lure,0,34,34,34,2740.394629069533,2742.396184317404,right,0,1,3.0,0.5290842259109922,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
H,left,Distractor,0,35,35,35,2743.894410924204,2745.896035144495,left,1,1,3.0,0.6930730517378834,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
K,left,Pretarget,0,36,36,36,2747.39460404698,2749.3953075656646,left,1,1,3.0,0.5538081116701505,N06L10,2022-11-14_11h59.04.238,t1_Paradigm,2021.1.4,59.98999264848032,
