vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
0,0,0,0,0,2341.0648580846464,VS1rightbutton,0,1,4,2,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
1,0,1,1,1,2350.645998379943,VS1rightbutton,0,1,2,1,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
2,0,2,2,2,2354.249782254774,VS1leftbutton,1,0,3,4,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
3,0,3,3,3,2358.0382378275244,VS1rightbutton,0,1,3,1,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
4,0,4,4,4,2360.549260468222,VS1leftbutton,1,0,2,4,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
5,0,5,5,5,2363.1726248927444,VS1rightbutton,0,1,3,1,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
6,0,6,6,6,2365.888309446862,VS1leftbutton,1,0,1,2,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
7,0,7,7,7,2368.5302766126406,VS1leftbutton,1,0,2,3,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
8,0,8,8,8,2372.2545211609977,VS1leftbutton,1,0,1,4,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
9,0,9,9,9,2374.93369765894,VS1leftbutton,1,0,1,4,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
10,0,10,10,10,2377.676647926419,VS1rightbutton,0,1,4,3,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
11,0,11,11,11,2380.302512691793,VS1rightbutton,0,1,3,2,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
12,0,12,12,12,2383.5943310850416,VS1leftbutton,1,0,2,4,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
13,0,13,13,13,2385.951414983123,VS1leftbutton,1,0,1,4,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
14,0,14,14,14,2387.984446173228,VS1rightbutton,0,1,4,3,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
15,0,15,15,15,2390.622975290127,VS1rightbutton,0,1,2,1,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
16,0,16,16,16,2393.046637740903,VS1rightbutton,0,1,3,1,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
17,0,17,17,17,2395.4835718238464,VS1leftbutton,1,0,2,3,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
