Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,48.40961672028061,50.39137488271808,None,0,1,,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Q,left,Pretarget,0,1,1,1,51.891832508612424,53.89223928717547,left,1,1,0.6060404051822843,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Q,right,Target,0,2,2,2,55.3878515001561,57.38791886885883,left,0,1,0.5032598426478216,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
T,left,Distractor,0,3,3,3,58.887672652330366,60.888972226457554,left,1,1,0.7499482704588445,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Q,left,Lure,0,4,4,4,62.38713803363498,64.38907055267191,left,1,1,0.5739177299983567,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
L,left,Distractor,0,5,5,5,65.8865552944626,67.8891656708438,right,0,1,1.135030917415861,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
V,left,Pretarget,0,6,6,6,69.38600848524948,71.38785085856216,left,1,1,0.6832263187097851,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
V,right,Target,0,7,7,7,72.8848553578282,74.88520695823536,right,1,1,0.5502726025879383,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
K,left,Distractor,0,8,8,8,76.38485904705885,78.38744215515908,left,1,1,0.5106671906396514,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
G,left,Pretarget,0,9,9,9,79.8844726394891,81.88736051072192,left,1,1,0.7057832813297864,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
G,right,Target,0,10,10,10,83.3837971881585,85.38304426283867,right,1,1,0.6481878624181263,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
G,right,Target,0,11,11,11,86.88307425794483,88.88280542478606,right,1,1,0.4193822932575131,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
P,left,Pretarget,0,12,12,12,90.38249440600339,92.38422257332422,left,1,1,0.4748809418815654,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
P,right,Target,0,13,13,13,93.88199283005088,95.88160177084501,right,1,1,0.7291573299444281,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
G,left,Lure,0,14,14,14,97.38145660735609,99.38314948632615,left,1,1,0.5922153873252682,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Y,left,Distractor,0,15,15,15,100.88088509628142,102.88313264414319,left,1,1,0.563475903662038,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
B,left,Distractor,0,16,16,16,104.38014676750754,106.38158492866205,left,1,1,0.5114207575825276,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
T,left,Pretarget,0,17,17,17,107.87975041504251,109.89174460851063,left,1,1,0.5207291858823737,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
T,right,Target,0,18,18,18,111.37927193693758,113.3789716650499,right,1,1,0.5783486650616396,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
S,left,Distractor,0,19,19,19,114.87835588313465,116.88128962923656,left,1,1,0.4569637572421925,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
T,left,Lure,0,20,20,20,118.3781558622868,120.39016288788116,left,1,1,0.6308862992882496,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
J,left,Distractor,0,21,21,21,121.87729434504581,123.87914698405075,left,1,1,0.4657402936863946,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
P,left,Distractor,0,22,22,22,125.3769586244016,127.38896532918443,left,1,1,0.48421631766541395,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
F,left,Distractor,0,23,23,23,128.87640219109016,130.87897407107812,left,1,1,0.4896664447733201,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
L,left,Distractor,0,24,24,24,132.37564204770024,134.37761498794134,left,1,1,0.5436951727169799,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
W,left,Pretarget,0,25,25,25,135.8751420757617,137.8780495159881,left,1,1,0.5382877124211518,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
W,right,Target,0,26,26,26,139.37469984842755,141.37422570116178,right,1,1,0.42722368812246714,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
V,left,Distractor,0,27,27,27,142.8742630747438,144.87276652739092,left,1,1,0.5589464819931891,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
W,left,Lure,0,28,28,28,146.37351415946614,148.3755855863128,left,1,1,0.7474100748368073,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
R,left,Pretarget,0,29,29,29,149.88993912757724,151.8912727068673,left,1,1,0.4909259185078554,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
R,right,Target,0,30,30,30,153.38887807069113,155.3885364151938,right,1,1,0.3707456270494731,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
G,left,Distractor,0,31,31,31,156.88851026972407,158.89036034230958,left,1,1,0.43752532340295147,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
R,left,Lure,0,32,32,32,160.38776007122942,162.39002911291027,left,1,1,0.7594029850879451,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
S,left,Distractor,0,33,33,33,163.88714974296454,165.88940402769367,left,1,1,0.5030850048497086,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
R,left,Lure,0,34,34,34,167.3866747936845,169.38865607482148,left,1,1,0.6051681410172023,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
P,left,Pretarget,0,35,35,35,170.8862569474004,172.88831554212084,left,1,1,0.5032678627321729,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
P,right,Target,0,36,36,36,174.38448402800714,176.3856174260436,right,1,1,0.39578592796169687,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Y,left,Pretarget,0,37,37,37,177.88501800509403,179.88668169095763,left,1,1,0.5531341679597972,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Y,right,Target,0,38,38,38,181.38448531122413,183.38394892812357,left,0,1,0.47888841660460457,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
J,left,Distractor,0,39,39,39,184.88326866473653,186.88587936192926,left,1,1,0.5374860250158235,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Y,left,Lure,0,40,40,40,188.38335159239068,190.38467298114847,left,1,1,0.6242796763108345,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
T,left,Distractor,0,41,41,41,191.88265304322704,193.88409569562646,left,1,1,0.5348198288411368,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
V,left,Distractor,0,42,42,42,195.382179377164,197.38435666910664,left,1,1,0.48973990873491857,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
N,left,Pretarget,0,43,43,43,198.88157257773855,200.88491695205448,left,1,1,0.5910778188554104,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
N,right,Target,0,44,44,44,202.3809866305237,204.38075789778668,right,1,1,0.4848630570922978,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
N,right,Target,0,45,45,45,205.8798835484049,207.87917457314325,right,1,1,0.5151215443474939,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
X,left,Distractor,0,46,46,46,209.37983366349363,211.38342216912133,left,1,1,0.4900767521758098,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Z,left,Distractor,0,47,47,47,212.87900294337305,214.88113756847451,left,1,1,0.8386609670706093,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
H,left,Pretarget,0,48,48,48,216.37872817536118,218.3806979075598,left,1,1,0.468009656178765,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
H,right,Target,0,49,49,49,219.87804823278566,221.87776977552858,right,1,1,0.4667017411557026,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
K,left,Distractor,0,50,50,50,223.37755275209201,225.37865984425298,left,1,1,0.5348069967149058,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
V,left,Pretarget,0,51,51,51,226.8768416915991,228.87860803453077,left,1,1,0.6124561502074357,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
V,right,Target,0,52,52,52,230.37637444160646,232.37594937725225,right,1,1,0.545337043949985,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
R,left,Distractor,0,53,53,53,233.87586677039508,235.87743036563916,left,1,1,0.46633249656588305,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
V,left,Lure,0,54,54,54,237.3747229462606,239.3770612814551,left,1,1,0.4580753406480653,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Y,left,Distractor,0,55,55,55,240.87469230954594,242.87653211642464,left,1,1,0.6623179641755996,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Q,left,Distractor,0,56,56,56,244.37405246737762,246.37600455540814,left,1,1,0.46293422729650047,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Z,left,Pretarget,0,57,57,57,247.8902448531153,249.89226591384795,left,1,1,0.6255882329423912,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Z,right,Target,0,58,58,58,251.3895636273228,253.38927939561836,right,1,1,0.4290962169325212,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
B,left,Distractor,0,59,59,59,254.888975755297,256.88794597673404,left,1,1,0.45464723667828366,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
S,left,Pretarget,0,60,60,60,258.3885011268285,260.39058217777347,left,1,1,0.44802649835764896,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
S,right,Target,0,61,61,61,261.8879110091657,263.88760688765615,right,1,1,0.5769618324266048,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
T,left,Distractor,0,62,62,62,265.38676943065366,267.3886079543299,left,1,1,0.5354126733291196,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
D,left,Distractor,0,63,63,63,268.8867304530577,270.88698966211814,left,1,1,0.5201170932123205,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
R,left,Distractor,0,0,0,0,284.18576852438855,286.18625261656416,None,0,1,,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
V,left,Distractor,0,1,1,1,287.68368955866026,289.68585754730157,left,1,1,0.46085510117700323,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
N,left,Pretarget,0,2,2,2,291.18276099352806,293.1843688596273,left,1,1,0.4497838587849401,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
N,right,Target,0,3,3,3,294.68259241140913,296.6822218836023,right,1,1,0.43156896870641503,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
S,left,Distractor,0,4,4,4,298.18188584216114,300.1942710948206,left,1,1,0.4682268400210887,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
N,left,Lure,0,5,5,5,301.6810653877328,303.6830797115981,left,1,1,0.3688801559037529,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Z,left,Distractor,0,6,6,6,305.1808852566901,307.19279347486736,left,1,1,0.42871574421587866,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
L,left,Pretarget,0,7,7,7,308.68012415088015,310.68235084653134,left,1,1,0.48765308332804125,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
L,right,Target,0,8,8,8,312.17967326185317,314.1793133205647,right,1,1,0.658038448280422,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
H,left,Distractor,0,9,9,9,315.6791713651037,317.68053445828264,left,1,1,0.43636722353403457,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
L,left,Lure,0,10,10,10,319.1784481140785,321.17926263363915,left,1,1,0.4662131577497348,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
X,left,Pretarget,0,11,11,11,322.6779260067269,324.6900427470391,left,1,1,0.5369445090473164,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
X,right,Target,0,12,12,12,326.1770195770223,328.17713538701355,right,1,1,0.4882488150324207,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
X,right,Target,0,13,13,13,329.67651543465036,331.67648495834146,right,1,1,0.5173078187799547,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
R,left,Distractor,0,14,14,14,333.1762297593232,335.17800348071614,left,1,1,0.43842068540106993,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
T,left,Distractor,0,15,15,15,336.67558478430146,338.67674737542984,left,1,1,0.49242054103524424,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
V,left,Pretarget,0,16,16,16,340.1752259658242,342.176701340155,right,0,1,0.602160930968239,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
V,right,Target,0,17,17,17,343.67449212829524,345.67407027196896,right,1,1,0.5601408326474484,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
N,left,Distractor,0,18,18,18,347.17398766512633,349.1863049074891,left,1,1,0.4703608235140564,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
B,left,Distractor,0,19,19,19,350.6735075829929,352.67461595837085,left,1,1,0.44523262248549145,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
V,left,Lure,0,20,20,20,354.1725045915082,356.1749574534624,left,1,1,0.5062128369463608,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
P,left,Distractor,0,21,21,21,357.6721451314079,359.6738040052296,left,1,1,0.5313679854298243,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
K,left,Pretarget,0,22,22,22,361.171691034353,363.17359628510894,left,1,1,0.4051164917036658,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
K,right,Target,0,23,23,23,364.6714582915738,366.6706341479148,right,1,1,0.672863409970887,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
J,left,Pretarget,0,24,24,24,368.1705762429192,370.1724452428898,left,1,1,0.5813045465911273,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
J,right,Target,0,25,25,25,371.6699678394798,373.6694484589534,right,1,1,0.7228500164492289,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
H,left,Distractor,0,26,26,26,375.1697399087425,377.17146069758746,left,1,1,0.5047134023479884,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
J,left,Lure,0,27,27,27,378.66890598057944,380.6701635294885,left,1,1,0.6649097339686705,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
V,left,Distractor,0,28,28,28,382.18472559288784,384.186801510994,left,1,1,0.47326633891498204,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Z,left,Pretarget,0,29,29,29,385.68425096441933,387.6858488856087,left,1,1,0.673865599455894,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Z,right,Target,0,30,30,30,389.1837513132923,391.18332849456056,right,1,1,0.7227807229355676,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
T,left,Distractor,0,31,31,31,392.6829879618599,394.6851001307368,left,1,1,0.48964045972388703,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Z,left,Lure,0,32,32,32,396.18260668714356,398.18394604089553,left,1,1,0.7067995861725649,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
F,left,Distractor,0,33,33,33,399.6820428753708,401.68310409264814,left,1,1,0.6752270886354381,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Y,left,Pretarget,0,34,34,34,403.1814181109512,405.183639673749,left,1,1,0.5726775044749957,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Y,right,Target,0,35,35,35,406.6809290463425,408.6802540762146,left,0,1,0.5761290270893369,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Y,right,Target,0,36,36,36,410.1802330635983,412.17990584424115,right,1,1,0.49954365732264705,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
W,left,Distractor,0,37,37,37,413.6797757585009,415.68099866065313,left,1,1,0.8607604642020306,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Q,left,Distractor,0,38,38,38,417.17907143487537,419.18091220415954,left,1,1,0.5229802625835873,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
P,left,Pretarget,0,39,39,39,420.6787042755168,422.68033523944905,left,1,1,0.5234078933717683,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
