Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
D,left,Distractor,0,0,0,0,2565.5947105953383,2567.595987713241,None,0,2,1.85,,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
M,left,Pretarget,0,1,1,1,2569.0936697490542,2571.0958005245193,None,0,2,1.85,,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
T,left,Distractor,0,2,2,2,2572.5931364135904,2574.5943814511556,None,0,2,1.85,,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
G,left,Pretarget,0,3,3,3,2576.0924773232255,2578.093419843295,left,1,2,1.85,0.5263865519227693,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
M,right,Target,0,4,4,4,2579.5920097524213,2581.593226238503,right,1,2,1.85,0.41464274542522617,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
P,left,Distractor,0,5,5,5,2583.0911466311663,2585.0929524328967,left,1,2,1.85,0.5262951229815371,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
G,right,Target,0,6,6,6,2586.590638639158,2588.591605861089,right,1,2,1.85,0.41107669605116826,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
J,left,Distractor,0,7,7,7,2590.0901608026616,2592.091090811402,left,1,2,1.85,0.5965314748173114,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
M,left,Lure,0,8,8,8,2593.5896771916887,2595.588656716427,left,1,2,1.85,0.5716570292133838,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
F,left,Pretarget,0,9,9,9,2597.0889953243022,2599.0903985178884,left,1,2,1.85,0.8897341342672007,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
R,left,Distractor,0,10,10,10,2600.588562400255,2602.5898167411215,left,1,2,1.85,0.5246705751196714,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
G,left,Distractor,0,11,11,11,2604.0878782872314,2606.089285972077,left,1,2,1.85,0.45307273413345683,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
F,right,Target,0,12,12,12,2607.586576307076,2609.5893095511274,right,1,2,1.85,0.5483413667825516,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
F,left,Lure,0,13,13,13,2611.0868026337994,2613.0864176698524,left,1,2,1.85,0.7199499546841253,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
S,left,Distractor,0,14,14,14,2614.58603799915,2616.5875364713283,left,1,2,1.85,0.4840264021040639,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
F,right,Target,0,15,15,15,2618.0854960019933,2620.0868610199977,right,1,2,1.85,0.40040998659969773,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
T,left,Pretarget,0,16,16,16,2621.5850864965905,2623.5872820743243,left,1,2,1.85,0.4831724237446906,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Z,left,Distractor,0,17,17,17,2625.0845088902715,2627.0858844947797,left,1,2,1.85,0.43288971585570835,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
W,left,Distractor,0,18,18,18,2628.5840182216343,2630.585697306058,left,1,2,1.85,1.156404757508426,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
T,right,Target,0,19,19,19,2632.0833106899663,2634.084745643093,right,1,2,1.85,1.1182743990939343,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
V,left,Distractor,0,20,20,20,2635.5827940362797,2637.5845321485103,left,1,2,1.85,0.5127860963839339,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
N,left,Distractor,0,21,21,21,2639.0821926905046,2641.0811763856764,left,1,2,1.85,0.5465740614599781,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
P,left,Pretarget,0,22,22,22,2642.581651014145,2644.58247259137,left,1,2,1.85,0.6118007490731543,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
T,left,Lure,0,23,23,23,2646.0808600736345,2648.0824390674243,left,1,2,1.85,0.5970572713995352,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
L,left,Pretarget,0,24,24,24,2649.5804714204423,2651.5818787844764,left,1,2,1.85,0.6726025969110196,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
P,right,Target,0,25,25,25,2653.079870395479,2655.0818497517903,left,0,2,1.85,0.5681297970149899,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
G,left,Pretarget,0,26,26,26,2656.5793582330225,2658.5812724662683,left,1,2,1.85,0.43979596911231056,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
L,right,Target,0,27,27,27,2660.078813348635,2662.0808876627125,right,1,2,1.85,0.6496141538518714,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
F,left,Distractor,0,28,28,28,2663.5781702984386,2665.5803277005616,left,1,2,1.85,0.5621821039821953,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
G,right,Target,0,29,29,29,2667.0942478365905,2669.095372893731,left,0,2,1.85,0.4305638919904595,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
R,left,Pretarget,0,30,30,30,2670.5934347606526,2672.5952687930694,left,1,2,1.85,0.5101728327717865,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
X,left,Distractor,0,31,31,31,2674.0930996816023,2676.09417822228,left,1,2,1.85,0.42262561453389935,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
W,left,Distractor,0,32,32,32,2677.592590406377,2679.59366990946,left,1,2,1.85,0.5839960862067528,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
R,right,Target,0,33,33,33,2681.0919544138596,2683.09385677737,right,1,2,1.85,0.7607551709515974,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
S,left,Distractor,0,34,34,34,2684.5912889074243,2686.5928107982472,left,1,2,1.85,0.7066420717455912,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
D,left,Distractor,0,35,35,35,2688.0907998428156,2690.092325904072,left,1,2,1.85,0.4275406417727936,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
R,right,Target,0,36,36,36,2691.5902212740766,2693.5911134280323,right,1,2,1.85,0.39392591048090253,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
T,left,Distractor,0,37,37,37,2695.0895952264545,2697.0907401734003,left,1,2,1.85,1.0112377392943017,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
G,left,Distractor,0,38,38,38,2698.5891032746003,2700.591079743681,left,1,2,1.85,1.2775432883936446,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
K,left,Pretarget,0,39,39,39,2702.088240474157,2704.090699110573,left,1,2,1.85,0.5374654935876606,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
R,left,Lure,0,40,40,40,2705.587951911599,2707.589440118056,right,0,2,1.85,0.4059245951793855,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Q,left,Pretarget,0,41,41,41,2709.087343187348,2711.0888673237787,left,1,2,1.85,0.5182022183435038,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
K,right,Target,0,42,42,42,2712.5867806587776,2714.588049435799,right,1,2,1.85,0.667333723657066,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Z,left,Distractor,0,43,43,43,2716.086123493238,2718.0879398814723,left,1,2,1.85,0.7142906638182467,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Q,right,Target,0,44,44,44,2719.5855385084287,2721.5864864821633,left,0,2,1.85,0.7127440711483359,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
W,left,Distractor,0,45,45,45,2723.085005493762,2725.0864285771677,left,1,2,1.85,0.4941464627336245,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
X,left,Distractor,0,46,46,46,2726.5845003889845,2728.5866356556944,left,1,2,1.85,0.46727116699912585,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
R,left,Distractor,0,47,47,47,2730.083921499434,2732.085340412392,left,1,2,1.85,0.5799722505180398,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
P,left,Pretarget,0,48,48,48,2733.5834375676786,2735.585256522332,left,1,2,1.85,0.45546881391783245,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Z,left,Pretarget,0,49,49,49,2737.0824560699984,2739.084410724463,left,1,2,1.85,0.515264943416696,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
V,left,Distractor,0,50,50,50,2740.5822162695404,2742.584411847274,left,1,2,1.85,0.6918738922395278,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
P,right,Target,0,51,51,51,2744.0814227626106,2746.08265143921,right,1,2,1.85,0.8222101742721861,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Z,right,Target,0,52,52,52,2747.5810700393777,2749.582354214959,right,1,2,1.85,0.8973368514707545,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
H,left,Distractor,0,53,53,53,2751.0804994907376,2753.0826783866796,left,1,2,1.85,0.6541214400785975,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
L,left,Distractor,0,54,54,54,2754.5803953900613,2756.581315133095,left,1,2,1.85,0.66889539406111,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Z,right,Target,0,55,55,55,2758.0792935911595,2760.081250170435,right,1,2,1.85,0.7562443558708765,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
Z,left,Lure,0,56,56,56,2761.578820245908,2763.5783938983222,left,1,2,1.85,0.6343766391073586,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
B,left,Distractor,0,57,57,57,2765.078244885197,2767.0796756678756,left,1,2,1.85,0.5777628782525426,N13B03,2022-12-09_09h19.23.211,t1_Paradigm,2021.1.4,59.96827650352196,
