vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
0,0,0,0,0,2653.241737259188,VS1rightbutton,0,1,2,3,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
1,0,1,1,1,2664.8342992686376,VS1leftbutton,1,0,2,4,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
2,0,2,2,2,2673.774766728704,VS1leftbutton,1,0,1,3,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
3,0,3,3,3,2682.5551413999638,VS1leftbutton,1,0,2,4,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
4,0,4,4,4,2692.957172911716,VS1leftbutton,1,0,1,2,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
5,0,5,5,5,2701.138325720691,VS1rightbutton,0,1,2,1,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
6,0,6,6,6,2706.189827940965,VS1leftbutton,1,0,2,4,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
7,0,7,7,7,2708.9588596894755,VS1leftbutton,1,0,3,4,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
8,0,8,8,8,2713.2228067237593,VS1leftbutton,1,0,1,2,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
9,0,9,9,9,2719.0714724754944,VS1leftbutton,1,0,3,4,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
10,0,10,10,10,2722.307830844875,VS1rightbutton,0,1,3,1,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
11,0,11,11,11,2725.5286643145373,VS1rightbutton,0,1,3,2,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
12,0,12,12,12,2729.35426471183,VS1rightbutton,0,1,4,1,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
13,0,13,13,13,2732.0589749857754,VS1leftbutton,1,0,1,3,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
14,0,14,14,14,2734.8128353585635,VS1rightbutton,0,1,3,2,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
15,0,15,15,15,2741.5217202310014,VS1rightbutton,0,1,4,1,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
16,0,16,16,16,2746.1754159039556,VS1leftbutton,1,0,3,4,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
17,0,17,17,17,2750.8131664263783,VS1leftbutton,1,0,1,4,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
