Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
0,0,0,0,0,2780.0117339805875,EDleftbutton,1,0,1.00,2.00,1,4,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
1,0,1,1,1,2789.315378998872,EDrightbutton,0,1,0.50,2.00,1,4,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
2,0,2,2,2,2796.9057383807085,EDleftbutton,1,0,0.75,2.00,1,4,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
3,0,3,3,3,2801.9979558486375,EDrightbutton,0,1,0.62,2.00,1,4,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
4,0,4,4,4,2807.7047827752394,EDrightbutton,0,1,0.68,2.00,1,4,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
5,0,5,5,5,2810.508292735816,EDrightbutton,0,1,0.71,2.00,1,4,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
0,0,0,0,0,2813.106996502611,EDleftbutton,1,0,1.00,2.00,1,3,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
1,0,1,1,1,2822.3239258100075,EDrightbutton,0,1,0.50,2.00,1,3,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
2,0,2,2,2,2826.10841573136,EDleftbutton,1,0,0.75,2.00,1,3,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
3,0,3,3,3,2833.508185908693,EDrightbutton,0,1,0.62,2.00,1,3,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
4,0,4,4,4,2837.1094862481696,EDrightbutton,0,1,0.68,2.00,1,3,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
5,0,5,5,5,2839.0263478021516,EDleftbutton,1,0,0.71,2.00,1,3,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
0,0,0,0,0,2843.6468481508637,EDrightbutton,0,1,1.00,2.00,2,3,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
1,0,1,1,1,2847.058969211328,EDleftbutton,1,0,1.50,2.00,2,3,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
2,0,2,2,2,2851.192554438516,EDrightbutton,0,1,1.25,2.00,2,3,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
3,0,3,3,3,2854.9314378416893,EDleftbutton,1,0,1.38,2.00,2,3,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
4,0,4,4,4,2860.663644389526,EDleftbutton,1,0,1.32,2.00,2,3,N25N07,2023-01-24_10h46.47.289,t1_Paradigm,2021.1.4,60.00230986203826,
