Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
0,0,0,0,0,2548.145177,EDleftbutton,1,0,1,2,1,3,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
1,0,1,1,1,2554.940306,EDleftbutton,1,0,0.5,2,1,3,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
2,0,2,2,2,2562.438724,EDrightbutton,0,1,0.25,2,1,3,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
3,0,3,3,3,2573.784806,EDrightbutton,0,1,0.38,2,1,3,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
4,0,4,4,4,2577.959894,EDrightbutton,0,1,0.44,2,1,3,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
5,0,5,5,5,2584.623156,EDrightbutton,0,1,0.47,2,1,3,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
0,0,0,0,0,2586.387334,EDleftbutton,1,0,1,2,1,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
1,0,1,1,1,2589.25493,EDleftbutton,1,0,0.5,2,1,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
2,0,2,2,2,2592.78844,EDrightbutton,0,1,0.25,2,1,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
3,0,3,3,3,2595.055901,EDrightbutton,0,1,0.38,2,1,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
4,0,4,4,4,2598.187089,EDrightbutton,0,1,0.44,2,1,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
5,0,5,5,5,2603.887779,EDrightbutton,0,1,0.47,2,1,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
0,0,0,0,0,2605.971528,EDleftbutton,1,0,1,2,3,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
1,0,1,1,1,2610.520466,EDleftbutton,1,0,0.5,2,3,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
2,0,2,2,2,2615.01987,EDrightbutton,0,1,0.25,2,3,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
3,0,3,3,3,2617.386527,EDrightbutton,0,1,0.38,2,3,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
4,0,4,4,4,2619.762761,EDrightbutton,0,1,0.44,2,3,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
5,0,5,5,5,2621.470638,EDrightbutton,0,1,0.47,2,3,4,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
0,0,0,0,0,2623.136479,EDleftbutton,1,0,1,2,1,2,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
1,0,1,1,1,2628.129941,EDleftbutton,1,0,0.5,2,1,2,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
2,0,2,2,2,2629.78588,EDrightbutton,0,1,0.25,2,1,2,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
3,0,3,3,3,2631.836933,EDrightbutton,0,1,0.38,2,1,2,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
4,0,4,4,4,2633.306143,EDrightbutton,0,1,0.44,2,1,2,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
5,0,5,5,5,2634.64811,EDrightbutton,0,1,0.47,2,1,2,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
