Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate
H,left,Distractor,0,0,0,0,249.5766777,251.5116533,None,0,1,,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
Q,left,Pretarget,0,1,1,1,253.0148958,255.0118546,None,0,1,,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
Q,right,Target,0,2,2,2,256.510047,258.5098825,right,1,1,1.246667747,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
T,left,Distractor,0,3,3,3,260.0102131,262.0118629,left,1,1,1.328501196,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
Q,left,Lure,0,4,4,4,263.5098979,265.5102225,None,0,1,,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
L,left,Distractor,0,5,5,5,267.009805,269.0116477,left,1,1,1.048546686,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
V,left,Pretarget,0,6,6,6,270.5100727,272.5117726,left,1,1,0.924391719,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
V,right,Target,0,7,7,7,274.009804,276.0100485,right,1,1,0.786122094,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
K,left,Distractor,0,8,8,8,277.5101311,279.5121961,left,1,1,0.547980951,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
G,left,Pretarget,0,9,9,9,281.0101383,283.0092019,left,1,1,0.715136253,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
G,right,Target,0,10,10,10,284.5098568,286.5101099,right,1,1,1.150139308,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
G,right,Target,0,11,11,11,288.0101248,290.0101787,right,1,1,0.769990873,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
P,left,Pretarget,0,12,12,12,291.5102023,293.5116331,left,1,1,0.78859163,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
P,right,Target,0,13,13,13,295.0100661,297.0101335,right,1,1,0.825967018,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
G,left,Lure,0,14,14,14,298.5101125,300.5117329,left,1,1,1.276474126,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
Y,left,Distractor,0,15,15,15,302.0101293,304.0115049,left,1,1,0.768696757,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
B,left,Distractor,0,16,16,16,305.509885,307.511645,left,1,1,0.900548732,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
