Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate
T,left,Distractor,0,0,0,0,2696.387132,2698.378427,left,1,1.299877614,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
F,left,Distractor,0,1,1,1,2699.878336,2701.891173,left,1,1.035110204,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
G,left,Distractor,0,2,2,2,2703.378232,2705.380252,left,1,0.473951338,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
V,left,Distractor,0,3,3,3,2706.878357,2708.879687,left,1,0.478535923,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
H,left,Distractor,0,4,4,4,2710.377979,2712.381267,left,1,0.752879922,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
C,left,Pretarget,0,5,5,5,2713.878424,2715.879736,left,1,0.630545508,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
C,right,Target,0,6,6,6,2717.378437,2719.378068,right,1,0.524171328,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
C,right,Target,0,7,7,7,2720.878444,2722.878456,right,1,0.527682508,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
W,left,Distractor,0,8,8,8,2724.377959,2726.380652,left,1,0.849477654,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
R,left,Pretarget,0,9,9,9,2727.878368,2729.880098,left,1,0.67817085,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
R,right,Target,0,10,10,10,2731.378405,2733.378307,right,1,0.875906627,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
Z,left,Distractor,0,11,11,11,2734.878128,2736.88069,left,1,0.637493444,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
R,left,Lure,0,12,12,12,2738.378315,2740.378108,left,1,0.980183723,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
H,left,Pretarget,0,13,13,13,2741.878209,2743.88004,left,1,0.59808866,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
H,right,Target,0,14,14,14,2745.378321,2747.378386,right,1,0.491898299,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
K,left,Distractor,0,15,15,15,2748.878344,2750.878821,left,1,0.655317538,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
J,left,Distractor,0,16,16,16,2752.378349,2754.379707,left,1,0.59506574,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
H,left,Lure,0,17,17,17,2755.877492,2757.878435,left,1,1.016045567,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
S,left,Distractor,0,18,18,18,2759.378071,2761.379884,left,1,0.52240082,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
T,left,Pretarget,0,19,19,19,2762.878169,2764.878945,left,1,0.51117627,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
T,right,Target,0,20,20,20,2766.377488,2768.378332,right,1,0.675937424,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
X,left,Pretarget,0,21,21,21,2769.878377,2771.87896,left,1,0.487195017,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
X,right,Target,0,22,22,22,2773.378473,2775.378379,left,0,1.147936359,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
W,left,Distractor,0,23,23,23,2776.877907,2778.879497,left,1,1.198613813,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
K,left,Distractor,0,24,24,24,2780.3784,2782.378837,left,1,0.659466795,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
F,left,Pretarget,0,25,25,25,2783.878178,2785.880336,left,1,0.757640628,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
F,right,Target,0,26,26,26,2787.378404,2789.378356,right,1,0.859919767,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
Z,left,Distractor,0,27,27,27,2790.878389,2792.880388,left,1,0.701676673,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
F,left,Lure,0,28,28,28,2794.378335,2796.379599,left,1,0.77064531,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
P,left,Distractor,0,29,29,29,2797.878463,2799.880378,left,1,0.565725165,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
F,left,Lure,0,30,30,30,2801.378338,2803.380248,left,1,0.762136351,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
R,left,Distractor,0,31,31,31,2804.878499,2806.878991,left,1,0.575300151,0,1.47,O27K03,2023-01-20_16h11.12.936,t1_Paradigm,04.01.2021,60.02343413
