vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
0,0,0,0,0,2734.4620324471907,VS1rightbutton,0,1,4,1,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
1,0,1,1,1,2747.78439574386,VS1leftbutton,1,0,4,2,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
2,0,2,2,2,2752.9262136258767,VS1rightbutton,0,1,4,3,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
3,0,3,3,3,2759.584611836064,VS1rightbutton,0,1,2,3,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
4,0,4,4,4,2763.9542953456694,VS1rightbutton,0,1,3,4,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
5,0,5,5,5,2767.8019760117168,VS1rightbutton,0,1,2,4,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
6,0,6,6,6,2771.1669408454036,VS1leftbutton,1,0,1,2,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
7,0,7,7,7,2773.843778751878,VS1rightbutton,0,1,2,1,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
8,0,8,8,8,2776.286019001738,VS1leftbutton,1,0,1,4,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
9,0,9,9,9,2782.459811214474,VS1rightbutton,0,1,2,4,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
10,0,10,10,10,2784.8918217316386,VS1rightbutton,0,1,3,1,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
11,0,11,11,11,2790.2672671651526,VS1rightbutton,0,1,2,3,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
12,0,12,12,12,2792.765885150322,VS1leftbutton,1,0,1,3,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
13,0,13,13,13,2806.2928883339628,VS1rightbutton,0,1,3,1,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
14,0,14,14,14,2808.4038707322034,VS1rightbutton,0,1,2,1,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
15,0,15,15,15,2811.113829194772,VS1leftbutton,1,0,4,3,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
16,0,16,16,16,2814.0448121833033,VS1leftbutton,1,0,1,4,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
17,0,17,17,17,2823.7744062918355,VS1leftbutton,1,0,2,3,P09M12,2022-11-14_09h04.43.466,t1_Paradigm,2021.1.4,60.03042744352769,
