Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
0,0,0,0,0,2620.7979374359193,EDrightbutton,0,1,1.00,2.00,3,4,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
1,0,1,1,1,2624.8272997971244,EDrightbutton,0,1,1.50,2.00,3,4,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
2,0,2,2,2,2628.7761970083293,EDleftbutton,1,0,1.75,2.00,3,4,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
3,0,3,3,3,2630.6638223296113,EDleftbutton,1,0,1.62,2.00,3,4,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
4,0,4,4,4,2633.587856747813,EDrightbutton,0,1,1.56,2.00,3,4,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
5,0,5,5,5,2638.0094540335713,EDrightbutton,0,1,1.59,2.00,3,4,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
0,0,0,0,0,2641.2397737961264,EDrightbutton,0,1,1.00,2.00,2,3,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
1,0,1,1,1,2645.1130740269755,EDrightbutton,0,1,1.50,2.00,2,3,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
2,0,2,2,2,2647.6440397563447,EDrightbutton,0,1,1.75,2.00,2,3,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
