Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,36.466905428866994,38.4672108323266,None,0,1,,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
Q,left,Pretarget,0,1,1,1,39.96518528879187,41.96929508261928,left,1,1,0.670407431312924,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
Q,right,Target,0,2,2,2,43.46461009088944,45.464260737561744,left,0,1,0.20303138597955694,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
T,left,Distractor,0,3,3,3,46.96398965991102,48.963287103632865,left,1,1,0.9192461282418662,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
Q,left,Lure,0,4,4,4,50.46329801089905,52.46516315345707,left,1,1,1.106512985421432,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
L,left,Distractor,0,5,5,5,53.96281231674129,55.96457897309938,left,1,1,0.6754597412800649,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
V,left,Pretarget,0,6,6,6,57.46190059758919,59.46406825638951,right,0,1,1.3144648317647807,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
V,right,Target,0,7,7,7,60.96079447245393,62.96147553500123,right,1,1,0.9999015138000686,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
K,left,Distractor,0,8,8,8,64.4610456603832,66.46300672272537,left,1,1,0.6532073137714178,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
G,left,Pretarget,0,9,9,9,67.96020515926466,69.96277189569537,left,1,1,0.6144518713663274,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
G,right,Target,0,10,10,10,71.46013426203353,73.45941951528039,right,1,1,1.10489774758571,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
G,right,Target,0,11,11,11,74.95929311931104,76.95894569079519,right,1,1,0.6500332992427502,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
P,left,Pretarget,0,12,12,12,78.45875128481111,80.46032257277966,left,1,1,0.7890900388429145,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
P,right,Target,0,13,13,13,81.95820560068842,83.9578613801923,left,0,1,0.5564264972153978,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
G,left,Lure,0,14,14,14,85.45745749053276,87.45900824717592,left,1,1,1.1446781522317906,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
Y,left,Distractor,0,15,15,15,88.95723966600599,90.96060102887532,left,1,1,1.1447772800356688,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
B,left,Distractor,0,16,16,16,92.45599335041697,94.4581860317694,left,1,1,0.9976212535148079,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
T,left,Pretarget,0,17,17,17,95.95595292937105,97.95686304451283,None,0,1,,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
T,right,Target,0,18,18,18,99.45533923523362,101.45505372149455,right,1,1,0.6290634379447511,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
S,left,Distractor,0,19,19,19,102.95363609766173,104.95622111980356,left,1,1,0.9810810255912656,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
T,left,Lure,0,20,20,20,106.45413558630389,108.45631351076645,left,1,1,1.3741965515064294,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
J,left,Distractor,0,21,21,21,109.95331337089647,111.95535463372744,left,1,1,1.0914458800689317,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
P,left,Distractor,0,22,22,22,113.45284532084679,115.45430849855711,left,1,1,0.6005050064359239,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
F,left,Distractor,0,23,23,23,116.95232177205799,118.9544672955235,left,1,1,0.6432537915579815,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
L,left,Distractor,0,24,24,24,120.4518813109762,122.45344682450923,left,1,1,0.7360111100133508,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
W,left,Pretarget,0,25,25,25,123.95030007814694,125.95253029332798,left,1,1,0.7589651313937793,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
W,right,Target,0,26,26,26,127.45057372221345,129.4504184540683,right,1,1,0.9345576846826589,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
