Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2733.616658988806,2735.6151970943038,left,1,1.0578498954819224,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
P,left,Pretarget,0,1,1,1,2737.112539250119,2739.114449625752,left,1,0.35551978257353767,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
B,left,Distractor,0,2,2,2,2740.6119983780254,2742.613946929091,left,1,0.4001837553587393,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
K,left,Pretarget,0,3,3,3,2744.1115187791047,2746.112317896771,left,1,0.4588295604880841,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
H,left,Distractor,0,4,4,4,2747.6109349195494,2749.6125767839467,left,1,0.6862268172462791,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
P,right,Target,0,5,5,5,2751.1103308494703,2753.1119011750334,right,1,0.7560204902638361,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
L,left,Distractor,0,6,6,6,2754.6097181177383,2756.6114571851294,left,1,0.5106750058075704,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
K,right,Target,0,7,7,7,2758.109396032577,2760.1112419270185,right,1,0.6858152283402887,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
Z,left,Pretarget,0,8,8,8,2761.6084070001552,2763.6101502379706,left,1,0.6617502697954478,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
S,left,Pretarget,0,9,9,9,2765.10817121072,2767.109662619002,left,1,0.4650928978298907,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
N,left,Distractor,0,10,10,10,2768.607410268486,2770.609134899788,left,1,1.1752406335453998,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
M,left,Distractor,0,11,11,11,2772.106619812471,2774.1085811956154,left,1,0.5750211408485484,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
Z,right,Target,0,12,12,12,2775.606205015546,2777.60753570205,right,1,0.5750477674118883,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
S,right,Target,0,13,13,13,2779.105676013124,2781.106738829997,right,1,0.49811593012600497,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
Q,left,Distractor,0,14,14,14,2782.6050960031926,2784.6058421885364,left,1,0.42874571568972897,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
V,left,Lure,0,15,15,15,2786.10438959729,2788.106147591997,left,1,0.6115114006588556,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
Z,right,Target,0,16,16,16,2789.6040498680222,2791.6056343088703,right,1,0.982686318566266,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
X,left,Distractor,0,17,17,17,2793.1032016676572,2795.1045958729474,left,1,0.38234877075046825,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
V,left,Pretarget,0,18,18,18,2796.602627111358,2798.604289827884,left,1,0.5654160095582483,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
E,left,Distractor,0,19,19,19,2800.102140775597,2802.1139270393696,left,1,1.4412544254628301,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
R,left,Distractor,0,20,20,20,2803.60139106143,2805.6032234821896,left,1,1.336877981053476,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
G,left,Distractor,0,21,21,21,2807.100670219442,2809.10028429469,left,1,0.4366050427506707,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
V,right,Target,0,22,22,22,2810.600368665605,2812.602152003664,right,1,0.44249785383362905,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
T,left,Pretarget,0,23,23,23,2814.0995108411817,2816.099326059256,left,1,0.8649503976030246,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
B,left,Distractor,0,24,24,24,2817.599189718426,2819.600802710648,left,1,0.6380032259839936,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
S,left,Pretarget,0,25,25,25,2821.09851892154,2823.1001168360717,left,1,0.9929279209336528,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
G,left,Lure,0,26,26,26,2824.5981833626965,2826.5987778087174,None,0,,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
T,right,Target,0,27,27,27,2828.0978494078636,2830.09923302669,right,1,0.5512064078266121,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
H,left,Distractor,0,28,28,28,2831.6132989091448,2833.615052733424,left,1,0.4776189309068286,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
S,right,Target,0,29,29,29,2835.1126717413254,2837.114582437761,right,1,0.4570622625269607,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
D,left,Distractor,0,30,30,30,2838.6122540571823,2840.6144614954237,left,1,1.2404317609325517,3,3.0,P28D09,2022-11-11_12h00.52.033,t1_Paradigm,2021.1.4,60.11517040274438,
