vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
0,0,0,0,0,2762.5024802906482,VS1leftbutton,1,0,3,4,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
1,0,1,1,1,2771.164496378933,VS1leftbutton,1,0,3,4,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
2,0,2,2,2,2780.124477451538,VS1leftbutton,1,0,2,4,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
3,0,3,3,3,2789.264933473418,VS1leftbutton,1,0,2,4,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
4,0,4,4,4,2794.164634965955,VS1leftbutton,1,0,1,3,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
5,0,5,5,5,2796.9960807461885,VS1leftbutton,1,0,1,4,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
6,0,6,6,6,2798.973522179538,VS1leftbutton,1,0,1,2,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
7,0,7,7,7,2801.1765784724957,VS1rightbutton,0,1,3,2,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
8,0,8,8,8,2806.5869907849246,VS1rightbutton,0,1,2,1,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
9,0,9,9,9,2809.9226947476473,VS1leftbutton,1,0,3,4,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
10,0,10,10,10,2814.552430325535,VS1leftbutton,1,0,1,4,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
11,0,11,11,11,2825.873825178247,VS1rightbutton,0,1,3,1,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
12,0,12,12,12,2827.7896508858175,VS1leftbutton,1,0,2,3,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
13,0,13,13,13,2833.2060140993053,VS1rightbutton,0,1,4,1,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
14,0,14,14,14,2835.270220632463,VS1leftbutton,1,0,1,3,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
15,0,15,15,15,2837.910747070666,VS1rightbutton,0,1,2,1,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
16,0,16,16,16,2839.6548965008387,VS1rightbutton,0,1,4,2,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
17,0,17,17,17,2882.4450985267104,VS1leftbutton,1,0,2,3,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
