Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,306.52423973629993,308.5289077449934,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Q,left,Pretarget,0,1,1,1,310.0281196917076,312.02988475141774,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Q,right,Target,0,2,2,2,313.5277432290459,315.52718406890835,right,1,1,0.6520022135428007,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
T,left,Distractor,0,3,3,3,317.02703056453356,319.02735040541484,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Q,left,Lure,0,4,4,4,320.5263891183522,322.52604265079754,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
L,left,Distractor,0,5,5,5,324.0258320434368,326.025611972379,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
V,left,Pretarget,0,6,6,6,327.52526117397974,329.52493780426175,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
V,right,Target,0,7,7,7,331.02463576796254,333.0246588658001,right,1,1,0.6133999534831673,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
K,left,Distractor,0,8,8,8,334.52440719561764,336.52404500870216,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
G,left,Pretarget,0,9,9,9,338.0235010867209,340.0257094965791,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
G,right,Target,0,10,10,10,341.5233578480511,343.5229414453788,right,1,1,0.3815406578069087,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
G,right,Target,0,11,11,11,345.0223657638726,347.02202827881047,right,1,1,0.5882268400073372,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
P,left,Pretarget,0,12,12,12,348.52189434343563,350.522793555062,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
P,right,Target,0,13,13,13,352.0212041351542,354.02084291064784,right,1,1,0.3455984986403564,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
G,left,Lure,0,14,14,14,355.5210365154344,357.5202499057641,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Y,left,Distractor,0,15,15,15,359.0203507983988,361.02051152084823,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
B,left,Distractor,0,16,16,16,362.51960605355816,364.5210037934985,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
T,left,Pretarget,0,17,17,17,366.01891680768676,368.0185719441479,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
T,right,Target,0,18,18,18,369.5183876426572,371.5183234819988,right,1,1,0.5064880861673373,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
S,left,Distractor,0,19,19,19,373.0181603535257,375.018172864854,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
T,left,Lure,0,20,20,20,376.5171968208397,378.5175009423592,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
J,left,Distractor,0,21,21,21,380.0169117871146,382.01690505024544,None,0,1,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
P,left,Distractor,0,22,22,22,383.5164467827444,385.5160541195155,left,1,1,0.7544818625838161,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
F,left,Distractor,0,23,23,23,387.01546785150003,389.0171514271733,left,1,1,0.9719659627708097,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
L,left,Distractor,0,24,24,24,390.5150044511456,392.5148299341554,left,1,1,0.8995311459893855,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
W,left,Pretarget,0,25,25,25,394.01455548693957,396.01499594985853,left,1,1,0.7871829460973458,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
W,right,Target,0,26,26,26,397.51401092335163,399.5142066133594,right,1,1,0.8227738256591692,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
V,left,Distractor,0,27,27,27,401.0135000441105,403.0131205338166,left,1,1,0.9156277719412174,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
W,left,Lure,0,28,28,28,404.5127443919573,406.51224714685577,left,1,1,0.8819514464221356,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
R,left,Pretarget,0,29,29,29,408.0121411213677,410.01212443959685,left,1,1,0.6926810333079629,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
R,right,Target,0,30,30,30,411.51142043677373,413.5112994939327,right,1,1,0.5608504495257876,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
G,left,Distractor,0,31,31,31,415.01115144321375,417.0109034622692,left,1,1,0.6452448130121411,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
R,left,Lure,0,32,32,32,418.51058185697,420.5100711381301,left,1,1,0.6684555727542829,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
S,left,Distractor,0,33,33,33,422.010178767634,424.0100812434339,left,1,1,0.6340099609424215,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
R,left,Lure,0,34,34,34,425.50948663453255,427.509098141747,left,1,1,0.5352404019668029,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
P,left,Pretarget,0,35,35,35,429.0089382213064,431.0083293366588,left,1,1,0.4811949922604981,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
P,right,Target,0,36,36,36,432.50824705061495,434.5079525531928,left,0,1,0.540927602717602,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Y,left,Pretarget,0,37,37,37,436.0075815441869,438.0075141754951,left,1,1,0.7761495584945806,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Y,right,Target,0,38,38,38,439.50715696103,441.5067225933735,right,1,1,0.4285736283654842,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
J,left,Distractor,0,39,39,39,443.0064385220594,445.00603944276463,left,1,1,0.6838576595791892,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Y,left,Lure,0,40,40,40,446.50596196876995,448.50564020306865,left,1,1,1.1760677536549338,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
T,left,Distractor,0,41,41,41,450.00520631661675,452.00536318942613,left,1,1,0.7870276773037403,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
