Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,3135.575501215042,3137.582335929166,None,0,0,1.97,,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
F,left,Distractor,0,1,1,1,3139.0823716987343,3141.0821833872014,left,1,0,1.97,0.4980156712408643,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
G,left,Distractor,0,2,2,2,3142.5815403370034,3144.5822406505886,left,1,0,1.97,0.428069325589604,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
V,left,Distractor,0,3,3,3,3146.081268135411,3148.0802216750744,left,1,0,1.97,0.40897158484767715,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
H,left,Distractor,0,4,4,4,3149.580174356588,3151.5800312783213,left,1,0,1.97,0.4497383047146286,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
C,left,Pretarget,0,5,5,5,3153.079940330588,3155.079326313087,left,1,0,1.97,0.3968080072518205,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
C,right,Target,0,6,6,6,3156.579260388011,3158.579289581112,right,1,0,1.97,0.3394188648380805,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
C,right,Target,0,7,7,7,3160.078728335753,3162.0782808151616,right,1,0,1.97,0.41761306310945656,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
W,left,Distractor,0,8,8,8,3163.577929695959,3165.577642897817,left,1,0,1.97,0.38470955271986895,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
R,left,Pretarget,0,9,9,9,3167.0776273388565,3169.077029040718,left,1,0,1.97,0.5075502658655751,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
R,right,Target,0,10,10,10,3170.5767735208956,3172.576419674866,right,1,0,1.97,0.6052855550296954,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Z,left,Distractor,0,11,11,11,3174.0768869248604,3176.0760611771875,left,1,0,1.97,0.466676397698393,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
R,left,Lure,0,12,12,12,3177.5757453463466,3179.5759035023693,left,1,0,1.97,0.40891544427176996,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
H,left,Pretarget,0,13,13,13,3181.0754324027366,3183.0749428569143,left,1,0,1.97,0.3928518610609899,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
H,right,Target,0,14,14,14,3184.5749840801363,3186.5744717572798,right,1,0,1.97,0.38490010987516143,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
K,left,Distractor,0,15,15,15,3188.073958311612,3190.073688516044,left,1,0,1.97,0.4015693697019742,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
J,left,Distractor,0,16,16,16,3191.57344646996,3193.573374610023,left,1,0,1.97,0.4546372917793633,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
H,left,Lure,0,17,17,17,3195.073398189066,3197.072454064979,left,1,0,1.97,0.5446986454080616,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
S,left,Distractor,0,18,18,18,3198.5720785647263,3200.5720400683313,left,1,0,1.97,0.4548429266887979,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
T,left,Pretarget,0,19,19,19,3202.0720719882593,3204.071418511954,left,1,0,1.97,0.5362634436642111,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
T,right,Target,0,20,20,20,3205.571358361336,3207.5707600631977,right,1,0,1.97,0.6302857555328956,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
X,left,Pretarget,0,21,21,21,3209.070378788487,3211.0712295588146,left,1,0,1.97,0.5558937178684573,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
X,right,Target,0,22,22,22,3212.5705143278774,3214.569864380408,right,1,0,1.97,0.44241244075237773,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
W,left,Distractor,0,23,23,23,3216.069392959971,3218.069380769446,left,1,0,1.97,0.4175505064686149,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
K,left,Distractor,0,24,24,24,3219.5688163160557,3221.568387402054,left,1,0,1.97,0.5244248397993942,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
F,left,Pretarget,0,25,25,25,3223.0683436124054,3225.0678713899597,left,1,0,1.97,0.5039999358396017,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
F,right,Target,0,26,26,26,3226.567776271784,3228.5675600503655,right,1,0,1.97,0.552804702974754,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Z,left,Distractor,0,27,27,27,3230.0673850521707,3232.067043396666,left,1,0,1.97,0.4713334990810836,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
F,left,Lure,0,28,28,28,3233.5669800380147,3235.5662085060994,left,1,0,1.97,0.49999919799120107,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
P,left,Distractor,0,29,29,29,3237.0664515145927,3239.0657268199575,left,1,0,1.97,0.43069606294193363,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
F,left,Lure,0,30,30,30,3240.565607962337,3242.5650539350536,left,1,0,1.97,0.45127848131596693,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
R,left,Distractor,0,31,31,31,3244.065030035208,3246.0645966299617,left,1,0,1.97,0.5004640419610951,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
V,left,Distractor,0,32,32,32,3247.5648579242425,3249.56539174092,left,1,0,1.97,0.4130871702745935,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
M,left,Pretarget,0,33,33,33,3251.0805059067898,3253.0799865262616,left,1,0,1.97,0.44265849687690206,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
M,right,Target,0,34,34,34,3254.5798224353784,3256.5795244091205,right,1,0,1.97,0.5081636417598929,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
M,right,Target,0,35,35,35,3258.0793211802356,3260.079093730701,right,1,0,1.97,0.4017705133646814,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
D,left,Distractor,0,36,36,36,3261.57868037566,3263.580021654223,left,1,0,1.97,0.4373081395824556,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
M,left,Lure,0,37,37,37,3265.078241035553,3267.0776623064157,left,1,0,1.97,0.41478710691626475,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
F,left,Distractor,0,38,38,38,3268.577682998228,3270.5773557788707,left,1,0,1.97,0.4921013417606446,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
T,left,Pretarget,0,39,39,39,3272.076859335777,3274.077295949057,left,1,0,1.97,0.5286222300637746,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
T,right,Target,0,40,40,40,3275.5765598659036,3277.576237137793,right,1,0,1.97,0.5209168558067176,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Z,left,Distractor,0,41,41,41,3279.0759854676107,3281.0756357920236,left,1,0,1.97,0.5167274856248696,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
S,left,Distractor,0,42,42,42,3282.5756327443924,3284.575053373648,left,1,0,1.97,0.9171939336101786,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
D,left,Distractor,0,43,43,43,3286.07494638575,3288.0742165582615,left,1,0,1.97,0.5091132195029786,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Y,left,Pretarget,0,44,44,44,3289.5741455003335,3291.573966812899,left,1,0,1.97,0.5940975402409094,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Y,right,Target,0,45,45,45,3293.073368675163,3295.073104654053,right,1,0,1.97,0.5946291112941253,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Z,left,Pretarget,0,46,46,46,3296.572965906631,3298.5725315389736,left,1,0,1.97,0.6442480771838746,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Z,right,Target,0,47,47,47,3300.0722795479887,3302.0720415119467,right,1,0,1.97,0.43202579258468177,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
H,left,Pretarget,0,48,48,48,3303.572264630635,3305.5713551533045,left,1,0,1.97,0.46501848628940934,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
H,right,Target,0,49,49,49,3307.0711445459438,3309.07083914121,right,1,0,1.97,0.6649344358265807,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Z,left,Lure,0,50,50,50,3310.570820374218,3312.5721408005647,left,1,0,1.97,0.5160136983013217,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
R,left,Distractor,0,51,51,51,3314.070386487765,3316.0696820037374,left,1,0,1.97,0.5630643130407407,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
H,left,Lure,0,52,52,52,3317.5697091116162,3319.5694133309808,left,1,0,1.97,0.5219203285014373,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
L,left,Distractor,0,53,53,53,3321.069117389945,3323.0684523647215,left,1,0,1.97,0.44934211264990154,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
N,left,Pretarget,0,54,54,54,3324.5686472527213,3326.567935390218,left,1,0,1.97,0.4168428144075733,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
N,right,Target,0,55,55,55,3328.0677806026288,3330.067892242174,right,1,0,1.97,0.498024332930072,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
W,left,Distractor,0,56,56,56,3331.5671699535633,3333.5669659226696,left,1,0,1.97,0.46634244147389836,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
R,left,Pretarget,0,57,57,57,3335.0666208987295,3337.0670100331226,left,1,0,1.97,0.4289120758385252,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
R,right,Target,0,58,58,58,3338.5663464515146,3340.565958600335,right,1,0,1.97,0.572103587383026,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Q,left,Distractor,0,59,59,59,3342.0654717813413,3344.064786224706,left,1,0,1.97,0.4093956868000532,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
R,left,Lure,0,60,60,60,3345.5649002702776,3347.5645541235244,left,1,0,1.97,0.5807354415446753,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
Z,left,Distractor,0,61,61,61,3349.0649065259404,3351.064499426564,left,1,0,1.97,0.400936745611034,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
K,left,Pretarget,0,62,62,62,3352.564038271832,3354.563483602942,left,1,0,1.97,0.4421721590861125,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
K,right,Target,0,63,63,63,3356.063116122772,3358.063035601146,right,1,0,1.97,0.5398275682309759,P30F12,2022-12-08_10h51.20.595,t1_Paradigm,2021.1.4,60.13799902394332,
