Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2667.7361652464897,2669.7385378992476,None,0,1,1.29,,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
T,left,Pretarget,0,1,1,1,2671.2372505201783,2673.2389395435457,left,1,1,1.29,0.9420493355428334,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
B,left,Distractor,0,2,2,2,2674.736478028586,2676.739055673941,left,1,1,1.29,0.9940982026746497,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
T,right,Target,0,3,3,3,2678.237189888576,2680.238531483221,right,1,1,1.29,0.726439166610362,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
Z,left,Distractor,0,4,4,4,2681.7374542295584,2683.7386944507016,left,1,1,1.29,0.8102371818677057,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
T,right,Target,0,5,5,5,2685.23724378334,2687.2386912426737,right,1,1,1.29,1.134255382901756,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
L,left,Distractor,0,6,6,6,2688.7372838836163,2690.7366134070908,left,1,1,1.29,1.3005589015083387,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
T,right,Target,0,7,7,7,2692.2372662395064,2694.2387185108673,right,1,1,1.29,0.8063519468996674,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
Z,left,Lure,0,8,8,8,2695.7375138987554,2697.7385901900125,left,1,1,1.29,1.0502312021271791,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
J,left,Distractor,0,9,9,9,2699.2372774675605,2701.23951410022,left,1,1,1.29,1.3254480162577238,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
D,left,Pretarget,0,10,10,10,2702.7372649562894,2704.739099623839,left,1,1,1.29,0.6740062992903404,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
H,left,Distractor,0,11,11,11,2706.2372655978834,2708.2395192330587,left,1,1,1.29,0.8215570068568923,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
D,right,Target,0,12,12,12,2709.7372546906117,2711.738930561085,right,1,1,1.29,0.8901396965084132,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
S,left,Distractor,0,13,13,13,2713.237432415015,2715.2389254282753,left,1,1,1.29,0.7181018393021077,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
R,left,Pretarget,0,14,14,14,2716.7374731568852,2718.7394922856765,None,0,1,1.29,,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
Z,left,Distractor,0,15,15,15,2720.237039432366,2722.2380483551533,left,1,1,1.29,1.2869565691507887,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
R,right,Target,0,16,16,16,2723.737283562805,2725.7385635634128,right,1,1,1.29,0.8585156612680294,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
T,left,Distractor,0,17,17,17,2727.2372139487416,2729.2392372479662,left,1,1,1.29,1.149723821436055,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
M,left,Distractor,0,18,18,18,2730.7374571167747,2732.7393206565175,left,1,1,1.29,1.025598087493563,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
R,left,Lure,0,19,19,19,2734.2374818185344,2736.2380772273464,None,0,1,1.29,,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
J,left,Distractor,0,20,20,20,2737.7365383394063,2739.739460526267,left,1,1,1.29,1.1294571450271178,Q24R01,2022-12-01_14h41.04.745,t1_Paradigm,2021.1.4,60.03015772462957,
