vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
0,0,0,0,0,2704.6942717640195,VS1rightbutton,0,1,3,2,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
1,0,1,1,1,2713.4779057421256,VS1leftbutton,1,0,1,4,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
2,0,2,2,2,2717.7297902919818,VS1rightbutton,0,1,3,2,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
3,0,3,3,3,2725.3150302034337,VS1rightbutton,0,1,1,2,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
4,0,4,4,4,2731.490299596917,VS1rightbutton,0,1,2,4,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
5,0,5,5,5,2736.34606648935,VS1rightbutton,0,1,3,1,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
6,0,6,6,6,2739.8480628386606,VS1rightbutton,0,1,2,1,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
7,0,7,7,7,2744.9787927588914,VS1leftbutton,1,0,1,4,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
8,0,8,8,8,2749.8797089688014,VS1rightbutton,0,1,3,4,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
9,0,9,9,9,2753.7137107460294,VS1leftbutton,1,0,2,4,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
10,0,10,10,10,2757.84544220916,VS1rightbutton,0,1,4,2,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
11,0,11,11,11,2761.5065305612516,VS1leftbutton,1,0,4,3,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
12,0,12,12,12,2765.5242153992876,VS1leftbutton,1,0,4,3,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
13,0,13,13,13,2768.3305156247225,VS1rightbutton,0,1,3,2,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
14,0,14,14,14,2774.4569894680753,VS1rightbutton,0,1,4,1,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
15,0,15,15,15,2778.787968972232,VS1leftbutton,1,0,1,3,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
16,0,16,16,16,2781.861431609839,VS1rightbutton,0,1,3,1,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
17,0,17,17,17,2786.178610864328,VS1rightbutton,0,1,1,2,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
