Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
0,0,0,0,0,2820.5763447207864,EDleftbutton,1,0,1.00,2.00,1,3,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
1,0,1,1,1,2824.573266948806,EDrightbutton,0,1,0.50,2.00,1,3,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
2,0,2,2,2,2830.0186437144876,EDleftbutton,1,0,0.75,2.00,1,3,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
3,0,3,3,3,2835.2360241115093,EDrightbutton,0,1,0.62,2.00,1,3,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
4,0,4,4,4,2840.851780610159,EDrightbutton,0,1,0.68,2.00,1,3,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
5,0,5,5,5,2843.8667219516356,EDrightbutton,0,1,0.71,2.00,1,3,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
0,0,0,0,0,2846.541000067489,EDrightbutton,0,1,2.00,1.00,3,4,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
1,0,1,1,1,2852.694617588306,EDleftbutton,1,0,2.00,0.50,3,4,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
2,0,2,2,2,2856.295998319052,EDleftbutton,1,0,2.00,0.75,3,4,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
3,0,3,3,3,2863.414101482602,EDleftbutton,1,0,2.00,0.88,3,4,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
4,0,4,4,4,2866.2722371751443,EDleftbutton,1,0,2.00,0.94,3,4,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
5,0,5,5,5,2868.062490897253,EDleftbutton,1,0,2.00,0.97,3,4,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
0,0,0,0,0,2869.9984559812583,EDrightbutton,0,1,1.00,2.00,1,4,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
1,0,1,1,1,2876.571682509035,EDrightbutton,0,1,1.50,2.00,1,4,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
2,0,2,2,2,2878.3810749426484,EDrightbutton,0,1,1.75,2.00,1,4,R05E05,2023-01-05_14h31.11.585,t1_Paradigm,2021.1.4,59.98980025955487,
