vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
0,0,0,0,0,2393.0065825352794,VS1leftbutton,1,0,3,4,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
1,0,1,1,1,2411.242615459836,VS1leftbutton,1,0,1,4,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
2,0,2,2,2,2413.514300709474,VS1rightbutton,0,1,2,1,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
3,0,3,3,3,2418.2708595054573,VS1rightbutton,0,1,4,2,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
4,0,4,4,4,2420.668458559434,VS1leftbutton,1,0,2,3,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
5,0,5,5,5,2425.073087988305,VS1rightbutton,0,1,2,1,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
6,0,6,6,6,2427.405061228259,VS1rightbutton,0,1,3,1,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
7,0,7,7,7,2429.353432003467,VS1rightbutton,0,1,4,3,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
8,0,8,8,8,2432.0679795379983,VS1leftbutton,1,0,2,4,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
9,0,9,9,9,2435.4693849071627,VS1rightbutton,0,1,4,1,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
10,0,10,10,10,2437.952520990104,VS1leftbutton,1,0,2,3,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
11,0,11,11,11,2441.759395326837,VS1rightbutton,0,1,3,1,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
12,0,12,12,12,2443.966468817438,VS1leftbutton,1,0,2,3,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
13,0,13,13,13,2446.5627620150335,VS1rightbutton,0,1,2,1,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
14,0,14,14,14,2448.801209936675,VS1leftbutton,1,0,3,4,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
15,0,15,15,15,2452.802053645777,VS1leftbutton,1,0,1,3,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
16,0,16,16,16,2455.047906638938,VS1leftbutton,1,0,2,4,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
17,0,17,17,17,2457.594051754335,VS1rightbutton,0,1,4,1,R17D05,2022-11-14_15h16.19.627,t1_Paradigm,2021.1.4,59.929903344336836,
