Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,297.58841160315365,299.524815482677,None,0,1,,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
Q,left,Pretarget,0,1,1,1,301.02718637027533,303.0255788311704,left,1,1,0.8373549613802425,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
Q,right,Target,0,2,2,2,304.52331252504246,306.52340972806564,right,1,1,0.6514684553733332,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
T,left,Distractor,0,3,3,3,308.0232632819268,310.0254319038286,left,1,1,0.5576235881901539,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
Q,left,Lure,0,4,4,4,311.523406199243,313.5250541594071,left,1,1,1.0258832723220621,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
L,left,Distractor,0,5,5,5,315.02330145737164,317.02477618442526,left,1,1,0.6623728380748162,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
V,left,Pretarget,0,6,6,6,318.52326280072384,320.5250849564045,left,1,1,0.6820457033859384,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
V,right,Target,0,7,7,7,322.0231991215155,324.023297928549,right,1,1,0.6556055186936192,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
K,left,Distractor,0,8,8,8,325.5233561541222,327.52518665065645,left,1,1,0.8497305423127273,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
G,left,Pretarget,0,9,9,9,329.023139452333,331.0255092171242,left,1,1,0.7894973897941782,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
G,right,Target,0,10,10,10,332.5232907105028,334.52344662030214,right,1,1,0.7156336786981683,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
G,right,Target,0,11,11,11,336.023252053855,338.0233839035002,right,1,1,0.527591382871833,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
P,left,Pretarget,0,12,12,12,339.5232791616286,341.5257220692886,left,1,1,0.8651967302571393,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
P,right,Target,0,13,13,13,343.02329536213256,345.0233973771865,right,1,1,0.8395303201252773,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
G,left,Lure,0,14,14,14,346.5234633020091,348.52542885620915,left,1,1,1.401558199748706,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
Y,left,Distractor,0,15,15,15,350.02313079067744,352.0251085353557,left,1,1,1.0219194421124485,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
B,left,Distractor,0,16,16,16,353.5232910313048,355.52534320205996,left,1,1,0.9297488408619756,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
T,left,Pretarget,0,17,17,17,357.0232809260399,359.0245936480551,left,1,1,0.6305101362220284,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
T,right,Target,0,18,18,18,360.5233699486107,362.52322173806056,None,0,1,,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
S,left,Distractor,0,19,19,19,364.0235115827186,366.026411312507,left,1,1,0.8446901004015217,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
T,left,Lure,0,20,20,20,367.5233157330631,369.52382163790617,left,1,1,0.8993592620527124,R20L11,2023-01-11_14h47.48.737,t1_Paradigm,2021.1.4,59.9891652634604,
