Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
0,0,0,0,0,2918.292194626818,EDrightbutton,0,1,1.00,2.00,1,3,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
1,0,1,1,1,2922.206507407638,EDleftbutton,1,0,1.50,2.00,1,3,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
2,0,2,2,2,2927.6156504616665,EDrightbutton,0,1,1.25,2.00,1,3,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
3,0,3,3,3,2934.100085461687,EDrightbutton,0,1,1.38,2.00,1,3,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
4,0,4,4,4,2944.4296509736596,EDrightbutton,0,1,1.44,2.00,1,3,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
5,0,5,5,5,2949.461116853461,EDrightbutton,0,1,1.47,2.00,1,3,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
0,0,0,0,0,2953.98751822958,EDleftbutton,1,0,1.00,2.00,1,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
1,0,1,1,1,2957.4098430443264,EDrightbutton,0,1,0.50,2.00,1,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
2,0,2,2,2,2962.8521102045197,EDrightbutton,0,1,0.75,2.00,1,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
3,0,3,3,3,2971.0187149563717,EDrightbutton,0,1,0.88,2.00,1,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
4,0,4,4,4,2973.157982231409,EDrightbutton,0,1,0.94,2.00,1,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
5,0,5,5,5,2976.600958043564,EDrightbutton,0,1,0.97,2.00,1,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
0,0,0,0,0,2979.3760885619267,EDrightbutton,0,1,1.00,2.00,3,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
1,0,1,1,1,2988.4461264101556,EDleftbutton,1,0,1.50,2.00,3,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
2,0,2,2,2,3002.68606910207,EDrightbutton,0,1,1.25,2.00,3,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
3,0,3,3,3,3004.6688583870127,EDrightbutton,0,1,1.38,2.00,3,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
4,0,4,4,4,3007.868445450469,EDleftbutton,1,0,1.44,2.00,3,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
5,0,5,5,5,3015.2013617409975,EDrightbutton,0,1,1.41,2.00,3,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
0,0,0,0,0,3018.751853113674,EDrightbutton,0,1,1.00,2.00,1,2,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
1,0,1,1,1,3021.4102187036624,EDleftbutton,1,0,1.50,2.00,1,2,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
2,0,2,2,2,3025.37646903329,EDleftbutton,1,0,1.25,2.00,1,2,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
3,0,3,3,3,3030.851217091302,EDrightbutton,0,1,1.12,2.00,1,2,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
4,0,4,4,4,3032.3936062846333,EDrightbutton,0,1,1.18,2.00,1,2,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
5,0,5,5,5,3033.8157219363784,EDrightbutton,0,1,1.21,2.00,1,2,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
0,0,0,0,0,3035.3017269421834,EDrightbutton,0,1,1.00,2.00,2,3,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
1,0,1,1,1,3041.050002790973,EDleftbutton,1,0,1.50,2.00,2,3,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
2,0,2,2,2,3043.217359503091,EDrightbutton,0,1,1.25,2.00,2,3,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
3,0,3,3,3,3049.492550973853,EDleftbutton,1,0,1.38,2.00,2,3,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
4,0,4,4,4,3053.285392337828,EDleftbutton,1,0,1.32,2.00,2,3,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
5,0,5,5,5,3054.3146851038036,EDrightbutton,0,1,1.29,2.00,2,3,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
0,0,0,0,0,3055.9182833491504,EDrightbutton,0,1,1.00,2.00,2,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
1,0,1,1,1,3061.3555793590785,EDleftbutton,1,0,1.50,2.00,2,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
2,0,2,2,2,3064.981466296842,EDrightbutton,0,1,1.25,2.00,2,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
3,0,3,3,3,3066.616388306633,EDrightbutton,0,1,1.38,2.00,2,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
4,0,4,4,4,3069.8023460903496,EDleftbutton,1,0,1.44,2.00,2,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
5,0,5,5,5,3071.268764520297,EDleftbutton,1,0,1.41,2.00,2,4,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
