Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,3117.1072675804317,3119.1100932058616,None,0,1,2.41,,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
T,left,Pretarget,0,1,1,1,3120.6093146190105,3122.609833035298,None,0,1,2.41,,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
B,left,Distractor,0,2,2,2,3124.1095122331462,3126.1110498378985,left,1,1,2.41,0.4420618468138855,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
T,right,Target,0,3,3,3,3127.6095439925557,3129.610892965633,right,1,1,2.41,0.4302868035447318,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
Z,left,Distractor,0,4,4,4,3131.1093046741444,3133.1102706094534,left,1,1,2.41,0.41883801607764326,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
T,right,Target,0,5,5,5,3134.609641837218,3136.610294990416,right,1,1,2.41,0.6148564763279865,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
L,left,Distractor,0,6,6,6,3138.1091538971377,3140.1118239335046,left,1,1,2.41,0.4573589769715909,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
T,right,Target,0,7,7,7,3141.609555862233,3143.609755721991,right,1,1,2.41,0.3831795728619909,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
Z,left,Lure,0,8,8,8,3145.109104814401,3147.1114755423623,left,1,1,2.41,0.48159076807496604,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
J,left,Distractor,0,9,9,9,3148.6092613658548,3150.6113151412865,left,1,1,2.41,0.437717864770093,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
D,left,Pretarget,0,10,10,10,3152.1095815264125,3154.111011020839,left,1,1,2.41,0.47432459917035885,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
H,left,Distractor,0,11,11,11,3155.609393857143,3157.6090829998575,left,1,1,2.41,0.5440820663206978,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
D,right,Target,0,12,12,12,3159.1095776767907,3161.1096049449698,right,1,1,2.41,0.4354517183091957,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
S,left,Distractor,0,13,13,13,3162.609628684324,3164.6099231807166,left,1,1,2.41,0.4551512165198801,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
R,left,Pretarget,0,14,14,14,3166.1097618172207,3168.1107162036496,left,1,1,2.41,0.42653823031287175,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
Z,left,Distractor,0,15,15,15,3169.6095131955517,3171.6097724036954,left,1,1,2.41,0.49525565686053596,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
R,right,Target,0,16,16,16,3173.109611361011,3175.1099642433837,right,1,1,2.41,0.5151848494133446,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
T,left,Distractor,0,17,17,17,3176.6092976164946,3178.6106074517156,left,1,1,2.41,0.4225208248826675,R22N06,2022-11-30_10h39.18.374,t1_Paradigm,2021.1.4,60.000461959926454,
