vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
0,0,0,0,0,4329.645450415846,VS1leftbutton,1,0,2,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
1,0,1,1,1,4342.487906400202,VS1leftbutton,1,0,1,2,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
2,0,2,2,2,4347.508281186951,VS1rightbutton,0,1,4,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
3,0,3,3,3,4350.249581513577,VS1rightbutton,0,1,4,1,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
4,0,4,4,4,4353.85346495203,VS1leftbutton,1,0,1,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
5,0,5,5,5,4356.2663097421755,VS1rightbutton,0,1,2,1,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
6,0,6,6,6,4360.25290791117,VS1leftbutton,1,0,3,4,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
7,0,7,7,7,4362.998750796396,VS1rightbutton,0,1,3,2,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
8,0,8,8,8,4365.917092852324,VS1leftbutton,1,0,1,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
9,0,9,9,9,4368.2145136671315,VS1rightbutton,0,1,2,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
10,0,10,10,10,4370.85076604347,VS1leftbutton,1,0,1,4,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
11,0,11,11,11,4373.159390232089,VS1rightbutton,0,1,4,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
12,0,12,12,12,4375.483978819364,VS1rightbutton,0,1,4,2,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
13,0,13,13,13,4378.534077209362,VS1leftbutton,1,0,1,2,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
14,0,14,14,14,4380.600314835232,VS1rightbutton,0,1,4,2,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
15,0,15,15,15,4383.499557613803,VS1rightbutton,0,1,4,1,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
16,0,16,16,16,4385.35071824395,VS1leftbutton,1,0,1,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
17,0,17,17,17,4387.217473387864,VS1leftbutton,1,0,2,4,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
