Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
0,0,0,0,0,4419.722337069397,EDleftbutton,1,0,1.00,2.00,1,2,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
1,0,1,1,1,4426.051479122514,EDrightbutton,0,1,0.50,2.00,1,2,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
2,0,2,2,2,4429.014370011922,EDrightbutton,0,1,0.75,2.00,1,2,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
3,0,3,3,3,4431.270016931929,EDrightbutton,0,1,0.88,2.00,1,2,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
4,0,4,4,4,4432.983635240234,EDrightbutton,0,1,0.94,2.00,1,2,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
5,0,5,5,5,4434.6993977901875,EDrightbutton,0,1,0.97,2.00,1,2,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
0,0,0,0,0,4436.157634481875,EDleftbutton,1,0,1.00,2.00,2,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
1,0,1,1,1,4439.436689373048,EDrightbutton,0,1,0.50,2.00,2,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
2,0,2,2,2,4441.666208881972,EDrightbutton,0,1,0.75,2.00,2,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
3,0,3,3,3,4443.466871723416,EDrightbutton,0,1,0.88,2.00,2,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
4,0,4,4,4,4445.140729812061,EDrightbutton,0,1,0.94,2.00,2,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
5,0,5,5,5,4447.284148267063,EDrightbutton,0,1,0.97,2.00,2,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
0,0,0,0,0,4448.9683262404,EDleftbutton,1,0,1.00,2.00,1,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
1,0,1,1,1,4456.007951081527,EDrightbutton,0,1,0.50,2.00,1,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
2,0,2,2,2,4458.0452116107335,EDrightbutton,0,1,0.75,2.00,1,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
3,0,3,3,3,4459.416312661488,EDrightbutton,0,1,0.88,2.00,1,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
4,0,4,4,4,4461.009898992226,EDleftbutton,1,0,0.94,2.00,1,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
5,0,5,5,5,4462.347477500531,EDrightbutton,0,1,0.91,2.00,1,3,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
0,0,0,0,0,4464.518452540215,EDleftbutton,1,0,1.00,2.00,1,4,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
1,0,1,1,1,4468.518484941218,EDrightbutton,0,1,0.50,2.00,1,4,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
2,0,2,2,2,4470.519695969386,EDrightbutton,0,1,0.75,2.00,1,4,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
3,0,3,3,3,4473.270329714025,EDrightbutton,0,1,0.88,2.00,1,4,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
4,0,4,4,4,4475.140514553816,EDrightbutton,0,1,0.94,2.00,1,4,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
