Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,4530.4738222229935,4532.475677101087,None,0,1,3.0,,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
T,left,Pretarget,0,1,1,1,4533.974433671916,4535.974233812158,left,1,1,3.0,0.5303449970670044,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
B,left,Distractor,0,2,2,2,4537.474565521581,4539.475141361472,left,1,1,3.0,0.62935320509132,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
T,right,Target,0,3,3,3,4540.974602413829,4542.974321391142,right,1,1,3.0,0.9859061987372115,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
Z,left,Distractor,0,4,4,4,4544.474699937709,4546.475219316402,left,1,1,3.0,0.94117611204274,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
T,right,Target,0,5,5,5,4547.974265250756,4549.974407045316,right,1,1,3.0,0.5941150127036963,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
L,left,Distractor,0,6,6,6,4551.474652458972,4553.475840068568,left,1,1,3.0,0.9326068447553553,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
T,right,Target,0,7,7,7,4554.974621341156,4556.974115115358,right,1,1,3.0,0.6983160453091841,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
Z,left,Lure,0,8,8,8,4558.474542744632,4560.474920649576,left,1,1,3.0,0.7655507242598105,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
J,left,Distractor,0,9,9,9,4561.974606584263,4563.974565200799,left,1,1,3.0,0.6418176522129215,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
D,left,Pretarget,0,10,10,10,4565.474525742116,4567.476976349804,left,1,1,3.0,0.5632002709899098,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
H,left,Distractor,0,11,11,11,4568.974611717102,4570.974144308362,left,1,1,3.0,0.7781463794526644,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
D,right,Target,0,12,12,12,4572.47455653912,4574.476180760452,right,1,1,3.0,1.0840639602392912,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
S,left,Distractor,0,13,13,13,4575.974627115618,4577.97465213816,left,1,1,3.0,0.9456978185044136,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
R,left,Pretarget,0,14,14,14,4579.474581882503,4581.4766141641885,left,1,1,3.0,0.9480249173357151,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
Z,left,Distractor,0,15,15,15,4582.974672669516,4584.9742729500285,left,1,1,3.0,0.7461242286954075,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
R,right,Target,0,16,16,16,4586.474603376235,4588.476645602786,right,1,1,3.0,0.555433650733903,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
T,left,Distractor,0,17,17,17,4589.97437400269,4591.974289631733,left,1,1,3.0,0.8501324592216406,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
M,left,Distractor,0,18,18,18,4593.474389722018,4595.475778153748,left,1,1,3.0,0.9967249307665043,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
R,left,Lure,0,19,19,19,4596.973846603942,4598.974604659452,left,1,1,3.0,0.6016349361161701,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
J,left,Distractor,0,20,20,20,4600.474497190735,4602.476156700315,left,1,1,3.0,0.7645170997129753,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
K,left,Distractor,0,21,21,21,4603.974471847352,4605.974738754769,left,1,1,3.0,0.6576883766392712,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
Z,left,Distractor,0,22,22,22,4607.474417631805,4609.4767235577165,left,1,1,3.0,0.7077402503346093,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
W,left,Pretarget,0,23,23,23,4610.974426614266,4612.974089771975,left,1,1,3.0,0.8743119595746975,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
Q,left,Distractor,0,24,24,24,4614.474574183259,4616.474841090647,left,1,1,3.0,0.669409845926566,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
W,right,Target,0,25,25,25,4617.974652779783,4619.974092980003,right,1,1,3.0,0.7542777363851201,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
D,left,Pretarget,0,26,26,26,4621.474443295971,4623.487489998981,left,1,1,3.0,0.6647193975513801,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
W,right,Target,0,27,27,27,4624.974698975275,4626.97399513534,right,1,1,3.0,0.8584380271204282,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
D,right,Target,0,28,28,28,4628.474687747221,4630.475389341533,right,1,1,3.0,0.604695709538646,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
L,left,Pretarget,0,29,29,29,4631.974317862332,4633.974334223225,left,1,1,3.0,0.6421275470638648,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
P,left,Distractor,0,30,30,30,4635.474729130685,4637.476745051448,left,1,1,3.0,0.7394075938791502,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
L,right,Target,0,31,31,31,4638.974480188219,4640.974017912318,right,1,1,3.0,0.8743870272883214,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
R,left,Distractor,0,32,32,32,4642.474624869996,4644.490861629689,left,1,1,3.0,0.8296409004833549,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
V,left,Distractor,0,33,33,33,4645.974604980263,4647.974408328533,left,1,1,3.0,0.6740149609104265,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
L,left,Lure,0,34,34,34,4649.474633210833,4651.474854243541,left,1,1,3.0,0.9173834990942851,R29L09,2022-12-02_09h15.02.680,t1_Paradigm,2021.1.4,60.02507153825378,
