Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
0,0,0,0,0,2404.4669194804737,EDleftbutton,1,0,1.00,2.00,1,4,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
1,0,1,1,1,2407.063610979385,EDrightbutton,0,1,0.50,2.00,1,4,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
2,0,2,2,2,2409.898563189432,EDrightbutton,0,1,0.75,2.00,1,4,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
3,0,3,3,3,2412.146383175568,EDrightbutton,0,1,0.88,2.00,1,4,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
4,0,4,4,4,2414.083506834053,EDrightbutton,0,1,0.94,2.00,1,4,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
5,0,5,5,5,2415.489421535196,EDrightbutton,0,1,0.97,2.00,1,4,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
0,0,0,0,0,2417.458082973637,EDrightbutton,0,1,1.00,2.00,2,4,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
1,0,1,1,1,2419.3739188151376,EDleftbutton,1,0,1.50,2.00,2,4,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
2,0,2,2,2,2421.4880196279846,EDrightbutton,0,1,1.25,2.00,2,4,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
3,0,3,3,3,2423.507284784777,EDrightbutton,0,1,1.38,2.00,2,4,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
4,0,4,4,4,2425.1395693289523,EDrightbutton,0,1,1.44,2.00,2,4,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
5,0,5,5,5,2426.372916627879,EDleftbutton,1,0,1.47,2.00,2,4,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
0,0,0,0,0,2428.5552989847783,EDleftbutton,1,0,1.00,2.00,3,4,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
