Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,280.68690086109564,282.68987855056184,None,0,1,,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
Q,left,Pretarget,0,1,1,1,284.18999436029117,286.18934056462604,left,1,1,0.633840757451253,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
Q,right,Target,0,2,2,2,287.68888438338763,289.68846541523817,right,1,1,0.7131550227059051,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
T,left,Distractor,0,3,3,3,291.1882206428563,293.1879162012192,left,1,1,0.596212219883455,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
Q,left,Lure,0,4,4,4,294.68759251144365,296.68734677665634,left,1,1,0.5120920113113243,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
L,left,Distractor,0,5,5,5,298.18733234054525,300.187175468076,left,1,1,0.5576928135706112,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
V,left,Pretarget,0,6,6,6,301.6866166300024,303.68665865514777,left,1,1,0.5466434106056113,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
V,right,Target,0,7,7,7,305.1860205788398,307.18549927466665,right,1,1,0.4790647450136021,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
K,left,Distractor,0,8,8,8,308.6854418510047,310.68508383532753,left,1,1,0.5249077532207593,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
G,left,Pretarget,0,9,9,9,312.18484130856814,314.18600646351115,left,1,1,0.5290351990843192,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
G,right,Target,0,10,10,10,315.6841349013266,317.68407266560826,right,1,1,0.5683421757130418,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
G,right,Target,0,11,11,11,319.18380222906126,321.18325686469325,right,1,1,0.5419057982508093,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
P,left,Pretarget,0,12,12,12,322.68316607756424,324.68450831552036,left,1,1,0.5295581072859932,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
P,right,Target,0,13,13,13,326.1825504574226,328.18206572474446,right,1,1,0.5775880266155582,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
G,left,Lure,0,14,14,14,329.6819329124701,331.6815806712548,left,1,1,0.43589755104039796,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
Y,left,Distractor,0,15,15,15,333.18139460575185,335.1814950169646,left,1,1,0.4407179304980673,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
B,left,Distractor,0,16,16,16,336.6808761887951,338.6804485589673,left,1,1,0.5359991813311353,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
T,left,Pretarget,0,17,17,17,340.1803853608726,342.17987143516075,left,1,1,0.46420196190592833,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
T,right,Target,0,18,18,18,343.6797203371534,345.67924554934143,right,1,1,0.6244797384133562,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
S,left,Distractor,0,19,19,19,347.1790036642051,349.1788310724078,left,1,1,0.47056251447065733,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
T,left,Lure,0,20,20,20,350.6784297483973,352.6783809864137,left,1,1,0.45975756307598203,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
J,left,Distractor,0,21,21,21,354.1779572062078,356.17777563194977,left,1,1,0.9908895277767442,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
P,left,Distractor,0,22,22,22,357.67726780148223,359.6769768335507,left,1,1,0.564921137120109,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
F,left,Distractor,0,23,23,23,361.1767702366924,363.17901810031617,left,1,1,0.4697621120430995,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
L,left,Distractor,0,24,24,24,364.6761552581738,366.67564229486743,left,1,1,0.44987042783759534,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
W,left,Pretarget,0,25,25,25,368.1755261643266,370.17638366960455,left,1,1,0.5349594601721037,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
W,right,Target,0,26,26,26,371.6750234666979,373.67468790721614,right,1,1,0.5291198909981176,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
V,left,Distractor,0,27,27,27,375.17437544549466,377.17404758528573,left,1,1,0.6036891654075589,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
W,left,Lure,0,28,28,28,378.67380088809296,380.673510240973,left,1,1,0.9396063495951239,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
R,left,Pretarget,0,29,29,29,382.1733366867702,384.17391316901194,left,1,1,0.5854592385003343,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
R,right,Target,0,30,30,30,385.6727156130073,387.67234925646335,right,1,1,0.6612616780039389,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
G,left,Distractor,0,31,31,31,389.1722873415565,391.1715780470695,left,1,1,0.5082625909999479,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
R,left,Lure,0,32,32,32,392.6713849239459,394.6710561013024,left,1,1,0.4974415994947776,R31R02,2022-11-30_12h01.20.614,t1_Paradigm,2021.1.4,60.077168735194675,
