Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
T,left,Distractor,0,0,0,0,3278.9502467931015,3280.9550386149494,None,0,0,3.0,,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
F,left,Distractor,0,1,1,1,3282.4531154060096,3284.4555640888866,left,1,0,3.0,0.6163655296841171,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
G,left,Distractor,0,2,2,2,3285.9531574310968,3287.953950133233,left,1,0,3.0,0.81407942934311,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
V,left,Distractor,0,3,3,3,3289.453318794578,3291.4552108857024,left,1,0,3.0,0.4327505641267635,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
H,left,Distractor,0,4,4,4,3292.9531099523592,3294.954290825117,left,1,0,3.0,0.5176216626132373,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
C,left,Pretarget,0,5,5,5,3296.4532286491594,3298.454923767771,left,1,0,3.0,0.48909529301454313,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
C,right,Target,0,6,6,6,3299.9533290602267,3301.9532796567073,right,1,0,3.0,0.6705198214040138,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
C,right,Target,0,7,7,7,3303.453199456155,3305.453306283278,right,1,0,3.0,0.5147816010867245,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
W,left,Distractor,0,8,8,8,3306.9532681078417,3308.955131326773,left,1,0,3.0,0.4209209844993893,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
R,left,Pretarget,0,9,9,9,3310.4522466737544,3312.454452188598,left,1,0,3.0,0.6655220445536543,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
R,right,Target,0,10,10,10,3313.9532645790023,3315.953222553915,left,0,0,3.0,0.7987624094239436,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
Z,left,Distractor,0,11,11,11,3317.4531417117687,3319.454748930584,left,1,0,3.0,0.7212386427854653,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
R,left,Lure,0,12,12,12,3320.9532058722107,3322.9550739031693,left,1,0,3.0,0.48518407306983136,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
H,left,Pretarget,0,13,13,13,3324.453273561463,3326.4551217027183,left,1,0,3.0,0.48895253604860045,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
H,right,Target,0,14,14,14,3327.953261691786,3329.9533649900695,right,1,0,3.0,0.4467859794094693,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
K,left,Distractor,0,15,15,15,3331.453073701734,3333.4546084192407,left,1,0,3.0,0.4493241660820786,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
J,left,Distractor,0,16,16,16,3334.9532254411315,3336.955219226569,left,1,0,3.0,0.5167153965157922,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
H,left,Lure,0,17,17,17,3338.4533354762825,3340.454771065939,left,1,0,3.0,0.8573107283154968,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
S,left,Distractor,0,18,18,18,3341.9531920777226,3343.954529181123,left,1,0,3.0,0.4615371042746119,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
T,left,Pretarget,0,19,19,19,3345.452306663763,3347.455550615181,left,1,0,3.0,0.5125241163186729,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
T,right,Target,0,20,20,20,3348.9531879072892,3350.953354082798,right,1,0,3.0,0.6948863494035322,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
X,left,Pretarget,0,21,21,21,3352.4532318571873,3354.455162123777,left,1,0,3.0,0.5368001781171188,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
X,right,Target,0,22,22,22,3355.9532520677312,3357.953291847196,right,1,0,3.0,0.6546635330596473,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
W,left,Distractor,0,23,23,23,3359.4532260827546,3361.4551730310486,left,1,0,3.0,0.46484970740857534,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
K,left,Distractor,0,24,24,24,3362.953198814561,3364.9538208499434,left,1,0,3.0,0.550168324902188,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
F,left,Pretarget,0,25,25,25,3366.453177962423,3368.455226925813,left,1,0,3.0,0.4728800270531792,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
F,right,Target,0,26,26,26,3369.953234423592,3371.9533486291766,right,1,0,3.0,0.5907135474262759,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
Z,left,Distractor,0,27,27,27,3373.453367877286,3375.454866023385,left,1,0,3.0,0.40112460404634476,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
F,left,Lure,0,28,28,28,3376.9530669648666,3378.9547431561514,left,1,0,3.0,0.4854018977493979,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
P,left,Distractor,0,29,29,29,3380.453126954875,3382.4543703840463,left,1,0,3.0,0.5536175896995701,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
F,left,Lure,0,30,30,30,3383.9532103634265,3385.9551165698795,left,1,0,3.0,0.7651699320995249,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
R,left,Distractor,0,31,31,31,3387.453195606533,3389.454968359263,left,1,0,3.0,0.497173732961528,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
V,left,Distractor,0,32,32,32,3390.9531455613906,3392.9553655123455,left,1,0,3.0,0.6607821926590987,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
M,left,Pretarget,0,33,33,33,3394.4533550452034,3396.454923767771,left,1,0,3.0,0.7132234008458909,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
M,right,Target,0,34,34,34,3397.953261691786,3399.953427546512,left,0,0,3.0,0.8466989136941265,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
M,right,Target,0,35,35,35,3401.4531676967454,3403.453361461259,right,1,0,3.0,0.6907380566990469,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
D,left,Distractor,0,36,36,36,3404.953291205573,3406.954642745084,left,1,0,3.0,0.46942242138902657,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
M,left,Lure,0,37,37,37,3408.4532065138046,3410.4551258731226,left,1,0,3.0,0.6168701514834538,S06I10,2022-12-01_09h11.58.489,t1_Paradigm,2021.1.4,60.34030131591606,
