vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
0,0,0,0,0,2853.0196362938877,VS1rightbutton,0,1,4,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
1,0,1,1,1,2856.713062450217,VS1leftbutton,1,0,1,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
2,0,2,2,2,2859.598577820332,VS1rightbutton,0,1,2,1,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
3,0,3,3,3,2866.2616111898387,VS1rightbutton,0,1,2,1,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
4,0,4,4,4,2874.324008473035,VS1leftbutton,1,0,2,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
5,0,5,5,5,2878.5911063404346,VS1rightbutton,0,1,3,1,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
6,0,6,6,6,2888.9174380619515,VS1leftbutton,1,0,2,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
7,0,7,7,7,2932.544403656255,VS1leftbutton,1,0,1,2,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
8,0,8,8,8,2934.986382273506,VS1rightbutton,0,1,4,2,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
9,0,9,9,9,2937.756891710378,VS1rightbutton,0,1,4,1,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
10,0,10,10,10,2939.9242987347243,VS1rightbutton,0,1,3,1,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
11,0,11,11,11,2942.559744410595,VS1rightbutton,0,1,4,1,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
12,0,12,12,12,2944.7054142083944,VS1rightbutton,0,1,3,2,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
13,0,13,13,13,2947.8437017092656,VS1leftbutton,1,0,1,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
14,0,14,14,14,2950.440180200938,VS1leftbutton,1,0,2,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
15,0,15,15,15,2954.065114155819,VS1leftbutton,1,0,3,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
16,0,16,16,16,2956.707589887941,VS1rightbutton,0,1,4,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
17,0,17,17,17,2959.1550920750014,VS1leftbutton,1,0,2,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
