Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
0,0,0,0,0,3024.6285750582174,EDleftbutton,1,0,1.00,2.00,2,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
1,0,1,1,1,3030.3495783217368,EDrightbutton,0,1,0.50,2.00,2,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
2,0,2,2,2,3039.2307923778717,EDrightbutton,0,1,0.75,2.00,2,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
3,0,3,3,3,3043.990118013462,EDrightbutton,0,1,0.88,2.00,2,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
4,0,4,4,4,3048.6334534950875,EDrightbutton,0,1,0.94,2.00,2,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
5,0,5,5,5,3050.706747782533,EDleftbutton,1,0,0.97,2.00,2,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
0,0,0,0,0,3053.758969545306,EDrightbutton,0,1,1.00,2.00,2,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
1,0,1,1,1,3059.0990277452074,EDleftbutton,1,0,1.50,2.00,2,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
2,0,2,2,2,3062.7926592148724,EDrightbutton,0,1,1.25,2.00,2,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
3,0,3,3,3,3066.232226042266,EDrightbutton,0,1,1.38,2.00,2,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
4,0,4,4,4,3070.8084343351948,EDrightbutton,0,1,1.44,2.00,2,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
5,0,5,5,5,3072.6944665174087,EDrightbutton,0,1,1.47,2.00,2,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
0,0,0,0,0,3074.308304891558,EDleftbutton,1,0,1.00,2.00,1,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
1,0,1,1,1,3078.357617621281,EDrightbutton,0,1,0.50,2.00,1,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
2,0,2,2,2,3082.176844058442,EDrightbutton,0,1,0.75,2.00,1,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
3,0,3,3,3,3085.003495138415,EDrightbutton,0,1,0.88,2.00,1,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
4,0,4,4,4,3086.77245991338,EDrightbutton,0,1,0.94,2.00,1,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
5,0,5,5,5,3090.3938480431243,EDrightbutton,0,1,0.97,2.00,1,3,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
0,0,0,0,0,3092.159370612033,EDleftbutton,1,0,1.00,2.00,3,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
1,0,1,1,1,3097.952729496188,EDrightbutton,0,1,0.50,2.00,3,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
2,0,2,2,2,3100.256954427183,EDrightbutton,0,1,0.75,2.00,3,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
3,0,3,3,3,3103.2722685549525,EDrightbutton,0,1,0.88,2.00,3,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
4,0,4,4,4,3104.857023977078,EDrightbutton,0,1,0.94,2.00,3,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
5,0,5,5,5,3109.357798232828,EDleftbutton,1,0,0.97,2.00,3,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
0,0,0,0,0,3112.901567021807,EDleftbutton,1,0,1.00,2.00,1,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
1,0,1,1,1,3116.2392907451576,EDrightbutton,0,1,0.50,2.00,1,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
2,0,2,2,2,3122.065317544315,EDrightbutton,0,1,0.75,2.00,1,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
3,0,3,3,3,3127.0494782635797,EDleftbutton,1,0,0.88,2.00,1,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
4,0,4,4,4,3128.222420406615,EDleftbutton,1,0,0.82,2.00,1,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
5,0,5,5,5,3130.342447854433,EDrightbutton,0,1,0.79,2.00,1,4,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
0,0,0,0,0,3133.2065358927794,EDrightbutton,0,1,1.00,2.00,1,2,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
1,0,1,1,1,3136.3937992812134,EDleftbutton,1,0,1.50,2.00,1,2,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
2,0,2,2,2,3138.725487755466,EDrightbutton,0,1,1.25,2.00,1,2,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
3,0,3,3,3,3140.2936942827073,EDrightbutton,0,1,1.38,2.00,1,2,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
4,0,4,4,4,3141.859059786919,EDrightbutton,0,1,1.44,2.00,1,2,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
5,0,5,5,5,3143.575012022062,EDrightbutton,0,1,1.47,2.00,1,2,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
