Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,384.6053958264383,386.5513827049872,None,0,1,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
Q,left,Pretarget,0,1,1,1,388.0493210705754,390.0507739830791,left,1,1,0.6527911222510738,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
Q,right,Target,0,2,2,2,391.5495695317659,393.5493401582935,None,0,1,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
T,left,Distractor,0,3,3,3,395.04936437885044,397.0509135319735,None,0,1,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
Q,left,Lure,0,4,4,4,398.5491662835848,400.54898663442873,None,0,1,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
L,left,Distractor,0,5,5,5,402.04912281490397,404.05074767732003,None,0,1,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
V,left,Pretarget,0,6,6,6,405.549565682144,407.5511270257557,None,0,1,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
V,right,Target,0,7,7,7,409.0496405894228,411.04921520588687,None,0,1,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
K,left,Distractor,0,8,8,8,412.5491678875842,414.5508562688192,None,0,1,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
G,left,Pretarget,0,9,9,9,416.0493977422593,418.05087343172636,None,0,1,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
G,right,Target,0,10,10,10,419.549339195888,421.5489304940711,None,0,1,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
G,right,Target,0,11,11,11,423.03292327345116,425.0328587922413,None,0,1,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
P,left,Pretarget,0,12,12,12,426.5327097796835,428.5341626922018,None,0,1,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
P,right,Target,0,13,13,13,430.04909971715824,432.04956199291337,None,0,1,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
G,left,Lure,0,14,14,14,433.5493991858675,435.5495149954222,left,1,1,0.89823677566892,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
Y,left,Distractor,0,15,15,15,437.0493111257092,439.0511977626011,left,1,1,1.0763531350530684,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
B,left,Distractor,0,16,16,16,440.54932957183337,442.5509335821116,left,1,1,0.8567349344230024,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
T,left,Pretarget,0,17,17,17,444.0493399978877,446.0508801685646,left,1,1,0.7650712004251545,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
T,right,Target,0,18,18,18,447.54950023851416,449.5495730605908,left,0,1,0.5461221928562736,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
S,left,Distractor,0,19,19,19,451.04940383750363,453.05068929133995,left,1,1,0.8049427256046329,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
T,left,Lure,0,20,20,20,454.54950569215,456.55179878525087,left,1,1,0.8718735834554536,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
J,left,Distractor,0,21,21,21,458.04949398287863,460.05095780266856,left,1,1,0.9247494616138283,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
P,left,Distractor,0,22,22,22,461.54945596783364,463.5503391358943,left,1,1,0.6253288622101536,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
F,left,Distractor,0,23,23,23,465.04952381747717,467.0510152262286,left,1,1,0.7086045848409412,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
L,left,Distractor,0,24,24,24,468.5491072559962,470.5494351156958,left,1,1,0.7464691723725991,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
W,left,Pretarget,0,25,25,25,472.04935379237577,474.0508724693209,left,1,1,0.5887760343030095,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
W,right,Target,0,26,26,26,475.54918841892504,477.54931802295323,right,1,1,0.6902992986870231,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
V,left,Distractor,0,27,27,27,479.0493961382599,481.05011152684165,left,1,1,0.741517271817429,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
W,left,Lure,0,28,28,28,482.54932058937266,484.55111579767254,left,1,1,0.744614294875646,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
R,left,Pretarget,0,29,29,29,486.04920109060185,488.05067453444644,left,1,1,0.8450009575899458,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
R,right,Target,0,30,30,30,489.54936229363375,491.54958589267335,right,1,1,0.5620166515582241,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
G,left,Distractor,0,31,31,31,493.0492020530073,495.05109446434653,left,1,1,0.7564935950213112,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
R,left,Lure,0,32,32,32,496.54919611816877,498.55103976758255,left,1,1,0.7126912822423037,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
S,left,Distractor,0,33,33,33,500.0496280781372,502.0513084393169,left,1,1,0.6043298011936713,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
R,left,Lure,0,34,34,34,503.54922434875334,505.56581687270955,right,0,1,0.59396404515428,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
P,left,Pretarget,0,35,35,35,507.049318183359,509.0495623137249,left,1,1,0.7898031141521642,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
P,right,Target,0,36,36,36,510.5491072559962,512.5491515266913,right,1,1,1.1623909633926814,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
Y,left,Pretarget,0,37,37,37,514.0494747347548,516.0494962285011,left,1,1,0.6061076861806214,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
Y,right,Target,0,38,38,38,517.5492291607807,519.5493449703208,right,1,1,0.6902954490797129,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
J,left,Distractor,0,39,39,39,521.0493258826027,523.0519118679804,left,1,1,0.6118093011464225,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
Y,left,Lure,0,40,40,40,524.5495733813877,526.5498486295546,right,0,1,0.7298506634397199,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
T,left,Distractor,0,41,41,41,528.049482434013,530.0499129503733,left,1,1,0.8936422486003721,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
V,left,Distractor,0,42,42,42,531.5490995567525,533.5513182237773,left,1,1,1.0723482421744848,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
N,left,Pretarget,0,43,43,43,535.0494288600603,537.0510161886341,left,1,1,0.7405981739284471,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
N,right,Target,0,44,44,44,538.5490822334395,540.5494816319988,left,0,1,0.6502144401310943,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
N,right,Target,0,45,45,45,542.0494817924045,544.0495132310025,right,1,1,0.7020040825300384,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
X,left,Distractor,0,46,46,46,545.5491855317086,547.5508986146888,left,1,1,0.865052048524376,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
Z,left,Distractor,0,47,47,47,549.0493229953863,551.0506758176634,left,1,1,0.916859335033223,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
H,left,Pretarget,0,48,48,48,552.5494858024322,554.5501479378727,left,1,1,0.6655442872142885,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
H,right,Target,0,49,49,49,556.0495754666044,558.0491795968701,right,1,1,0.9104554843797814,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
K,left,Distractor,0,50,50,50,559.5491951557633,561.5490264138789,left,1,1,1.0265851872245548,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
V,left,Pretarget,0,51,51,51,563.0490509552474,565.0495337623288,left,1,1,0.5338733287499053,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
V,right,Target,0,52,52,52,566.5491755868425,568.5493006996403,right,1,1,0.9062908320775023,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
R,left,Distractor,0,53,53,53,570.0493560379982,572.0512510157423,left,1,1,0.636367660961696,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
V,left,Lure,0,54,54,54,573.549263165798,575.5494986345147,left,1,1,0.40197812963742763,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
Y,left,Distractor,0,55,55,55,577.0491674063815,579.0495058525557,left,1,1,0.6620683969231322,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
Q,left,Distractor,0,56,56,56,580.5495005593257,582.5494874064316,left,1,1,0.6339144876401406,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
Z,left,Pretarget,0,57,57,57,584.049240870052,586.0495356871543,left,1,1,0.5741160219185986,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
Z,right,Target,0,58,58,58,587.5492006093991,589.5329016193136,right,1,1,0.6588273337401915,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
B,left,Distractor,0,59,59,59,591.0328735491348,593.0343630330899,left,1,1,0.5170902483660029,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
S,left,Pretarget,0,60,60,60,594.549113992849,596.5495406595728,left,1,1,0.6179305251862388,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
S,right,Target,0,61,61,61,598.049514193408,600.0491747848282,right,1,1,0.7502770927821985,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
T,left,Distractor,0,62,62,62,601.5495557372778,603.5513942538673,left,1,1,0.5443359670025529,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
D,left,Distractor,0,63,63,63,605.0489264840435,607.0523529708007,left,1,1,0.5793069200008176,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
R,left,Distractor,0,0,0,0,627.5906777488854,629.5829473817284,None,0,1,,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
V,left,Distractor,0,1,1,1,631.082487511987,633.0843593919853,left,1,1,0.6592668325611157,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
N,left,Pretarget,0,2,2,2,634.5824459681171,636.5840531864233,left,1,1,0.6476659885956906,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
N,right,Target,0,3,3,3,638.0828965346009,640.0824339380342,right,1,1,0.6371914806513814,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
S,left,Distractor,0,4,4,4,641.5826333165169,643.5844564346044,left,1,1,0.6871095638489351,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
N,left,Lure,0,5,5,5,645.0825102889212,647.0833337878139,left,1,1,0.9964006009249715,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
Z,left,Distractor,0,6,6,6,648.5827144794312,650.5828774468828,left,1,1,0.5206896474264795,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
L,left,Pretarget,0,7,7,7,652.0829058378586,654.0825362738979,left,1,1,0.5890846458642045,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
L,right,Target,0,8,8,8,655.5828928453848,657.5828681436251,right,1,1,0.6727187044016318,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
H,left,Distractor,0,9,9,9,659.0823992914229,661.0828753616661,left,1,1,0.5649340254458366,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
L,left,Lure,0,10,10,10,662.5827266699198,664.5829265295906,left,1,1,0.6648696404881775,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
X,left,Pretarget,0,11,11,11,666.082786820305,668.082863491989,left,1,1,0.5406534802023089,S11I02,2023-01-26_10h34.00.904,t1_Paradigm,2021.1.4,59.979930923644176,
