vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
0,0,0,0,0,2977.5100314835254,VS1rightbutton,0,1,4,3,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
1,0,1,1,1,2983.563956722508,VS1rightbutton,0,1,3,1,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
2,0,2,2,2,2991.553301278782,VS1leftbutton,1,0,1,2,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
3,0,3,3,3,2995.4091979111945,VS1leftbutton,1,0,1,3,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
4,0,4,4,4,2998.144342365198,VS1leftbutton,1,0,3,4,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
5,0,5,5,5,3000.608845927065,VS1leftbutton,1,0,1,2,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
6,0,6,6,6,3004.927859935211,VS1leftbutton,1,0,2,3,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
7,0,7,7,7,3010.510396556383,VS1rightbutton,0,1,3,1,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
8,0,8,8,8,3013.5788910254305,VS1leftbutton,1,0,2,3,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
9,0,9,9,9,3017.8482933004343,VS1rightbutton,0,1,2,1,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
10,0,10,10,10,3023.540439037002,VS1rightbutton,0,1,4,2,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
11,0,11,11,11,3027.3442986719456,VS1leftbutton,1,0,3,4,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
12,0,12,12,12,3030.962598317841,VS1leftbutton,1,0,2,4,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
13,0,13,13,13,3033.803427835235,VS1rightbutton,0,1,4,1,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
14,0,14,14,14,3036.990215854941,VS1rightbutton,0,1,4,2,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
15,0,15,15,15,3043.3115855133437,VS1leftbutton,1,0,1,4,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
16,0,16,16,16,3045.5761167283563,VS1leftbutton,1,0,2,3,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
17,0,17,17,17,3051.8947926110304,VS1rightbutton,0,1,4,1,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
