Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
0,0,0,0,0,3075.1649542247396,EDleftbutton,1,0,1.00,2.00,1,4,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
1,0,1,1,1,3087.1008165698186,EDrightbutton,0,1,0.50,2.00,1,4,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
2,0,2,2,2,3094.251904121218,EDrightbutton,0,1,0.75,2.00,1,4,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
3,0,3,3,3,3100.6727330355025,EDrightbutton,0,1,0.88,2.00,1,4,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
4,0,4,4,4,3106.643276660423,EDrightbutton,0,1,0.94,2.00,1,4,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
5,0,5,5,5,3111.428153789988,EDrightbutton,0,1,0.97,2.00,1,4,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
0,0,0,0,0,3114.2254575119987,EDleftbutton,1,0,1.00,2.00,1,3,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
1,0,1,1,1,3121.0595184246304,EDrightbutton,0,1,0.50,2.00,1,3,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
2,0,2,2,2,3123.6708184882154,EDrightbutton,0,1,0.75,2.00,1,3,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
3,0,3,3,3,3126.079022875121,EDrightbutton,0,1,0.88,2.00,1,3,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
4,0,4,4,4,3128.375342696909,EDrightbutton,0,1,0.94,2.00,1,3,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
5,0,5,5,5,3130.818611401439,EDrightbutton,0,1,0.97,2.00,1,3,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
0,0,0,0,0,3133.160103696089,EDrightbutton,0,1,1.00,2.00,1,2,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
1,0,1,1,1,3136.527467401691,EDrightbutton,0,1,1.50,2.00,1,2,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
2,0,2,2,2,3138.2250026145375,EDleftbutton,1,0,1.75,2.00,1,2,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
3,0,3,3,3,3149.615150010297,EDrightbutton,0,1,1.62,2.00,1,2,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
4,0,4,4,4,3153.0617864958986,EDrightbutton,0,1,1.68,2.00,1,2,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
5,0,5,5,5,3154.7196262911493,EDrightbutton,0,1,1.71,2.00,1,2,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
0,0,0,0,0,3157.142789682748,EDleftbutton,1,0,1.00,2.00,2,4,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
1,0,1,1,1,3175.84523830147,EDrightbutton,0,1,0.50,2.00,2,4,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
2,0,2,2,2,3178.843297448406,EDrightbutton,0,1,0.75,2.00,2,4,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
3,0,3,3,3,3182.3247011888307,EDrightbutton,0,1,0.88,2.00,2,4,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
4,0,4,4,4,3184.875899609455,EDrightbutton,0,1,0.94,2.00,2,4,S13G10,2022-11-29_16h10.48.458,t1_Paradigm,2021.1.4,59.96929570584077,
