vsx,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,VS1click.clicked_name,VS1leftbutton.wasclicked,VS1rightbutton.wasclicked,VS1leftbutton.nback,VS1rightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
0,0,0,0,0,2575.3496425943144,VS1rightbutton,0,1,1,2,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
1,0,1,1,1,2579.303636356637,VS1leftbutton,1,0,1,4,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
2,0,2,2,2,2583.4960820432275,VS1rightbutton,0,1,3,1,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
3,0,3,3,3,2593.0126524371663,VS1leftbutton,1,0,2,4,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
4,0,4,4,4,2598.6958615879835,VS1leftbutton,1,0,1,4,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
5,0,5,5,5,2601.9958831458885,VS1rightbutton,0,1,3,2,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
6,0,6,6,6,2608.4007550399624,VS1rightbutton,0,1,4,2,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
7,0,7,7,7,2613.7826356848773,VS1leftbutton,1,0,3,4,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
8,0,8,8,8,2616.496954625101,VS1leftbutton,1,0,2,1,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
9,0,9,9,9,2620.6293490346743,VS1rightbutton,0,1,3,2,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
10,0,10,10,10,2624.2253769906574,VS1leftbutton,1,0,3,4,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
11,0,11,11,11,2627.014555756378,VS1leftbutton,1,0,3,1,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
12,0,12,12,12,2634.9791565212986,VS1leftbutton,1,0,2,4,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
13,0,13,13,13,2641.207917012331,VS1rightbutton,0,1,1,3,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
14,0,14,14,14,2646.8322288114987,VS1rightbutton,0,1,4,1,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
15,0,15,15,15,2650.436070224876,VS1leftbutton,1,0,3,4,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
16,0,16,16,16,2654.40046503481,VS1leftbutton,1,0,3,2,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
17,0,17,17,17,2658.6660080598335,VS1leftbutton,1,0,2,1,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
