Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,227.05646759609476,228.98922938830083,None,0,1,,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
Q,left,Pretarget,0,1,1,1,230.49244061791637,232.4917550637017,left,1,1,0.5261960627308326,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
Q,right,Target,0,2,2,2,233.98794778367414,235.9878983801416,right,1,1,0.7259454520840336,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
T,left,Distractor,0,3,3,3,237.48791345784298,239.48942122799212,left,1,1,0.4244488458500655,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
Q,left,Lure,0,4,4,4,240.98786790393638,242.98800167843683,left,1,1,0.541870777040458,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
L,left,Distractor,0,5,5,5,244.48778674099003,246.48956398495307,left,1,1,0.6562255187850496,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
V,left,Pretarget,0,6,6,6,247.98795419971725,249.9871072820165,left,1,1,0.5828471576608081,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
V,right,Target,0,7,7,7,251.48789998415236,253.48786982874935,right,1,1,0.6821986240154274,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
K,left,Distractor,0,8,8,8,254.98795002928932,256.9900997245593,left,1,1,0.5717730671187837,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
G,left,Pretarget,0,9,9,9,258.4879121746344,260.48951778944206,left,1,1,0.5762559564941512,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
G,right,Target,0,10,10,10,261.98796350297994,263.98760035493547,right,1,1,0.5181420037174576,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
G,right,Target,0,11,11,11,265.4879355931921,267.4879763350664,right,1,1,0.64997661352254,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
P,left,Pretarget,0,12,12,12,268.9879872423396,270.9895142606183,left,1,1,0.6043155589688922,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
P,right,Target,0,13,13,13,272.48776236002595,274.48787752800126,right,1,1,0.6578292087799582,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
G,left,Lure,0,14,14,14,275.9878120843607,277.9894776891722,left,1,1,0.6762464607500078,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
Y,left,Distractor,0,15,15,15,279.48771071087845,281.48987163422385,left,1,1,0.7758664385123666,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
B,left,Distractor,0,16,16,16,282.98774214949003,284.9895668721724,left,1,1,0.6521956020590096,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
T,left,Pretarget,0,17,17,17,286.48802349298376,288.4880334378506,left,1,1,0.5939385715191747,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
T,right,Target,0,18,18,18,289.9880267010053,291.9880497987608,right,1,1,0.6459098045481824,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
S,left,Distractor,0,19,19,19,293.4878662999256,295.4912712940454,left,1,1,0.534527294810232,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
T,left,Lure,0,20,20,20,296.9880129065125,298.9892925863262,left,1,1,0.7325010442111761,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
J,left,Distractor,0,21,21,21,300.4880193225556,302.4903887673049,left,1,1,0.5754013395414859,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
P,left,Distractor,0,22,22,22,303.9879509916957,305.9892104609735,left,1,1,0.6126920241524658,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
F,left,Distractor,0,23,23,23,307.48833082145234,309.4898905615514,left,1,1,0.5039237312114437,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
L,left,Distractor,0,24,24,24,310.9879445756526,312.99023253665314,left,1,1,0.6035652027180731,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
W,left,Pretarget,0,25,25,25,314.4879442548504,316.4893795237115,left,1,1,0.5927435834757944,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
W,right,Target,0,26,26,26,317.98787079115596,319.98779379863754,right,1,1,0.5339180915095767,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
V,left,Distractor,0,27,27,27,321.48786694153,323.49007791001236,left,1,1,0.647693464554095,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
W,left,Lure,0,28,28,28,324.9879744102534,326.9898543109073,left,1,1,0.6679431384588952,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
R,left,Pretarget,0,29,29,29,328.4879830719117,330.49031081238013,left,1,1,0.5595023845226024,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
R,right,Target,0,30,30,30,331.987941688433,333.98773252542514,right,1,1,0.7421555851976791,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
G,left,Distractor,0,31,31,31,335.4879047961847,337.48902054609516,left,1,1,0.5207863759171687,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
R,left,Lure,0,32,32,32,338.98787752800126,340.9897003258709,left,1,1,0.6521182887386203,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
S,left,Distractor,0,33,33,33,342.4880831621854,344.4896069724425,left,1,1,0.5442812844662512,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
R,left,Lure,0,34,34,34,345.98792468591864,347.98958002506106,left,1,1,1.0602241893809605,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
P,left,Pretarget,0,35,35,35,349.48787207436453,351.49010357418524,left,1,1,0.6479664671919636,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
P,right,Target,0,36,36,36,352.98791762827113,354.98790030495456,right,1,1,0.6379292092290143,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
Y,left,Pretarget,0,37,37,37,356.4879205154905,358.4899296994147,left,1,1,0.4799039903298308,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
Y,right,Target,0,38,38,38,359.98774054547926,361.9879368764007,right,1,1,0.5980637664868027,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
J,left,Distractor,0,39,39,39,363.48807000929673,365.48974235095375,left,1,1,0.48809471106301316,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
Y,left,Lure,0,40,40,40,366.98769434996825,368.98807097170334,left,1,1,0.6377370487357439,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
T,left,Distractor,0,41,41,41,370.487989808757,372.4896175589138,left,1,1,0.560138856006688,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
V,left,Distractor,0,42,42,42,373.9879894879548,375.98947287713986,left,1,1,0.48434998745665325,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
N,left,Pretarget,0,43,43,43,377.4878733575731,379.489430852057,left,1,1,0.632328324328455,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
N,right,Target,0,44,44,44,380.98793430998353,382.9879959039981,right,1,1,0.5419330126594559,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
N,right,Target,0,45,45,45,384.48797023982524,386.4879602949584,right,1,1,0.4338470659113227,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
X,left,Distractor,0,46,46,46,387.98790158816314,389.99045934378,left,1,1,0.4353182646143523,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
Z,left,Distractor,0,47,47,47,391.48792436511644,393.48988189989313,left,1,1,0.5839433386395285,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
H,left,Pretarget,0,48,48,48,394.9879657485951,396.99004486739,left,1,1,0.5878593705990625,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
H,right,Target,0,49,49,49,398.4877366958533,400.4879949415915,right,1,1,0.5140033350592148,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
K,left,Distractor,0,50,50,50,401.9879195530841,403.98988574951886,left,1,1,0.5481164742816418,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
V,left,Pretarget,0,51,51,51,405.48793142276395,407.4894706315247,left,1,1,0.7607813585714212,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
V,right,Target,0,52,52,52,408.9876734978279,410.9877110316804,right,1,1,0.46201381630748983,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
R,left,Distractor,0,53,53,53,412.488050119563,414.48891500218474,left,1,1,0.5291060591187033,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
V,left,Lure,0,54,54,54,415.98796189896916,417.98981741865896,right,0,1,0.6281758611771693,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
Y,left,Distractor,0,55,55,55,419.4879654277929,421.4887578091266,left,1,1,0.889113450400373,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
Q,left,Distractor,0,56,56,56,422.98790158816314,424.98944913777996,left,1,1,0.5724794734740044,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
Z,left,Pretarget,0,57,57,57,426.4880453075307,428.4880369666744,left,1,1,0.9460792522486372,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
Z,right,Target,0,58,58,58,429.98770269082434,431.98798435512026,right,1,1,0.6940644542867176,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
B,left,Distractor,0,59,59,59,433.48785507185016,435.4878586006739,left,1,1,0.9219924637156964,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
S,left,Pretarget,0,60,60,60,436.987987883944,438.9899601756199,left,1,1,0.9240176877478916,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
S,right,Target,0,61,61,61,440.4879336683791,442.48803664587217,right,1,1,0.6738086851410117,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
T,left,Distractor,0,62,62,62,443.987621527878,445.98971027073776,left,1,1,0.5963214899593368,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
D,left,Distractor,0,63,63,63,447.487728354997,449.49011640627145,left,1,1,0.6480258155913816,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
R,left,Distractor,0,0,0,0,462.7195833036592,464.72324397709986,None,0,1,,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
V,left,Distractor,0,1,1,1,466.2213230137695,468.22391060398695,left,1,1,0.9377130527338977,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
N,left,Pretarget,0,2,2,2,469.72107342968957,471.7232317866178,left,1,1,0.862792916431772,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
N,right,Target,0,3,3,3,473.22133520425155,475.22111834199177,right,1,1,0.6610211902659557,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
S,left,Distractor,0,4,4,4,476.72131050248527,478.7231647389665,left,1,1,0.8388200126653373,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
N,left,Lure,0,5,5,5,480.2213772293344,482.2232949846432,left,1,1,1.066592753849136,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
Z,left,Distractor,0,6,6,6,483.7213374498667,485.72286831777114,left,1,1,0.49508499011608365,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
L,left,Pretarget,0,7,7,7,487.2213021616292,489.22225590644894,left,1,1,0.483548944464701,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
L,right,Target,0,8,8,8,490.7210763169089,492.72135573558967,right,1,1,0.5844409027886286,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
H,left,Distractor,0,9,9,9,494.2211234748263,496.2233325184959,left,1,1,0.45876890246518087,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
L,left,Lure,0,10,10,10,497.72092072786154,499.7229552551564,left,1,1,1.0230435399105318,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
X,left,Pretarget,0,11,11,11,501.2212450588447,503.234201616458,left,1,1,0.6637797680343738,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
X,right,Target,0,12,12,12,504.72132140975873,506.7211173795854,right,1,1,0.6331781292487904,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
X,right,Target,0,13,13,13,508.2212219610892,510.2215318559752,right,1,1,0.5563896411697442,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
R,left,Distractor,0,14,14,14,511.7211780111934,513.7232876061935,left,1,1,0.4627991399936491,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
T,left,Distractor,0,15,15,15,515.2213467531292,517.2236494710294,left,1,1,0.8182184187917301,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
V,left,Pretarget,0,16,16,16,518.7214522970396,520.7225866534752,left,1,1,0.48728949764313256,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
V,right,Target,0,17,17,17,522.2212970287947,524.2213336002408,right,1,1,0.4285384317779517,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
N,left,Distractor,0,18,18,18,525.7211305324738,527.7235054308599,left,1,1,0.41434036980786004,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
B,left,Distractor,0,19,19,19,529.2214109135612,531.2204440158528,left,1,1,0.6618203084449306,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
V,left,Lure,0,20,20,20,532.7213740213128,534.7232446187043,left,1,1,0.9026298077817501,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
P,left,Distractor,0,21,21,21,536.2213547731833,538.2233713355572,left,1,1,0.6184918063920577,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
K,left,Pretarget,0,22,22,22,539.7212424924276,541.7232997966755,left,1,1,0.5746256399199865,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
K,right,Target,0,23,23,23,543.2212726478303,545.2212245275066,right,1,1,0.8046340513526502,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
J,left,Pretarget,0,24,24,24,546.7214144423849,548.723342784165,left,1,1,0.9025136774000657,S19N02,2023-01-23_14h41.45.126,t1_Paradigm,2021.1.4,59.99468798659717,
