Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,83.50707465910818,85.46504984307103,None,0,1,,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
Q,left,Pretarget,0,1,1,1,86.96381379076047,88.96696728008101,left,1,1,0.5982130655320361,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
Q,right,Target,0,2,2,2,90.46383303892799,92.46385549509432,right,1,1,0.445676896662917,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
T,left,Distractor,0,3,3,3,93.963672316866,95.9660096843727,left,1,1,0.7031953861005604,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
Q,left,Lure,0,4,4,4,97.46379390102811,99.4660639000358,right,0,1,0.8991236315341666,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
L,left,Distractor,0,5,5,5,100.96386287355563,102.96586371923331,left,1,1,0.6473256935132667,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
V,left,Pretarget,0,6,6,6,104.46381667803507,106.46677832736168,left,1,1,0.4907246352522634,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
V,right,Target,0,7,7,7,107.96386223199079,109.9638141116011,right,1,1,0.4975503516034223,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
K,left,Distractor,0,8,8,8,111.46417629771167,113.4657495134743,left,1,1,0.5477877133525908,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
G,left,Pretarget,0,9,9,9,114.96390393632464,116.96567893691827,left,1,1,0.5035535300266929,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
G,right,Target,0,10,10,10,118.46397387125762,120.46398285374744,right,1,1,0.4774427672382444,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
G,right,Target,0,11,11,11,121.96383785095531,123.96406497916905,right,1,1,0.5451487914542668,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
P,left,Pretarget,0,12,12,12,125.46388276334619,127.4657671576133,left,1,1,0.6116861319169402,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
P,right,Target,0,13,13,13,128.9640319365426,130.96401653799694,right,1,1,0.4733150005340576,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
