Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,2691.482121672714,2693.486506723042,left,1,0.4832467273226939,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
T,left,Pretarget,0,1,1,1,2694.9846848852467,2696.9855164054898,left,1,0.42435539537109435,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
B,left,Distractor,0,2,2,2,2698.484658900241,2700.4870267439983,left,1,0.682736522925552,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
T,right,Target,0,3,3,3,2701.9847006045748,2703.9867755555897,right,1,0.5753058371483348,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
Z,left,Distractor,0,4,4,4,2705.4847561034258,2707.4866578210494,left,1,0.4830770227708854,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
T,right,Target,0,5,5,5,2708.9847403840977,2710.9869731700164,right,1,0.5668311956105754,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
L,left,Distractor,0,6,6,6,2712.4848003741936,2714.4869414105196,left,1,0.5869487248710357,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
T,right,Target,0,7,7,7,2715.984615912719,2717.9860216695815,right,1,0.5598056192975491,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
Z,left,Lure,0,8,8,8,2719.484718890337,2721.486684126896,left,1,0.5314033636823297,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
J,left,Distractor,0,9,9,9,2722.9849322240334,2724.986913500703,left,1,0.566912037844304,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
D,left,Pretarget,0,10,10,10,2726.484804544598,2728.4867271144176,left,1,0.6355496727046557,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
H,left,Distractor,0,11,11,11,2729.984835341631,2731.9868114854908,left,1,0.5430363065097481,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
D,right,Target,0,12,12,12,2733.4846925844904,2735.4865997558227,right,1,0.4192796570714563,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
S,left,Distractor,0,13,13,13,2736.984928695194,2738.9871184935328,left,1,0.5511012831702828,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
R,left,Pretarget,0,14,14,14,2740.484759632265,2742.486864417908,left,1,0.7632169055286795,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
Z,left,Distractor,0,15,15,15,2743.984715040715,2745.986564788327,right,0,0.6870477886986919,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
R,right,Target,0,16,16,16,2747.4838610642473,2749.4860659403494,right,1,0.676105533784721,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
T,left,Distractor,0,17,17,17,2750.9847285143915,2752.98742486001,left,1,0.6950078628724441,1,1.85,S19R04,2022-11-02_16h14.48.263,t1_Paradigm,2021.1.4,60.055293112664266,
