Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,310.2943680989508,312.24047467125047,None,0,1,,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
Q,left,Pretarget,0,1,1,1,313.74046296198276,315.74067404960056,left,1,1,0.5837769220922837,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
Q,right,Target,0,2,2,2,317.2387984815807,319.2387490780957,left,0,1,0.87758265539901,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
T,left,Distractor,0,3,3,3,320.73880698282983,322.74117353808197,left,1,1,1.183206408081105,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
Q,left,Lure,0,4,4,4,324.2386659904164,326.2407406159846,left,1,1,1.2676635904977047,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
L,left,Distractor,0,5,5,5,327.7388631231536,329.7404549419366,left,1,1,0.8400411396294203,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
V,left,Pretarget,0,6,6,6,331.23863679744795,333.2416241042813,left,1,1,0.6188184290397203,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
V,right,Target,0,7,7,7,334.738239484356,336.7388554239092,right,1,1,0.5776377370766568,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
K,left,Distractor,0,8,8,8,338.2388623211491,340.240709498205,left,1,1,0.5638175933509046,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
G,left,Pretarget,0,9,9,9,341.73795332910527,343.74076419492053,left,1,1,0.5836152379597479,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
G,right,Target,0,10,10,10,345.23857488269095,347.2389133286433,right,1,1,0.4136698159784373,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
G,right,Target,0,11,11,11,348.73866262199704,350.7387328776024,right,1,1,0.44966635003515876,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
P,left,Pretarget,0,12,12,12,352.23882767454916,354.2402873229696,left,1,1,0.4361474392474065,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
P,right,Target,0,13,13,13,355.7386193137472,357.7388910329146,right,1,1,0.39355233192463857,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
G,left,Lure,0,14,14,14,359.2385331784503,361.24094817478203,left,1,1,0.4593372426247697,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
Y,left,Distractor,0,15,15,15,362.7387123462838,364.7403285460075,left,1,1,0.4641502327897342,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
B,left,Distractor,0,16,16,16,366.2387962359678,368.24030111744923,left,1,1,0.5641987059495932,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
T,left,Pretarget,0,17,17,17,369.7387691282115,371.7402817089371,left,1,1,0.4402306052024869,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
T,right,Target,0,18,18,18,373.2387320755977,375.2388225417196,left,0,1,0.4459729583288663,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
S,left,Distractor,0,19,19,19,376.7387473136855,378.74021401974665,left,1,1,0.8803835763567349,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
T,left,Lure,0,20,20,20,380.2388125968623,382.23901630603746,left,1,1,0.8533030881349077,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
J,left,Distractor,0,21,21,21,383.73889295772574,385.74162201906915,left,1,1,0.5987570853098987,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
P,left,Distractor,0,22,22,22,387.23883697780275,389.2408724655452,left,1,1,0.47550373108606436,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
F,left,Distractor,0,23,23,23,390.7386683964303,392.7406836736561,left,1,1,0.49582845313511825,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
L,left,Distractor,0,24,24,24,394.23876575979193,396.2403858091377,left,1,1,0.46801846150492565,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
W,left,Pretarget,0,25,25,25,397.7388506118816,399.7409576384366,left,1,1,0.43952163311246295,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
W,right,Target,0,26,26,26,401.2387468324828,403.2388039352122,right,1,1,0.42966114662908694,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
V,left,Distractor,0,27,27,27,404.7387274239709,406.73982135828146,left,1,1,0.48072381879956083,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
W,left,Lure,0,28,28,28,408.2387227723441,410.2406851172643,left,1,1,0.483628358755368,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
R,left,Pretarget,0,29,29,29,411.73881147405564,413.74206665043425,left,1,1,0.4544164630378873,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
R,right,Target,0,30,30,30,415.2387869327142,417.23869422097937,right,1,1,0.41383246251689343,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
G,left,Distractor,0,31,31,31,418.7388012083966,420.74107505191387,left,1,1,0.5434261445168431,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
R,left,Lure,0,32,32,32,422.23883569459554,424.2408670119137,left,1,1,0.4833964190172537,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
S,left,Distractor,0,33,33,33,425.7388002459909,427.7405707514047,left,1,1,0.6638445727867293,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
R,left,Lure,0,34,34,34,429.2387830830919,431.2400377391298,left,1,1,0.4447452496463029,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
P,left,Pretarget,0,35,35,35,432.7388438750427,434.7403105811038,left,1,1,0.48023363357174276,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
P,right,Target,0,36,36,36,436.2384590732229,438.2387452284736,right,1,1,0.533777387254986,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
Y,left,Pretarget,0,37,37,37,439.73851986517343,441.7389183010721,left,1,1,0.40945768767937807,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
Y,right,Target,0,38,38,38,443.23894027599886,445.23876864700856,right,1,1,0.5576934860223446,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
J,left,Distractor,0,39,39,39,446.7387203663302,448.740569788999,left,1,1,0.527965420126975,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
