Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
D,left,Distractor,0,0,0,0,2823.7475369635918,2825.737846502089,left,1,0.745662518377685,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
M,left,Pretarget,0,1,1,1,2827.2370080864525,2829.238631343817,left,1,0.6046489320988258,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
T,left,Distractor,0,2,2,2,2830.7372453194207,2832.739134200717,left,1,0.5760475223023604,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
G,left,Pretarget,0,3,3,3,2834.237089570123,2836.2384019704937,left,1,0.548777440187223,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
M,right,Target,0,4,4,4,2837.73724692343,2839.7378792238774,right,1,0.4410714268524316,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
P,left,Distractor,0,5,5,5,2841.2371739410087,2843.2371684873774,left,1,0.7020639428665163,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
G,right,Target,0,6,6,6,2844.737034873407,2846.737696687625,right,1,0.57749177223468,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
J,left,Distractor,0,7,7,7,2848.2373093193905,2850.238957599299,left,1,0.5963918132656545,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
M,left,Lure,0,8,8,8,2851.737217730462,2853.737696687625,right,0,0.7615537588508232,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
F,left,Pretarget,0,9,9,9,2855.237126462335,2857.2384077449265,left,1,0.6847570038262347,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
R,left,Distractor,0,10,10,10,2858.737112828256,2860.739007804788,left,1,0.6242791181412031,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
G,left,Distractor,0,11,11,11,2862.2371078558276,2864.2379586223356,left,1,0.5654732517023149,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
F,right,Target,0,12,12,12,2865.736925800778,2867.737794532189,right,1,1.0013601998462036,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
F,left,Lure,0,13,13,13,2869.2370376002223,2871.2372887880715,left,1,1.1980187919307355,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
S,left,Distractor,0,14,14,14,2872.7368051792814,2874.7385981408247,left,1,0.7206422196413769,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
F,right,Target,0,15,15,15,2876.2372313645405,2878.237416467208,right,1,0.6776935886782667,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
T,left,Pretarget,0,16,16,16,2879.7370284573694,2881.7372010487657,left,1,0.7140776513715537,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
Z,left,Distractor,0,17,17,17,2883.237020918526,2885.2390028323593,left,1,0.6841792396935489,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
W,left,Distractor,0,18,18,18,2886.7369155351184,2888.737876336661,left,1,0.6733958062859529,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
T,right,Target,0,19,19,19,2890.2370042368298,2892.2388331281804,right,1,0.6604155218055894,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
V,left,Distractor,0,20,20,20,2893.737145870847,2895.7390985917123,left,1,0.7760036366098575,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
N,left,Distractor,0,21,21,21,2897.2368778409013,2899.2388013687973,left,1,0.9082246857660721,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
P,left,Pretarget,0,22,22,22,2900.7370210789272,2902.738735123215,left,1,0.6244545967538215,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
T,left,Lure,0,23,23,23,2904.2372608783103,2906.2391548924365,left,1,0.7561402276223816,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
L,left,Pretarget,0,24,24,24,2907.7369235551646,2909.7378423316645,left,1,0.9532947793668427,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
P,right,Target,0,25,25,25,2911.2372826928363,2913.2380737902,right,1,0.8132419946305163,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
G,left,Pretarget,0,26,26,26,2914.736983865913,2916.73976553876,left,1,0.7355158766440582,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
L,right,Target,0,27,27,27,2918.2371004773854,2920.2388886269005,left,0,0.62844152215348,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
F,left,Distractor,0,28,28,28,2921.7372036151805,2923.7386013488435,left,1,0.6486892517586966,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
G,right,Target,0,29,29,29,2925.2371777906314,2927.239077258389,right,1,0.6680275081171203,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
R,left,Pretarget,0,30,30,30,2928.7369649386033,2930.7371400964134,left,1,0.6581253173935693,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
X,left,Distractor,0,31,31,31,2932.237180677848,2934.2387275843716,left,1,0.660499892691405,2,3.0,T02R04,2022-11-11_09h01.36.781,t1_Paradigm,2021.1.4,59.95758791604956,
