Letter,CorrAnswer,Stimulus,nback_run.thisRepN,nback_run.thisTrialN,nback_run.thisN,nback_run.thisIndex,fixcross.started,nback_trial.started,trial_resp.keys,trial_resp.corr,currentlevel,trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
H,left,Distractor,0,0,0,0,381.06937896511954,383.01602279493454,None,0,1,,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Q,left,Pretarget,0,1,1,1,384.51353561419455,386.51635546698526,left,1,1,0.949116895248153,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Q,right,Target,0,2,2,2,388.01360651151845,390.01349198507523,right,1,1,0.7164196916201035,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
T,left,Distractor,0,3,3,3,391.5135291981496,393.5153722077375,left,1,1,0.8303388571221149,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Q,left,Lure,0,4,4,4,395.01349487229527,397.01563366166374,left,1,1,0.6258328029398399,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
L,left,Distractor,0,5,5,5,398.51352149889135,400.5154148744514,left,1,1,0.6944408799754456,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
V,left,Pretarget,0,6,6,6,402.0135933586207,404.01589960682395,left,1,1,0.5535935639345553,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
V,right,Target,0,7,7,7,405.5136199852168,407.51346311286034,right,1,1,0.8481831678836897,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
K,left,Distractor,0,8,8,8,409.03013296616336,411.015331145034,left,1,1,0.7222926205213298,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
G,left,Pretarget,0,9,9,9,412.5135696192483,414.51556500995866,left,1,1,0.7578904549736762,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
G,right,Target,0,10,10,10,416.0134926266801,418.01356897764344,right,1,1,0.7000873224060342,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
G,right,Target,0,11,11,11,419.51345380959174,421.5134804361878,right,1,1,0.6400145131010504,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
P,left,Pretarget,0,12,12,12,423.01351444124157,425.0153337114534,left,1,1,0.4821762205901905,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
P,right,Target,0,13,13,13,426.5135375390091,428.5134926266801,right,1,1,0.5839087458443828,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
G,left,Lure,0,14,14,14,430.0135558247457,432.0151027337488,left,1,1,0.5544391989678843,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Y,left,Distractor,0,15,15,15,433.5135981706553,435.51558137087704,left,1,1,0.6379629819748516,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
B,left,Distractor,0,16,16,16,437.01356224079063,439.01557078440237,left,1,1,0.5461076407445944,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
T,left,Pretarget,0,17,17,17,440.51367420081806,442.51559612778874,left,1,1,0.3421466297804727,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
T,right,Target,0,18,18,18,444.013491664271,446.0136700303883,right,1,1,0.667848930315813,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
S,left,Distractor,0,19,19,19,447.5135593535706,449.51619763222334,left,1,1,0.3972736290197645,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
T,left,Lure,0,20,20,20,451.0136751632235,453.0156400777123,left,1,1,0.5143167679561884,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
J,left,Distractor,0,21,21,21,454.51357507288776,456.5156189047557,left,1,1,0.485947252393089,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
P,left,Distractor,0,22,22,22,458.01358918819096,460.0151733102721,left,1,1,0.5703522794938181,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
F,left,Distractor,0,23,23,23,461.51350257155354,463.5154639572138,left,1,1,0.47829547437504516,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
L,left,Distractor,0,24,24,24,465.0134942306904,467.0161568903204,left,1,1,0.4333568374531751,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
W,left,Pretarget,0,25,25,25,468.5135907922013,470.51583191752434,left,1,1,0.4217947994111455,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
W,right,Target,0,26,26,26,472.01353048135934,474.0135195740768,left,0,1,0.3963843648634793,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
V,left,Distractor,0,27,27,27,475.51358469695697,477.5156275664194,left,1,1,0.4620984837602009,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
W,left,Lure,0,28,28,28,479.0136331381145,481.0152916863444,right,0,1,0.5146917859201494,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
R,left,Pretarget,0,29,29,29,482.5135205364859,484.51499847297964,left,1,1,0.5345138432639942,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
R,right,Target,0,30,30,30,486.0135314437648,488.0136068323227,right,1,1,0.4279657537044841,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
G,left,Distractor,0,31,31,31,489.5136209476259,491.51555763150463,left,1,1,0.622012367570278,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
R,left,Lure,0,32,32,32,493.01357699770233,495.0153943430996,left,1,1,0.6261914599854208,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
S,left,Distractor,0,33,33,33,496.51345990483605,498.51578668439106,left,1,1,0.4218615263016545,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
R,left,Lure,0,34,34,34,500.013545559068,502.01581908543085,left,1,1,0.8257902003861091,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
P,left,Pretarget,0,35,35,35,503.51358790498125,505.51270505687353,left,1,1,0.5610390660294797,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
P,right,Target,0,36,36,36,507.01365559428086,509.0135837345515,right,1,1,0.4199976645577408,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Y,left,Pretarget,0,37,37,37,510.51371494271734,512.5156301328389,left,1,1,0.4699661617669335,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Y,right,Target,0,38,38,38,514.0136347421285,516.013605549113,right,1,1,0.6359675912608509,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
J,left,Distractor,0,39,39,39,517.5136389125582,519.5158088197568,left,1,1,0.573619330782094,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Y,left,Lure,0,40,40,40,521.013624797255,523.0128683452749,left,1,1,0.5809544768599153,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
T,left,Distractor,0,41,41,41,524.513505137973,526.5154665236332,left,1,1,0.5822803530354577,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
V,left,Distractor,0,42,42,42,528.0136148523816,530.0155332505237,left,1,1,0.5380933560554695,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
N,left,Pretarget,0,43,43,43,531.5136742008181,533.5156195463605,left,1,1,0.3981859909436025,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
N,right,Target,0,44,44,44,535.0138118250325,537.0137483061626,left,0,1,0.5640279816652765,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
N,right,Target,0,45,45,45,538.5136539902669,540.5135660904198,right,1,1,0.744163642571948,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
X,left,Distractor,0,46,46,46,542.012482420032,544.015590353345,left,1,1,0.45816223874135176,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Z,left,Distractor,0,47,47,47,545.5136199852168,547.5156657418993,left,1,1,0.4301610042894026,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
H,left,Pretarget,0,48,48,48,549.0136613687246,551.0157331103983,left,1,1,0.530009457252163,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
H,right,Target,0,49,49,49,552.5134178797271,554.5137191131471,right,1,1,0.6960288516820583,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
K,left,Distractor,0,50,50,50,556.0134884562467,558.0138734190878,left,1,1,0.5238583927057334,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
V,left,Pretarget,0,51,51,51,559.5137130179028,561.51572541114,left,1,1,0.6219433950645907,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
V,right,Target,0,52,52,52,563.0136758048284,565.0137354740691,left,0,1,0.7879066490786499,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
R,left,Distractor,0,53,53,53,566.5137194339513,568.5157773811225,left,1,1,0.48587090142973466,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
V,left,Lure,0,54,54,54,570.0136892785304,572.0162021234537,left,1,1,0.6654355341233895,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Y,left,Distractor,0,55,55,55,573.5137184715422,575.5156570802355,left,1,1,0.5739725341845769,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Q,left,Distractor,0,56,56,56,577.0134910226661,579.0150745031424,left,1,1,0.5150568590106559,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Z,left,Pretarget,0,57,57,57,580.513603945099,582.5142702516132,left,1,1,0.4714954266419227,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Z,right,Target,0,58,58,58,584.0137903312752,586.0138294691642,right,1,1,0.47598377253234503,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
B,left,Distractor,0,59,59,59,587.5137441357328,589.5156051102531,left,1,1,0.7021192845822952,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
S,left,Pretarget,0,60,60,60,591.0136780504472,593.0150498013609,left,1,1,1.186632871205802,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
S,right,Target,0,61,61,61,594.5138384516285,596.5135532583263,right,1,1,0.6000127037732454,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
T,left,Distractor,0,62,62,62,598.0136273636708,600.0154559371549,left,1,1,0.37843451012304286,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
D,left,Distractor,0,63,63,63,601.5137226419756,603.5156035062428,left,1,1,0.4622383535897825,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
