Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_trial_resp.rt,finaln_level,finaln_money,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,3247.993226578863,3249.985426590152,left,1,1.3553765193209983,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
P,left,Pretarget,0,1,1,1,3251.4828515095687,3253.4858211770625,left,1,0.4949499291651591,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
B,left,Distractor,0,2,2,2,3254.983031800497,3256.9852485448428,left,1,0.4993721897699288,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
K,left,Pretarget,0,3,3,3,3258.4829782265006,3260.4848465794785,left,1,0.5678471338251256,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
H,left,Distractor,0,4,4,4,3261.9829208028787,3263.985296665196,left,1,0.7154117305872205,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
P,right,Target,0,5,5,5,3265.48294101343,3267.485188233997,right,1,0.5918341682772734,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
L,left,Distractor,0,6,6,6,3268.9828210333435,3270.9855683848,left,1,0.7232572732318658,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
K,right,Target,0,7,7,7,3272.482987529769,3274.4855664599854,right,1,0.8391368619886634,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Z,left,Pretarget,0,8,8,8,3275.982869474501,3277.9851381888257,left,1,0.859575180675165,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
S,left,Pretarget,0,9,9,9,3279.4828986675166,3281.4854034923846,left,1,1.2153119610520662,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
N,left,Distractor,0,10,10,10,3282.9829172740538,3284.98503809849,left,1,1.3798319252273359,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
M,left,Distractor,0,11,11,11,3286.48298079292,3288.4853367654905,None,0,,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Z,right,Target,0,12,12,12,3289.9823263560975,3291.9850865396475,left,0,1.419639328316407,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
S,right,Target,0,13,13,13,3293.4829673192216,3295.4849935069615,right,1,0.8157102692675835,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Q,left,Distractor,0,14,14,14,3296.9829265773224,3298.9857124250593,left,1,1.2189886769592704,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
V,left,Lure,0,15,15,15,3300.482989133783,3302.485611051514,left,1,0.8232080621492059,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Z,right,Target,0,16,16,16,3303.9827523816384,3305.9854137580587,left,0,1.291629881328845,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
X,left,Distractor,0,17,17,17,3307.482981755329,3309.4858102697835,None,0,,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
V,left,Pretarget,0,18,18,18,3310.9828290534024,3312.984960464317,left,1,1.0919916822349478,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
E,left,Distractor,0,19,19,19,3314.482986888168,3316.4846672509557,left,1,0.74419957243299,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
R,left,Distractor,0,20,20,20,3317.982845735125,3319.9852215974424,left,1,0.7155143873460474,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
G,left,Distractor,0,21,21,21,3321.4830417453704,3323.485432364596,left,1,1.1673247392536723,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
V,right,Target,0,22,22,22,3324.983087299308,3326.9854528959477,None,0,,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
T,left,Pretarget,0,23,23,23,3328.482961865582,3330.485001206216,left,1,0.7756221641066077,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
B,left,Distractor,0,24,24,24,3331.983036933336,3333.985279662669,None,0,,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
S,left,Pretarget,0,25,25,25,3335.4829987578523,3337.4854490463185,left,1,1.1033535396018124,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
G,left,Lure,0,26,26,26,3338.9830035698906,3340.9849992814015,right,0,1.4442493609640223,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
T,right,Target,0,27,27,27,3342.4829945874226,3344.4850730659455,right,1,0.5518253012960486,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
H,left,Distractor,0,28,28,28,3345.983017043589,3347.985123111117,left,1,0.891860089104739,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
S,right,Target,0,29,29,29,3349.4829820761297,3351.4851369056196,None,0,,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
D,left,Distractor,0,30,30,30,3352.9830189684035,3354.98560078584,None,0,,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Z,left,Distractor,0,31,31,31,3356.483067088757,3358.4853922643015,left,1,1.0795336431874603,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
J,left,Pretarget,0,32,32,32,3359.98301608118,3361.9852726050194,left,1,0.5396283953741658,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
C,left,Pretarget,0,33,33,33,3363.482951279104,3365.4852969859967,left,1,0.7033203686405614,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
H,left,Distractor,0,34,34,34,3366.982985925759,3368.9853775073934,left,1,0.8674053248032578,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
B,left,Pretarget,0,35,35,35,3370.4830837704794,3372.4855699888103,None,0,,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
J,right,Target,0,36,36,36,3373.982679880304,3375.9856107307096,None,0,,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
C,right,Target,0,37,37,37,3377.482985284154,3379.484425365972,left,0,0.9285236290197645,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
H,left,Distractor,0,38,38,38,3380.9831649334774,3382.9854859385923,right,0,1.3312967729871161,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
B,right,Target,0,39,39,39,3384.4830860160982,3386.4855279637013,right,1,0.9832964624474698,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
F,left,Pretarget,0,40,40,40,3387.983153705398,3389.985146529689,left,1,0.9078081370862492,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
M,left,Distractor,0,41,41,41,3391.482947750279,3393.4854137580587,None,0,,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
W,left,Pretarget,0,42,42,42,3394.983074788015,3396.98537333696,left,1,1.1395997156396334,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Z,left,Distractor,0,43,43,43,3398.483065805547,3400.4853316326553,left,1,1.015464598818653,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
F,right,Target,0,44,44,44,3401.983063559932,3403.985080444403,None,0,,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
B,left,Lure,0,45,45,45,3405.482380571695,3407.485629337247,None,0,,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
W,right,Target,0,46,46,46,3408.9831290036127,3410.984854920338,None,0,,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
X,left,Distractor,0,47,47,47,3412.4830735048054,3414.4850480433633,left,1,0.6316868044996227,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
T,left,Distractor,0,48,48,48,3415.9830751088157,3417.985347351969,left,1,0.6835002361076477,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
L,left,Pretarget,0,49,49,49,3419.483125795592,3421.485362108877,left,1,0.6394280863751192,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
J,left,Distractor,0,50,50,50,3422.983094036157,3424.985295061182,left,1,0.8995856516667118,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Z,left,Distractor,0,51,51,51,3426.4830394997553,3428.48513850963,left,1,1.0317645669929334,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
P,left,Pretarget,0,52,52,52,3429.9831350988607,3431.985154870552,left,1,0.8278645084792515,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
L,right,Target,0,53,53,53,3433.483024422043,3435.4834478811645,left,0,0.5613508859278227,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
V,left,Distractor,0,54,54,54,3436.9832088834046,3438.9845726142557,left,1,0.6763145839322533,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
F,left,Distractor,0,55,55,55,3440.4831482517548,3442.483360302118,left,1,0.7773984468039998,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
P,right,Target,0,56,56,56,3443.983222357103,3445.98490656952,left,0,0.844081709645252,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
T,left,Pretarget,0,57,57,57,3447.4829637903968,3449.485046118549,right,0,0.5922021285878145,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
D,left,Distractor,0,58,58,58,3450.983094036157,3452.9854115124435,left,1,0.8675015655171592,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
V,left,Distractor,0,59,59,59,3454.482663198578,3456.485228013491,left,1,1.1278618779033422,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
Z,left,Distractor,0,60,60,60,3457.9831655750822,3459.9852061989295,left,1,1.163936103868764,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
T,right,Target,0,61,61,61,3461.4829637903968,3463.4855308509214,left,0,0.8955387298301503,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
B,left,Distractor,0,62,62,62,3464.9831450437305,3466.985346068759,left,1,0.8515907306064037,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
J,left,Distractor,0,63,63,63,3468.4831495349645,3470.484892775017,left,1,1.3527497895520355,3,3.0,T14G09,2022-12-09_16h19.32.568,t1_Paradigm,2021.1.4,60.022027957645406,
