Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
0,0,0,0,0,3162.79123223442,EDleftbutton,1,0,1.00,2.00,3,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
1,0,1,1,1,3166.708282553096,EDrightbutton,0,1,0.50,2.00,3,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
2,0,2,2,2,3170.2741577272536,EDrightbutton,0,1,0.75,2.00,3,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
3,0,3,3,3,3174.5615077805705,EDrightbutton,0,1,0.88,2.00,3,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
4,0,4,4,4,3177.763866891706,EDrightbutton,0,1,0.94,2.00,3,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
5,0,5,5,5,3180.0487653788296,EDrightbutton,0,1,0.97,2.00,3,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
0,0,0,0,0,3182.9654191866866,EDrightbutton,0,1,1.00,2.00,1,2,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
1,0,1,1,1,3187.7917955621087,EDleftbutton,1,0,1.50,2.00,1,2,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
2,0,2,2,2,3191.5567907131917,EDrightbutton,0,1,1.25,2.00,1,2,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
3,0,3,3,3,3196.8794491579174,EDrightbutton,0,1,1.38,2.00,1,2,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
4,0,4,4,4,3198.8890632624098,EDleftbutton,1,0,1.44,2.00,1,2,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
5,0,5,5,5,3202.28806159136,EDrightbutton,0,1,1.41,2.00,1,2,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
0,0,0,0,0,3204.1761897169636,EDleftbutton,1,0,1.00,2.00,1,3,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
1,0,1,1,1,3206.487481838616,EDrightbutton,0,1,0.50,2.00,1,3,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
2,0,2,2,2,3210.72392933254,EDrightbutton,0,1,0.75,2.00,1,3,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
3,0,3,3,3,3213.1484673220257,EDrightbutton,0,1,0.88,2.00,1,3,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
4,0,4,4,4,3215.19251787907,EDrightbutton,0,1,0.94,2.00,1,3,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
5,0,5,5,5,3217.657253597863,EDrightbutton,0,1,0.97,2.00,1,3,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
0,0,0,0,0,3220.572228009114,EDleftbutton,1,0,1.00,2.00,2,3,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
1,0,1,1,1,3224.155173680396,EDrightbutton,0,1,0.50,2.00,2,3,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
2,0,2,2,2,3225.886617470678,EDrightbutton,0,1,0.75,2.00,2,3,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
3,0,3,3,3,3227.5083804617752,EDrightbutton,0,1,0.88,2.00,2,3,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
4,0,4,4,4,3228.9991158706544,EDrightbutton,0,1,0.94,2.00,2,3,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
5,0,5,5,5,3230.3239483881625,EDrightbutton,0,1,0.97,2.00,2,3,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
0,0,0,0,0,3231.841278895008,EDleftbutton,1,0,1.00,2.00,1,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
1,0,1,1,1,3234.1546834954934,EDrightbutton,0,1,0.50,2.00,1,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
2,0,2,2,2,3239.0169011138496,EDrightbutton,0,1,0.75,2.00,1,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
3,0,3,3,3,3240.8393499147205,EDrightbutton,0,1,0.88,2.00,1,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
4,0,4,4,4,3242.4583315555647,EDleftbutton,1,0,0.94,2.00,1,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
5,0,5,5,5,3243.740620962926,EDleftbutton,1,0,0.91,2.00,1,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
0,0,0,0,0,3244.620419473824,EDleftbutton,1,0,1.00,2.00,2,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
1,0,1,1,1,3247.3900441134465,EDrightbutton,0,1,0.50,2.00,2,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
2,0,2,2,2,3248.8237413106835,EDrightbutton,0,1,0.75,2.00,2,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
3,0,3,3,3,3250.508214607311,EDrightbutton,0,1,0.88,2.00,2,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
4,0,4,4,4,3251.524354458874,EDrightbutton,0,1,0.94,2.00,2,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
5,0,5,5,5,3252.946456601465,EDrightbutton,0,1,0.97,2.00,2,4,T18N09,2022-11-23_14h26.17.836,t1_Paradigm,2021.1.4,59.987741460574746,
