Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
0,0,0,0,0,2513.7227758918307,EDrightbutton,0,1,1.00,2.00,3,4,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
1,0,1,1,1,2519.403381644108,EDleftbutton,1,0,1.50,2.00,3,4,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
2,0,2,2,2,2522.3195742180105,EDrightbutton,0,1,1.25,2.00,3,4,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
3,0,3,3,3,2525.7241819694755,EDrightbutton,0,1,1.38,2.00,3,4,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
4,0,4,4,4,2530.001983522321,EDleftbutton,1,0,1.44,2.00,3,4,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
5,0,5,5,5,2535.618728069123,EDrightbutton,0,1,1.41,2.00,3,4,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
0,0,0,0,0,2540.353526037303,EDleftbutton,1,0,1.00,2.00,1,4,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
1,0,1,1,1,2542.88364073704,EDrightbutton,0,1,0.50,2.00,1,4,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
2,0,2,2,2,2545.775006400014,EDleftbutton,1,0,0.75,2.00,1,4,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
3,0,3,3,3,2553.0794348870404,EDrightbutton,0,1,0.62,2.00,1,4,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
4,0,4,4,4,2556.9442743477994,EDrightbutton,0,1,0.68,2.00,1,4,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
5,0,5,5,5,2559.9183640865376,EDleftbutton,1,0,0.71,2.00,1,4,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
0,0,0,0,0,2561.9905825197347,EDleftbutton,1,0,1.00,2.00,1,3,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
1,0,1,1,1,2564.2845685622888,EDrightbutton,0,1,0.50,2.00,1,3,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
2,0,2,2,2,2568.7165744573576,EDleftbutton,1,0,0.75,2.00,1,3,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
3,0,3,3,3,2574.918493049161,EDrightbutton,0,1,0.62,2.00,1,3,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
4,0,4,4,4,2576.7675631387974,EDrightbutton,0,1,0.68,2.00,1,3,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
5,0,5,5,5,2578.67087228148,EDleftbutton,1,0,0.71,2.00,1,3,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
0,0,0,0,0,2580.402164198342,EDleftbutton,1,0,1.00,2.00,2,4,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
1,0,1,1,1,2587.6512593746884,EDrightbutton,0,1,0.50,2.00,2,4,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
2,0,2,2,2,2592.900784426485,EDleftbutton,1,0,0.75,2.00,2,4,T&18R03,2022-11-03_14h40.08.948,t1_Paradigm,2021.1.4,59.99946106243685,
