Currentstep,EDround.thisRepN,EDround.thisTrialN,EDround.thisN,EDround.thisIndex,question.started,EDclick.clicked_name,EDleftbutton.wasclicked,EDrightbutton.wasclicked,EDleftbutton.value,EDrightbutton.value,EDleftbutton.nback,EDrightbutton.nback,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
0,0,0,0,0,2496.66883988466,EDleftbutton,1,0,1.00,2.00,1,4,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
1,0,1,1,1,2503.854480477632,EDrightbutton,0,1,0.50,2.00,1,4,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
2,0,2,2,2,2506.721616904979,EDrightbutton,0,1,0.75,2.00,1,4,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
3,0,3,3,3,2509.700099448557,EDrightbutton,0,1,0.88,2.00,1,4,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
4,0,4,4,4,2511.838288971805,EDrightbutton,0,1,0.94,2.00,1,4,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
5,0,5,5,5,2513.7631876786472,EDrightbutton,0,1,0.97,2.00,1,4,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
0,0,0,0,0,2515.855881418858,EDrightbutton,0,1,1.00,2.00,3,4,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
1,0,1,1,1,2522.1242907875567,EDrightbutton,0,1,1.50,2.00,3,4,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
2,0,2,2,2,2525.304165289912,EDleftbutton,1,0,1.75,2.00,3,4,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
3,0,3,3,3,2526.739635697537,EDleftbutton,1,0,1.62,2.00,3,4,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
4,0,4,4,4,2530.192091274541,EDrightbutton,0,1,1.56,2.00,3,4,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
5,0,5,5,5,2533.663017974526,EDleftbutton,1,0,1.59,2.00,3,4,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
0,0,0,0,0,2540.208535251324,EDleftbutton,1,0,2.00,1.00,1,2,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
1,0,1,1,1,2545.1587445744663,EDleftbutton,1,0,2.00,1.50,1,2,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
2,0,2,2,2,2551.8787205784756,EDleftbutton,1,0,2.00,1.75,1,2,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
3,0,3,3,3,2554.9159297315928,EDrightbutton,0,1,2.00,1.88,1,2,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
4,0,4,4,4,2556.6157840875967,EDleftbutton,1,0,2.00,1.82,1,2,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
5,0,5,5,5,2558.7400427949615,EDrightbutton,0,1,2.00,1.85,1,2,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
0,0,0,0,0,2561.5470426891115,EDrightbutton,0,1,1.00,2.00,2,4,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
1,0,1,1,1,2566.4949140091194,EDrightbutton,0,1,1.50,2.00,2,4,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
2,0,2,2,2,2569.9667999063386,EDleftbutton,1,0,1.75,2.00,2,4,W08E03,2022-09-02_10h30.13.106,t1_Paradigm,2021.1.4,59.96037509380557,
