Letter,CorrAnswer,Stimulus,finaln_nback_run.thisRepN,finaln_nback_run.thisTrialN,finaln_nback_run.thisN,finaln_nback_run.thisIndex,finaln_fixcross.started,finaln_nback_trial.started,finaln_trial_resp.keys,finaln_trial_resp.corr,finaln_level,finaln_money,finaln_trial_resp.rt,Participant,date,expName,psychopyVersion,frameRate,
F,left,Distractor,0,0,0,0,3554.313991749601,3556.3064702246047,None,0,1,1.71,,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
T,left,Pretarget,0,1,1,1,3557.8049138534116,3559.806634314853,left,1,1,1.71,1.1735827847442124,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
B,left,Distractor,0,2,2,2,3561.304961171729,3563.3066858035745,left,1,1,1.71,1.2734523145481944,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
T,right,Target,0,3,3,3,3564.8049077581964,3566.8071848111867,right,1,1,1.71,1.0847950411844067,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
Z,left,Distractor,0,4,4,4,3568.304879367206,3570.307127868815,left,1,1,1.71,0.7529320506146178,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
T,right,Target,0,5,5,5,3571.8049340639554,3573.8071145555296,right,1,1,1.71,1.0610451025131624,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
L,left,Distractor,0,6,6,6,3575.3049630965397,3577.3072882698325,left,1,1,1.71,0.7288783123949543,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
T,right,Target,0,7,7,7,3578.8047932318586,3580.8068797284213,right,1,1,1.71,1.453100503742462,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
Z,left,Lure,0,8,8,8,3582.3048527406354,3584.3069376331987,right,0,1,1.71,1.0731874603661709,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
J,left,Distractor,0,9,9,9,3585.804817612807,3587.807179036754,left,1,1,1.71,0.7088070109311957,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
D,left,Pretarget,0,10,10,10,3589.304881933611,3591.306779156992,left,1,1,1.71,0.8412264005746692,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
H,left,Distractor,0,11,11,11,3592.8049873170967,3594.806924640725,left,1,1,1.71,0.6212007813446689,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
D,right,Target,0,12,12,12,3596.304790825845,3598.3068208612385,right,1,1,1.71,0.9932945954205934,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
S,left,Distractor,0,13,13,13,3599.8049058333563,3601.8069134126417,left,1,1,1.71,0.7732384999690112,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
R,left,Pretarget,0,14,14,14,3603.3049505852687,3605.306663668249,left,1,1,1.71,0.9052482253755443,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
Z,left,Distractor,0,15,15,15,3606.8049680689583,3608.8051066554617,right,0,1,1.71,0.9590390310331713,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
R,right,Target,0,16,16,16,3610.3050166704925,3612.306699918874,right,1,1,1.71,1.0734120217966847,W16C01,2022-11-28_09h18.44.336,t1_Paradigm,2021.1.4,59.94129298433906,
